time step,temperature,pressure,potential energy,kinetic energy,coulomb energy,pair energy,lx,ly,lz,vol
400000,2013.8393500946315271,-3198.6215446503024395,-2024851.374065740034,70011.502828783923178,-228450.93269069236703,-2024851.374065740034,59.566529000318908516,51.586127206267079259,49.203539969233766271,151192.9595191362896
402000,1999.7894032121421333,-2383.4170810529358278,-2028879.858855556231,69523.05378945938719,-229975.67832807957893,-2028879.858855556231,59.533907649019873531,51.557876287403857418,49.176593863939018547,150944.69502384911175
404000,1974.5573580668312843,2215.451763391879922,-2032739.3477452113293,68645.857006119185826,-231884.77545189505327,-2032739.3477452113293,59.469954554247181022,51.50249128281245703,49.123766903771802106,150458.76954716269393
406000,1964.0623024707247168,-2459.2945756337153398,-2035828.9542665332556,68280.994429310099804,-232666.17490126634948,-2035828.9542665332556,59.495175216818338981,51.524333017247201383,49.144599843002779949,150650.27529480954399
408000,1935.9627066072516755,1590.2639728363317317,-2038564.7861511092633,67304.106707262762939,-234403.88460889397538,-2038564.7861511092633,59.443730616366153185,51.479780686474470031,49.102105232404547053,150259.81789943118929
410000,1903.2873648133838742,2796.1906557856996187,-2040656.238418570254,66168.142319475155091,-235719.74054313247325,-2040656.238418570254,59.422565802982120431,51.461451420461244766,49.084622532660894478,150099.37597584279138
412000,1899.8615880366410238,3232.2795819382445188,-2042249.4459912138991,66049.04454711091239,-236710.4764909199148,-2042249.4459912138991,59.420666495466065271,51.459806571906682393,49.083053654049663805,150084.98367770924233
414000,1901.3354460889079292,2240.2469887744523476,-2043592.1006847121753,66100.283498813121696,-237358.04186903647496,-2043592.1006847121753,59.4360736732345174,51.47314957922293388,49.095780393375633821,150201.76050589577062
416000,1854.3878660628283797,-3705.4369404124981884,-2044749.5423813401721,64468.142071223097446,-237201.28120765299536,-2044749.5423813401721,59.501359264313734343,51.529688559463430408,49.149708030993465968,150697.25685051715118
418000,1831.7963955955435722,-3196.7847028493342805,-2046058.1963562341407,63682.745361971006787,-237724.03430578880943,-2046058.1963562341407,59.502305235394011618,51.530507794448013215,49.150489428308816287,150704.44446009417879
420000,1837.898497700549342,-1048.4088500804002706,-2047262.2217180482112,63894.886086486127169,-238230.01452364877332,-2047262.2217180482112,59.492632095960289007,51.522130609984273519,49.142499157417624644,150630.95748560604989
422000,1810.0819525297763448,-65.597599272339763843,-2048398.4561095489189,62927.83867487453972,-238585.79724394727964,-2048398.4561095489189,59.483875352468004394,51.514547047683485914,49.135265853989452012,150564.4529889858095
424000,1791.8574055282649624,-159.22938234037792427,-2049398.2487619835883,62294.258879202330718,-238730.81616602392751,-2049398.2487619835883,59.482373806998907639,51.513246671165127566,49.134025537426701646,150553.05122687702533
426000,1784.6275051492284547,-1117.208293484365413,-2050134.6975243771449,62042.910036100744037,-238647.42291894505615,-2050134.6975243771449,59.491333592634894956,51.521006073119764324,49.141426559075064517,150621.09455687334412
428000,1758.5934047987695976,-2089.0405951702055063,-2050617.6504427224863,61137.82965307746781,-238491.01601607556222,-2050617.6504427224863,59.500543904452861455,51.528982437111807258,49.149034522024123817,150691.06182511389488
430000,1725.9971282313076699,-1897.2846598252824606,-2050908.8415153180249,60004.613982719522028,-238507.80459580238676,-2050908.8415153180249,59.492558529322920435,51.522066899406723905,49.142438389414657252,150630.39869038996403
432000,1737.0156344132421964,-1646.5484011695079971,-2051009.6845482147764,60387.674417351132433,-238403.53488203836605,-2051009.6845482147764,59.490575408215370601,51.52034946615290778,49.140800278544489288,150615.33588053140556
434000,1703.2431703285160438,-1591.7142809737833886,-2051055.5429201382212,59213.568367287254659,-238330.32841683898005,-2051055.5429201382212,59.48352659389467334,51.514245013899163439,49.13497777011583878,150561.80469132424332
436000,1678.7215805064997767,351.45427861844513018,-2051276.621033958625,58361.070696552153095,-238583.78793943743221,-2051276.621033958625,59.449294641823911434,51.484599273855664592,49.106701265672768386,150302.01550553363631
438000,1683.7370640139979514,-393.32387895897119279,-2051584.8021914530545,58535.434921660984401,-238288.65000281529501,-2051584.8021914530545,59.455019065537300094,51.489556770201801328,49.111429792174618569,150345.43781748172478
440000,1656.2765542985703178,1079.1368268357689431,-2052122.2708025518805,57580.76514945141389,-238352.7919476305542,-2052122.2708025518805,59.433014294776569386,51.470500079764349266,49.093253265258901763,150178.56750124981045
442000,1628.8965662662246814,-3598.8016731724874262,-2052656.0161899444647,56628.894728661121917,-237563.71062182070455,-2052656.0161899444647,59.477542480985114537,51.509062620113311937,49.130034733419783777,150516.36917728304979
444000,1631.3449924371336692,-723.27812185976154069,-2053516.2090838421136,56714.014723849715665,-238199.3279900275229,-2053516.2090838421136,59.41707231898562469,51.456693923775979727,49.080084768518169369,150057.75076419845573
446000,1604.9900438995350669,-1587.83586317547406,-2054053.020439052023,55797.77999340518727,-238191.81024424740463,-2054053.020439052023,59.411111334367490144,51.45153155967715719,49.075160836406581666,150012.5919147542445
448000,1577.8994834661943969,1060.9069357314056106,-2054549.2197545496747,54855.971577394717315,-238827.62277795551927,-2054549.2197545496747,59.362615649335218393,51.409533064565806626,49.035102108512546693,149645.53801668071537
450000,1585.8952328812563337,671.86490526912098176,-2054834.8382509031799,55133.945305917084625,-238920.70900606442592,-2054834.8382509031799,59.361660187628856988,51.408705610457921864,49.034312871686651647,149638.31234384409618
452000,1560.4812825750425418,1248.5103248686077677,-2055120.5925466821063,54250.4245555302914,-239166.88355846618651,-2055120.5925466821063,59.354896360207781925,51.402847964098448585,49.028725770030241904,149587.16759501709021
454000,1528.7032536712645197,-979.19347408417911538,-2055359.5901549514383,53145.655418714341067,-238928.46112786963931,-2055359.5901549514383,59.389646195187189903,51.432942203896111266,49.057430059553858825,149850.05272790897288
456000,1536.3636581837599806,-1094.363407978454461,-2055811.9510001363233,53411.970818783869618,-239080.28416946114157,-2055811.9510001363233,59.399102733422147082,51.44113180621992143,49.065241412083949513,149921.64542931504548
458000,1515.570098623202739,550.32815534177916561,-2056485.9159969445318,52689.078819515889336,-239733.96494262985652,-2056485.9159969445318,59.374520437013423191,51.419842913097262738,49.044935780310602524,149735.58740025709267
460000,1486.2212279161415154,-84.568422608066740054,-2057000.0382837750949,51668.759823150823649,-239866.74772706234944,-2057000.0382837750949,59.392929945365530386,51.435786014963206014,49.060142524689233312,149874.91046204659506
462000,1469.3457457471361067,-1481.0318942692526889,-2057459.4159742980264,51082.08051948298089,-239842.18992200682987,-2057459.4159742980264,59.426697040142911987,51.465029176782451259,49.088035044622934322,150130.68424518706161
464000,1465.0949505606060939,292.56159578538091637,-2057981.488908009138,50934.300827318191295,-240421.33977315321681,-2057981.488908009138,59.417921494345236511,51.457429331207521273,49.080786209989561542,150064.18463045684621
466000,1439.4944888970981083,3006.4611916596354604,-2058462.7324800561182,50044.295974603082868,-241186.61356021408574,-2058462.7324800561182,59.397413797994019546,51.439669145236351255,49.063846306422327359,149908.85731801774818
468000,1404.3944715194616037,1037.9845850204512772,-2058989.8443499105051,48824.037285244725354,-241329.17058021601406,-2058989.8443499105051,59.424874100922046694,51.463450465110724963,49.086529248258372604,150116.86870110832388
470000,1403.06905652393948,541.26185702824454893,-2059537.7942933645099,48777.958984260112629,-241621.66495829369524,-2059537.7942933645099,59.44218347013968895,51.478440818540882162,49.100827248400896963,150248.08573571711895
472000,1395.7956736281926169,-2022.3003781547181461,-2059914.7289375257678,48525.098463307200291,-241354.53118947555777,-2059914.7289375257678,59.501915897847858616,51.530170618242188141,49.150167825123098453,150701.48619581456296
474000,1368.5969781645133025,856.82195941985867194,-2060498.7431877409108,47579.530712679457793,-242206.96274480366264,-2060498.7431877409108,59.478849944639456737,51.510194916848853097,49.131114733232919889,150526.29556293552741
476000,1342.6368817933596347,-1373.0045663274268009,-2060929.5658113262616,46677.023091880844731,-242100.54354155503097,-2060929.5658113262616,59.527215708349245915,51.552080896794649334,49.17106614265293274,150893.79968811696745
478000,1343.2943147686232805,-1065.6527773939117196,-2061401.6718508396298,46699.878872608955135,-242398.90785666528973,-2061401.6718508396298,59.545373655590616124,51.567806140348615429,49.186065090851705861,151031.92596268185298
