time step,temperature,pressure,potential energy,kinetic energy,coulomb energy,pair energy,lx,ly,lz,vol
650000,299.84380546274678636,-69.426865614677183203,-2092738.3257831137162,10424.12615155324238,-254454.39801969396649,-2092738.3257831137162,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
650500,298.98603414942550671,-108.39744880835743857,-2092730.9266943633556,10394.305570916449142,-254436.19648784931633,-2092730.9266943633556,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
651000,298.30910041061861193,-147.90022708851554967,-2092727.3604713077657,10370.771842485157322,-254418.99130654538749,-2092727.3604713077657,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
651500,303.37781030959467898,-129.62448818619128588,-2092727.7757214789744,10546.986493079690263,-254402.70845053714584,-2092727.7757214789744,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
652000,300.68512193436367852,-197.46976813792727512,-2092732.0852625921834,10453.374676531037039,-254387.35187195977778,-2092732.0852625921834,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
652500,301.82997139710880674,-230.6401888177680064,-2092740.3354976063129,10493.175582892185048,-254372.98372284564539,-2092740.3354976063129,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
653000,298.61469370002220103,-313.80117514077073793,-2092752.2127619569656,10381.395850524591879,-254359.62383322665119,-2092752.2127619569656,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
653500,298.95557275491597693,-363.52163833632164369,-2092767.2215647138655,10393.246574821367176,-254347.25139557343209,-2092767.2215647138655,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
654000,298.79324746018266978,-420.8817554584949221,-2092784.9190185703337,10387.603305495604218,-254335.97385149844922,-2092784.9190185703337,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
654500,301.67539027876659929,-448.84938513751507116,-2092804.9227749132551,10487.801541311568144,-254325.76406184618827,-2092804.9227749132551,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
655000,301.3356224842735287,-510.30696950390955635,-2092826.8533496088348,10475.989450191109427,-254316.69355872075539,-2092826.8533496088348,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
655500,301.75646756743174137,-563.91926544015723266,-2092850.3075738335028,10490.620208463176823,-254308.80174663252546,-2092850.3075738335028,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
656000,299.58725613470176086,-644.87562288139963584,-2092874.8004754493013,10415.207166031728775,-254302.08959445077926,-2092874.8004754493013,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
656500,296.73543510405738743,-733.20494203329349148,-2092899.9090906269848,10316.06307286225092,-254296.63281866142643,-2092899.9090906269848,59.485266502634765118,51.515751819065592088,49.136414981090389631,150575.01699450291926
