time step,temperature,pressure,potential energy,kinetic energy,coulomb energy,pair energy,lx,ly,lz,vol
600000,299.61103345772067996,-314.97958122297853834,-2089975.9882864321116,10416.033789127421187,-254872.55299248106894,-2089975.9882864321116,59.555586116307310363,51.576650390744013919,49.194500855490403524,151109.64848243130837
600500,302.14687417729402341,418.64064206517571165,-2090109.0568293544929,10504.192767500453556,-255140.25574964421685,-2090109.0568293544929,59.540755472640000789,51.563806676604507118,49.182250348692470254,150996.7877683097613
601000,302.62129033322850091,58.08893153833285794,-2090224.8612247065175,10520.685934168224776,-255057.57132277978235,-2090224.8612247065175,59.549631863530350984,51.571493856591253291,49.18958248405935052,151064.33005887325271
601500,299.74542356596350601,-425.09200747503882667,-2090336.5575115489773,10420.705886453833955,-254946.07885314754094,-2090336.5575115489773,59.560422295098355505,51.580838644424673589,49.198495668021003269,151146.46380086310091
602000,297.33330727246038805,418.3778312082292814,-2090465.03378604725,10336.848210965461476,-255266.24440202504047,-2090465.03378604725,59.54190267961147498,51.5648001869831063,49.183197972215836558,151005.51596988661913
602500,299.55845482270865432,606.77671541890117624,-2090579.045120702358,10414.205883016784355,-255354.71994772349717,-2090579.045120702358,59.539043738907871273,51.562324271711844403,49.180836411024685617,150983.7651489751297
603000,302.91499021562179905,-354.88175845104257178,-2090671.8138340935111,10530.89646568158787,-255060.45953095701407,-2090671.8138340935111,59.56204996500932225,51.582248247913298655,49.199840166733160629,151158.85575167665957
603500,300.94705672990460243,-407.36955537088425672,-2090774.2140768815298,10462.480888840429543,-255081.64802509729634,-2090774.2140768815298,59.563645872269368908,51.583630344139329793,49.201158428649250709,151171.00654127434245
604000,297.07909533698085625,238.46296863742335859,-2090882.5489591276273,10328.010485335014891,-255337.67886131006526,-2090882.5489591276273,59.549279371625523538,51.571188589648002676,49.189291316354548655,151061.6474912443955
604500,296.10696046129015713,662.53254211674129692,-2090981.1590551689733,10294.214033996340731,-255508.09940721359453,-2090981.1590551689733,59.540672952705293142,51.563735212245290995,49.182182185027947696,150996.15995156453573
605000,299.20041184655929101,249.27811317840360061,-2091062.1604134079535,10401.758451777381197,-255383.61444948491408,-2091062.1604134079535,59.551938404826024964,51.573491379943646962,49.1914877486220945,151081.88430400658399
605500,299.73390389861310723,-329.84990903573282139,-2091134.8089888128452,10420.305403057156582,-255209.28516390820732,-2091134.8089888128452,59.566527907580081092,51.586126259927212345,49.203539066601173602,151192.95119829699979
606000,301.9027910616958934,-460.32213928415637838,-2091208.2013496779837,10495.70717219348262,-255173.61115520409658,-2091208.2013496779837,59.571659755394875901,51.590570570492502611,49.207778109622609009,151232.03184098022757
606500,302.7509085518238976,-246.67435745839409833,-2091281.9124860456213,10525.192135855775632,-255251.69658453465672,-2091281.9124860456213,59.568999168409504819,51.588266434579722386,49.2055803938875016,151211.76978983983281
607000,298.09626773105401298,184.29742952963692915,-2091354.7584859509952,10363.372674449883561,-255418.33369081295677,-2091354.7584859509952,59.560256257213069375,51.580694851398696699,49.198358516304303123,151145.19974153029034
607500,296.30166709572154105,609.92755103194554067,-2091422.4000921347179,10300.983046671872216,-255570.29613062913995,-2091422.4000921347179,59.552417584279609741,51.573906361522624309,49.191883563617565756,151085.5313347793126
608000,298.92430387745440612,91.840704972108667903,-2091472.9456303543411,10392.159506429963585,-255393.66560022506746,-2091472.9456303543411,59.566687533322699721,51.586264499875035483,49.20367092171748169,151194.1666973013489
608500,300.0154501913597187,-445.71870546445416039,-2091520.4810184412636,10430.093412746278773,-255216.61158661800437,-2091520.4810184412636,59.580895694276129859,51.598569128172350418,49.215407241209156552,151302.38339945051121
609000,303.18457870715150193,-197.24021140103369021,-2091578.7314490494318,10540.268760167964501,-255295.07485179093783,-2091578.7314490494318,59.577666922593138565,51.59577292987835051,49.212740189775708188,151277.78687204379821
