-inf,2476
1.2036,1279
1.2108,1283
1.218,1436
1.2252,1301
1.2324,1197
1.2396,1214
1.2468,1131
1.254,1319
1.2612,1488
1.2684,1748
1.2756,1897
1.2828,1905
1.29,1960
1.2972,2516
1.3044,2507
1.3116,2326
1.3188,1902
1.326,2109
1.3332,1963
1.3404,2187
1.3476,2184
1.3548,2341
1.362,2708
1.3692,3046
1.3764,3220
1.3836,3775
1.3908,3945
1.398,4426
1.4052,4941
1.4124,5903
1.4196,6414
1.4268,7242
1.434,7856
1.4412,8377
1.4484,8733
1.4556,9369
1.4628,10544
1.47,11015
1.4772,12577
1.4844,13566
1.4916,14462
1.4988,15663
1.506,17053
1.5132,18009
1.5204,18801
1.5276,20141
1.5348,21991
1.542,24300
1.5492,26017
1.5564,27699
1.5636,29482
1.5708,32931
1.578,37248
1.5852,42177
1.5924,46573
1.5996,49952
1.6068,51921
1.614,53308
1.6212,54494
1.6284,56461
1.6356,58430
1.6428,61924
1.65,68701
1.6572,77942
1.6644,88482
1.6716,95850
1.6788,103036
1.686,106588
1.6932,110858
1.7004,116392
1.7076,122917
1.7148,129429
1.722,132913
1.7292,132583
1.7364,128405
1.7436,124801
1.7508,122429
1.758,118949
1.7652,114446
1.7724,109002
1.7796,104434
1.7868,104442
1.794,107754
1.8012,111640
1.8084,115534
1.8156,120591
1.8228,123458
1.83,124503
1.8372,126299
1.8444,125526
1.8516,122581
1.8588,117227
1.866,109615
1.8732,103160
1.8804,97038
1.8876,93919
1.8948,94419
1.902,97801
1.9092,102239
1.9164,105199
1.9236,107786
1.9308,104937
1.938,102083
1.9452,97841
1.9524,92101
1.9596,87347
1.9668,84485
1.974,84106
1.9812,85170
1.9884,86613
1.9956,86438
2.0028,84757
2.01,81638
2.0172,80066
2.0244,80236
2.0316,79086
2.0388,76979
2.046,73919
2.0532,69110
2.0604,62615
2.0676,53378
2.0748,43928
2.082,35736
2.0892,27909
2.0964,21803
2.1036,18472
2.1108,16439
2.118,14975
2.1252,13197
2.1324,11117
2.1396,7977
2.1468,5788
2.154,4506
2.1612,3444
2.1684,2459
2.1756,1913
2.1828,1433
2.19,1110
2.1972,1202
2.2044,1334
2.2116,1437
2.2188,1696
2.226,1792
2.2332,1729
2.2404,1638
2.2476,1577
2.2548,1349
2.262,1316
2.2692,1214
2.2764,1286
2.2836,1531
2.2908,1886
2.298,2505
2.3052,3118
2.3124,3630
2.3196,4098
2.3268,4327
2.334,3617
2.3412,2866
2.3484,1816
