Time (ns),non-Water after lsq fit to non-Water
0.0000000,0.0000000
0.0000820,0.0291521
0.0001640,0.2059020
0.0002460,0.2471117
0.0003280,0.2277550
0.0004100,0.2775550
0.0004920,0.2779983
0.0005740,0.2992732
0.0006560,0.2602021
0.0007380,0.2921653
0.0008200,0.2879128
0.0009020,0.2529402
0.0009840,0.2535017
0.0010660,0.2271933
0.0011480,0.2635702
0.0012300,0.2387185
0.0013120,0.2268100
0.0013940,0.2270098
0.0014760,0.2325068
0.0015580,0.2269884
0.0016400,0.2704782
0.0017220,0.2201827
0.0018040,0.2463113
0.0018860,0.2467394
0.0019680,0.2411415
0.0020500,0.2656357
0.0021320,0.2468421
0.0022140,0.2623207
0.0022960,0.2628765
0.0023780,0.2202748
0.0024600,0.2578338
0.0025420,0.2679853
0.0026240,0.2401656
0.0027060,0.2462518
0.0027880,0.2469130
0.0028700,0.2577644
0.0029520,0.2581891
0.0030340,0.2457490
0.0031160,0.2535135
0.0031980,0.2541132
0.0032800,0.2829118
0.0033620,0.2758295
0.0034440,0.2636161
0.0035260,0.2971966
0.0036080,0.2751518
0.0036900,0.2754332
0.0037720,0.2652697
0.0038540,0.2765835
0.0039360,0.2468296
0.0040180,0.2752920
0.0041000,0.2712412
0.0041820,0.2716719
0.0042640,0.2341898
0.0043460,0.2519158
0.0044280,0.2757620
0.0045100,0.2338812
0.0045920,0.2340030
0.0046740,0.2655295
0.0047560,0.2934219
0.0048380,0.2755947
0.0049200,0.2819963
0.0050020,0.2468913
0.0050840,0.2472136
0.0051660,0.2713860
0.0052480,0.2470131
0.0053300,0.2533350
0.0054120,0.2529538
0.0054940,0.2536469
0.0055760,0.2476575
0.0056580,0.2460456
0.0057400,0.2581431
0.0058220,0.2595281
0.0059040,0.1897668
0.0059860,0.1898245
0.0060680,0.2201835
0.0061500,0.2529232
0.0062320,0.2338985
0.0063140,0.2466931
0.0063960,0.2473886
0.0064780,0.2768939
0.0065600,0.2769136
0.0066420,0.2535004
0.0067240,0.2710912
0.0068060,0.2916470
0.0068880,0.2923462
0.0069700,0.2472203
0.0070520,0.2598383
0.0071340,0.2867329
0.0072160,0.2972634
0.0072980,0.2979118
0.0073800,0.2342877
0.0074620,0.2596541
0.0075440,0.2391659
0.0076260,0.2055139
0.0077080,0.2408723
0.0077900,0.2411770
0.0078720,0.2533321
0.0079540,0.2712535
0.0080360,0.2466953
0.0081180,0.2129459
0.0082000,0.2692062
0.0082820,0.2697758
0.0083640,0.2205638
0.0084460,0.2273128
0.0085280,0.2599070
0.0086100,0.2471017
0.0086920,0.2475806
0.0087740,0.2344381
0.0088560,0.2472083
0.0089380,0.2501537
0.0090200,0.2271431
0.0091020,0.2402768
0.0091840,0.2405490
0.0092660,0.2596293
0.0093480,0.2405103
0.0094300,0.2404127
0.0095120,0.2875371
0.0095940,0.2884202
0.0096760,0.3219637
0.0097580,0.2828875
0.0098400,0.2713874
0.0099220,0.2598506
0.0100040,0.2771316
0.0100860,0.2776089
0.0101680,0.2473538
0.0102500,0.2471293
0.0103320,0.2826011
0.0104140,0.2467852
0.0104960,0.2471058
0.0105780,0.2596077
0.0106600,0.2638525
0.0107420,0.2754923
0.0108240,0.2699224
0.0109060,0.2458623
0.0109880,0.2462116
0.0110700,0.2828517
0.0111520,0.3137744
0.0112340,0.2858510
0.0113160,0.2698427
0.0113980,0.2702706
0.0114800,0.2974957
0.0115620,0.2713452
0.0116440,0.2402692
0.0117260,0.2404731
0.0118080,0.2197562
