E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
0,279.049,0,279.049
0.162714,275.56,-3.48282,279.043
0.325428,278.53,-0.495975,279.025
0.488143,275.542,-3.45435,278.996
0.650857,275.285,-3.66978,278.955
0.813571,279.271,0.368734,278.902
0.976285,278.211,-0.626853,278.838
1.139,278.323,-0.438463,278.762
1.30171,277.011,-1.66322,278.674
1.46443,277.386,-1.18826,278.575
1.62714,276.434,-2.02961,278.464
1.78986,276.404,-1.93657,278.341
1.95257,274.421,-3.78532,278.207
2.11528,277.841,-0.219734,278.061
2.278,277.081,-0.822778,277.904
2.44071,278.412,0.67665,277.735
2.60343,275.783,-1.77242,277.555
2.76614,276.979,-0.384962,277.364
2.92886,276.688,-0.473654,277.161
3.09157,277.531,0.583428,276.947
3.25428,276.48,-0.242451,276.722
3.417,281.928,5.44177,276.486
3.57971,276.98,0.74161,276.238
3.74243,279.203,3.22338,275.98
3.90514,277.971,2.26092,275.71
4.06785,276.804,1.37419,275.43
4.23057,277.677,2.53802,275.139
4.39328,278.146,3.30909,274.837
4.556,282.226,7.70199,274.524
4.71871,275.566,1.36443,274.201
4.88143,278.762,4.89475,273.867
5.04414,277.058,3.53514,273.523
5.20685,278.139,4.97,273.169
5.36957,280.865,8.0616,272.804
5.53228,280.263,7.83435,272.429
5.695,277.714,5.67035,272.043
5.85771,278.749,7.10042,271.648
6.02043,279.273,8.02963,271.243
6.18314,279.736,8.90828,270.828
6.34585,278.732,8.32915,270.403
6.50857,278.462,8.4937,269.969
6.67128,279.083,9.55887,269.525
6.834,277.14,8.06839,269.071
6.99671,277.582,8.97322,268.608
7.15942,279.093,10.9569,268.136
7.32214,278.031,10.3763,267.655
7.48485,280.595,13.4302,267.165
7.64757,278.023,11.357,266.666
7.81028,276.885,10.7274,266.158
7.973,277.286,11.6452,265.641
8.13571,277.469,12.353,265.116
8.29842,281.61,17.0278,264.582
8.46114,283.423,19.3828,264.04
8.62385,280.341,16.8516,263.49
8.78657,280.949,18.0177,262.931
8.94928,280.616,18.2509,262.365
9.11199,281.839,20.048,261.791
9.27471,281.346,20.1374,261.208
9.43742,283.391,22.7728,260.619
9.60014,279.934,19.9122,260.021
9.76285,283.456,24.0396,259.417
9.92557,281.709,22.9045,258.805
10.0883,285.696,27.5102,258.186
10.251,284.127,26.5672,257.559
10.4137,281.961,25.0348,256.926
10.5764,284.534,28.2474,256.286
10.7391,282.137,26.4974,255.64
10.9019,283.428,28.4416,254.987
11.0646,284.867,30.5404,254.327
11.2273,280.702,27.0402,253.661
11.39,284.927,31.9378,252.989
11.5527,284.284,31.9729,252.311
11.7154,282.912,31.2842,251.627
11.8781,281.587,30.6497,250.938
12.0409,283.696,33.4533,250.242
12.2036,285.038,35.4968,249.541
12.3663,283.48,34.645,248.835
12.529,286.941,38.8173,248.123
12.6917,284.319,36.9128,247.406
12.8544,283.369,36.6845,246.685
13.0171,285.926,39.9686,245.958
13.1798,284.583,39.3568,245.226
13.3426,285.495,41.0048,244.49
13.5053,284.396,40.6467,243.749
13.668,282.82,39.8156,243.004
13.8307,287.203,44.9488,242.255
13.9934,283.469,41.9678,241.501
14.1561,288.47,47.7266,240.743
14.3188,285.121,45.1397,239.982
14.4816,283.572,44.3562,239.216
14.6443,284.735,46.2877,238.447
14.807,289.537,51.863,237.674
14.9697,287.062,50.1642,236.898
15.1324,288.816,52.6975,236.118
15.2951,289.518,54.1825,235.336
15.4578,290.247,55.6969,234.55
15.6206,288.149,54.3884,233.761
15.7833,285.989,53.0202,232.969
15.946,289.765,57.5909,232.174
16.1087,289.516,58.1392,231.377
16.2714,290.086,59.5086,230.577
16.4341,288.686,58.9105,229.775
16.5968,289.274,60.3038,228.971
16.7596,290.807,62.6437,228.164
16.9223,292.164,64.8094,227.355
17.085,288.153,61.6094,226.544
17.2477,290.638,64.9066,225.731
17.4104,293.876,68.9592,224.916
17.5731,292.005,67.9053,224.1
17.7358,292.07,68.7879,223.282
17.8986,295.458,72.9954,222.463
18.0613,295.873,74.2318,221.642
18.224,296.772,75.9528,220.819
18.3867,300.155,80.1593,219.996
18.5494,298.77,79.5989,219.171
18.7121,299.513,81.1671,218.346
18.8748,295.655,78.1354,217.519
19.0376,299.176,82.4838,216.692
19.2003,299.092,83.2278,215.864
19.363,303.634,88.5984,215.035
19.5257,299.653,85.4473,214.206
19.6884,299.615,86.2391,213.376
19.8511,301.524,88.9786,212.546
20.0138,303.735,92.0199,211.715
20.1766,302.61,91.7254,210.884
20.3393,306.453,96.399,210.054
20.502,301.113,91.8904,209.223
20.6647,305.081,96.6891,208.392
20.8274,309.519,101.958,207.561
20.9901,305.338,98.6085,206.73
21.1528,302.807,96.9075,205.899
21.3156,306.459,101.389,205.069
21.4783,307.368,103.129,204.239
21.641,305.038,101.628,203.41
21.8037,309.22,106.639,202.581
21.9664,313.552,111.799,201.753
22.1291,312.952,112.027,200.925
22.2918,310.86,110.762,200.098
22.4546,310.331,111.058,199.272
22.6173,311.046,112.598,198.447
22.78,309.73,112.107,197.623
22.9427,318.318,121.518,196.8
23.1054,311.612,115.634,195.977
23.2681,311.322,116.166,195.156
23.4308,310.613,116.277,194.336
23.5936,309.811,116.293,193.517
23.7563,313.873,121.173,192.7
23.919,314.388,122.505,191.884
24.0817,314.495,123.426,191.069
24.2444,320.201,129.945,190.256
24.4071,315.157,125.713,189.444
24.5698,319.45,130.816,188.633
24.7326,320.281,132.456,187.825
24.8953,320.041,133.023,187.018
25.058,316.645,130.433,186.212
25.2207,320.26,134.851,185.409
25.3834,320.465,135.858,184.607
25.5461,322.025,138.219,183.807
25.7088,328.247,145.239,183.008
25.8716,325.371,143.159,182.212
26.0343,323.83,142.412,181.418
26.197,323.317,142.692,180.625
26.3597,323.734,143.899,179.835
26.5224,328.243,149.196,179.046
26.6851,325.575,147.315,178.26
26.8478,330.715,153.239,177.476
27.0106,327.638,150.944,176.694
27.1733,327.575,151.661,175.914
27.336,333.84,158.704,175.137
27.4987,333.492,159.13,174.362
27.6614,332.718,159.129,173.589
27.8241,334.784,161.966,172.818
27.9868,334.279,162.23,172.05
28.1496,336.091,164.808,171.284
28.3123,335.573,165.052,170.52
28.475,340.466,170.707,169.759
28.6377,346.402,177.401,169.001
28.8004,335.771,167.527,168.244
28.9631,335.984,168.493,167.491
29.1258,341.339,174.599,166.74
29.2886,343.587,177.596,165.991
29.4513,347.104,181.859,165.245
29.614,342.532,178.03,164.502
29.7767,344.615,180.854,163.761
29.9394,351.272,188.248,163.023
30.1021,347.935,185.647,162.288
30.2648,350.929,189.375,161.555
30.4276,345.301,184.477,160.825
30.5903,355.042,194.944,160.097
30.753,355.561,196.189,159.373
30.9157,354.223,195.572,158.651
31.0784,352.045,194.113,157.932
31.2411,366.011,208.796,157.215
31.4038,359.036,202.534,156.502
31.5666,359.815,204.024,155.791
31.7293,357.816,202.733,155.083
31.892,356.339,201.961,154.378
32.0547,359.243,205.568,153.675
32.2174,353.376,200.4,152.976
32.3801,359.561,207.282,152.279
32.5428,354.12,202.535,151.585
32.7056,355.711,204.817,150.894
32.8683,353.18,202.973,150.206
33.031,358.257,208.736,149.521
33.1937,359.829,210.99,148.839
