Time (ns),non-Water after lsq fit to non-Water
0.0216480,0.3398297
0.0217300,0.3439800
0.0218120,0.3616870
0.0218940,0.3620093
0.0219760,0.3304409
0.0220580,0.3154925
0.0221400,0.3617511
0.0222220,0.3530825
0.0223040,0.3946610
0.0223860,0.3953589
0.0224680,0.3620923
0.0225500,0.3442155
0.0226320,0.3747753
0.0227140,0.3345897
0.0227960,0.3349289
0.0228780,0.3397427
0.0229600,0.3488306
0.0230420,0.3053078
0.0231240,0.3532478
0.0232060,0.3745754
0.0232880,0.3752367
0.0233700,0.3398651
0.0234520,0.3300442
0.0235340,0.3302865
0.0236160,0.3003442
0.0236980,0.3005197
0.0237800,0.3350435
0.0238620,0.3531450
0.0239440,0.3571323
0.0240260,0.3828842
0.0241080,0.3869741
0.0241900,0.3874622
0.0242720,0.3397300
0.0243540,0.3204389
0.0244360,0.3747840
0.0245180,0.3437243
0.0246000,0.3701627
0.0246820,0.3704776
0.0247640,0.3748580
0.0248460,0.3486743
0.0249280,0.3104170
0.0250100,0.3346298
0.0250920,0.3349555
0.0251740,0.3252046
0.0252560,0.3251179
0.0253380,0.3484348
0.0254200,0.3346143
0.0255020,0.2784173
0.0255840,0.2788171
0.0256660,0.2896330
0.0257480,0.3152927
0.0258300,0.3440609
0.0259120,0.3829039
0.0259940,0.3833574
0.0260760,0.3621173
0.0261580,0.3620341
0.0262400,0.3302760
0.0263220,0.3619516
0.0264040,0.3573456
0.0264860,0.3577513
0.0265680,0.3487628
0.0266500,0.3394209
0.0267320,0.3574176
0.0268140,0.3700585
0.0268960,0.3705375
0.0269780,0.3876908
0.0270600,0.3664105
0.0271420,0.3298672
0.0272240,0.3439553
0.0273060,0.3348098
0.0273880,0.3352166
0.0274700,0.3618809
0.0275520,0.3744845
0.0276340,0.3910763
0.0277160,0.3392246
0.0277980,0.3396437
0.0278800,0.3440627
0.0279620,0.3990832
0.0280440,0.3483185
0.0281260,0.3441150
0.0282080,0.3395726
0.0282900,0.3400204
0.0283720,0.3440033
0.0284540,0.3707228
0.0285360,0.3705322
0.0286180,0.3615838
0.0287000,0.3527079
0.0287820,0.3531279
0.0288640,0.3663103
0.0289460,0.3575536
0.0290280,0.3576604
0.0291100,0.3988302
0.0291920,0.3993004
0.0292740,0.3572518
0.0293560,0.3532384
0.0294380,0.3300887
0.0295200,0.3391053
0.0296020,0.3616677
0.0296840,0.3621835
0.0297660,0.3396853
0.0298480,0.3488676
0.0299300,0.3660129
0.0300120,0.3786469
0.0300940,0.3793149
0.0301760,0.3620076
0.0302580,0.3535406
0.0303400,0.3250252
0.0304220,0.3530154
0.0305040,0.3573183
0.0305860,0.3575867
0.0306680,0.3790153
0.0307500,0.3574691
0.0308320,0.3440824
0.0309140,0.3396158
0.0309960,0.3397644
0.0310780,0.3397196
0.0311600,0.3534659
0.0312420,0.3348125
0.0313240,0.3486338
0.0314060,0.3485591
0.0314880,0.3489741
0.0315700,0.3303290
0.0316520,0.3300864
0.0317340,0.3300308
0.0318160,0.3438784
0.0318980,0.3444836
0.0319800,0.3107590
0.0320620,0.3301456
0.0321440,0.3481687
0.0322260,0.3657633
0.0323080,0.3438925
0.0323900,0.3444891
0.0324720,0.3351448
0.0325540,0.3791330
0.0326360,0.3664287
0.0327180,0.3485963
0.0328000,0.3393796
0.0328820,0.3400581
0.0329640,0.3395714
0.0330460,0.3620930
0.0331280,0.3486265
0.0332100,0.3250732
0.0332920,0.3258484
0.0333740,0.3489094
0.0334560,0.3438586
0.0335380,0.3529629
0.0336200,0.3250281
0.0337020,0.3482290
0.0337840,0.3488127
0.0338660,0.3574955
0.0339480,0.3442360
0.0340300,0.3301133
0.0341120,0.3659658
0.0341940,0.3665011
0.0342760,0.3488274
0.0343580,0.3532788
0.0344400,0.3619440
0.0345220,0.3572239
0.0346040,0.3702792
0.0346860,0.3707485
0.0347680,0.3830668
0.0348500,0.3617523
0.0349320,0.3703029
0.0350140,0.3529804
0.0350960,0.3534393
0.0351780,0.3304646
0.0352600,0.3621834
0.0353420,0.3052781
0.0354240,0.2948464
0.0355060,0.3253686
0.0355880,0.3255812
0.0356700,0.3535371
0.0357520,0.3103847
0.0358340,0.3346153
0.0359160,0.3616772
0.0359980,0.3623403
0.0360800,0.3207036
0.0361620,0.3053954
0.0362440,0.3393116
0.0363260,0.3700791
0.0364080,0.3950041
0.0364900,0.3957599
0.0365720,0.3394935
0.0366540,0.3393143
0.0367360,0.3704631
0.0368180,0.3659534
0.0369000,0.3744224
0.0369820,0.3748791
0.0370640,0.3575757
0.0371460,0.3393803
0.0372280,0.3788796
0.0373100,0.3394624
0.0373920,0.3399617
0.0374740,0.3400893
0.0375560,0.3443277
0.0376380,0.3103250
0.0377200,0.3301769
0.0378020,0.3154978
0.0378840,0.3157151
0.0379660,0.3254785
0.0380480,0.3347780
0.0381300,0.3658521
0.0382120,0.3572964
0.0382940,0.3578713
0.0383760,0.3254477
0.0384580,0.3349300
0.0385400,0.3535822
0.0386220,0.3486060
0.0387040,0.3662090
0.0387860,0.3665852
0.0388680,0.3792873
0.0389500,0.3619597
0.0390320,0.3663591
0.0391140,0.3705563
0.0391960,0.3711939
0.0392780,0.3350533
0.0393600,0.3703811
0.0394420,0.3913184
0.0395240,0.3484837
0.0396060,0.3298017
0.0396880,0.3303094
0.0397700,0.3620989
0.0398520,0.3485662
0.0399340,0.3662513
0.0400160,0.3348654
0.0400980,0.3353365
0.0401800,0.3532190
0.0402620,0.3874790
0.0403440,0.3577148
0.0404260,0.3572020
0.0405080,0.3528549
0.0405900,0.3532578
0.0406720,0.3748573
0.0407540,0.3577141
0.0408360,0.3255346
0.0409180,0.3441077
0.0410000,0.3249215
0.0410820,0.3253125
0.0411640,0.3254635
0.0412460,0.3205572
0.0413280,0.3393255
0.0414100,0.3660478
0.0414920,0.3665623
0.0415740,0.3442447
0.0416560,0.3621257
0.0417380,0.3154453
0.0418200,0.3440356
0.0419020,0.3002220
0.0419840,0.3004926
0.0420660,0.3579736
0.0421480,0.3349012
0.0422300,0.3486962
0.0423120,0.3784953
0.0423940,0.3788912
0.0424760,0.3579178
0.0425580,0.3487538
0.0426400,0.3663581
0.0427220,0.3299588
0.0428040,0.3393910
0.0428860,0.3397855
0.0429680,0.3302974
0.0430500,0.3486413
0.0431320,0.3392095
0.0432140,0.3702805
0.0432960,0.3710717
0.0433780,0.3105387
0.0434600,0.3347349
0.0435420,0.3529641
0.0436240,0.3617007
0.0437060,0.3904680
0.0437880,0.3910952
0.0438700,0.3708752
0.0439520,0.3300645
0.0440340,0.3830310
0.0441160,0.3788784
0.0441980,0.3792496
0.0442800,0.3396355
0.0443620,0.3530691
0.0444440,0.3348735
0.0445260,0.3617362
0.0446080,0.3299720
0.0446900,0.3302643
0.0447720,0.3574244
0.0448540,0.3788191
0.0449360,0.3702998
0.0450180,0.3438050
0.0451000,0.3345224
0.0451820,0.3348468
0.0452640,0.3831767
0.0453460,0.3398143
0.0454280,0.3302189
0.0455100,0.3298059
0.0455920,0.3300851
0.0456740,0.3532137
0.0457560,0.3300164
0.0458380,0.3201384
0.0459200,0.3439366
0.0460020,0.3480910
0.0460840,0.3485868
0.0461660,0.3486553
0.0462480,0.3575200
0.0463300,0.3704305
0.0464120,0.3615636
0.0464940,0.3618924
0.0465760,0.3954382
0.0466580,0.3661445
0.0467400,0.3660897
0.0468220,0.3748363
0.0469040,0.3199118
0.0469860,0.3203345
0.0470680,0.3349068
0.0471500,0.3349266
0.0472320,0.3151451
0.0473140,0.3250452
0.0473960,0.3255093
0.0474780,0.3491105
0.0475600,0.3621448
0.0476420,0.3576662
0.0477240,0.3618105
0.0478060,0.3574777
0.0478880,0.3580106
0.0479700,0.3484634
0.0480520,0.3703714
0.0481340,0.3658946
0.0482160,0.3436096
0.0482980,0.3440003
0.0483800,0.3394900
0.0484620,0.3382279
0.0485440,0.3520067
0.0486260,0.3347046
0.0487080,0.3530790
0.0487900,0.3535062
0.0488720,0.3665617
0.0489540,0.3440415
0.0490360,0.3576625
0.0491180,0.3575477
0.0492000,0.3055011
0.0492820,0.3057447
0.0493640,0.3787930
0.0494460,0.3528729
0.0495280,0.3618721
0.0496100,0.3825732
0.0496920,0.3832360
0.0497740,0.3348956
0.0498560,0.3153602
0.0499380,0.3833476
0.0500200,0.3395059
0.0501020,0.3575027
0.0501840,0.3577745
0.0502660,0.3664230
0.0503480,0.3297541
0.0504300,0.3746897
0.0505120,0.3785072
0.0505940,0.3791457
0.0506760,0.3349165
0.0507580,0.3441848
0.0508400,0.3529730
0.0509220,0.3298944
0.0510040,0.3616912
0.0510860,0.3626785
0.0511680,0.3300798
0.0512500,0.3350148
0.0513320,0.3393895
0.0514140,0.3701309
0.0514960,0.3709458
0.0515780,0.3578137
0.0516600,0.3912051
0.0517420,0.3748569
0.0518240,0.3484255
0.0519060,0.3438037
0.0519880,0.3443252
0.0520700,0.3619288
0.0521520,0.3254432
0.0522340,0.3394012
0.0523160,0.3440721
0.0523980,0.3446313
0.0524800,0.3394599
0.0525620,0.3252775
0.0526440,0.3488304
0.0527260,0.3530244
0.0528080,0.3102052
0.0528900,0.3104026
0.0529720,0.3705930
0.0530540,0.3528638
0.0531360,0.3871636
0.0532180,0.3828636
0.0533000,0.3616960
0.0533820,0.3622057
0.0534640,0.3054003
0.0535460,0.3203419
0.0536280,0.3484599
0.0537100,0.3298387
0.0537920,0.3303666
0.0538740,0.3347328
0.0539560,0.3443675
0.0540380,0.3576424
0.0541200,0.3439282
0.0542020,0.3909376
0.0542840,0.3915602
0.0543660,0.3490962
0.0544480,0.3832488
0.0545300,0.3657784
0.0546120,0.3788382
0.0546940,0.3794528
0.0547760,0.3444703
0.0548580,0.3153863
0.0549400,0.3487276
0.0550220,0.3300468
0.0551040,0.3251009
0.0551860,0.3254927
0.0552680,0.3106023
0.0553500,0.2724863
0.0554320,0.3156447
0.0555140,0.3480490
0.0555960,0.3487751
0.0556780,0.3488738
0.0557600,0.3253957
0.0558420,0.3486830
0.0559240,0.3571197
0.0560060,0.3660004
0.0560880,0.3664046
0.0561700,0.3874233
0.0562520,0.3443022
0.0563340,0.3250917
0.0564160,0.3784130
0.0564980,0.3788398
0.0565800,0.3623085
0.0566620,0.3484546
0.0567440,0.3530289
0.0568260,0.3661118
0.0569080,0.3439176
0.0569900,0.3443579
0.0570720,0.3489474
0.0571540,0.3351517
0.0572360,0.3488034
0.0573180,0.3787069
0.0574000,0.3866503
0.0574820,0.3872513
0.0575640,0.3301412
0.0576460,0.3531933
0.0577280,0.3826684
0.0578100,0.3616174
0.0578920,0.3621251
0.0579740,0.3354498
0.0580560,0.3054390
0.0581380,0.3442930
0.0582200,0.3345961
0.0583020,0.3567408
0.0583840,0.3571148
0.0584660,0.3485740
0.0585480,0.3699187
0.0586300,0.3613253
0.0587120,0.3528490
0.0587940,0.3534044
0.0588760,0.3576622
0.0589580,0.3489749
0.0590400,0.3536009
0.0591220,0.3486144
0.0592040,0.3488089
0.0592860,0.3491915
0.0593680,0.3491313
0.0594500,0.3579896
0.0595320,0.3442741
0.0596140,0.3662669
0.0596960,0.3666117
0.0597780,0.3790633
0.0598600,0.3750603
0.0599420,0.3703666
0.0600240,0.3392957
0.0601060,0.3615981
0.0601880,0.3621563
0.0602700,0.3252644
0.0603520,0.3442903
0.0604340,0.3485753
0.0605160,0.3485287
0.0605980,0.3488427
0.0606800,0.3487614
0.0607620,0.3666896
0.0608440,0.3621282
0.0609260,0.3614756
0.0610080,0.3784603
0.0610900,0.3790545
0.0611720,0.3621213
0.0612540,0.3300687
0.0613360,0.3486792
0.0614180,0.3702640
0.0615000,0.4025010
0.0615820,0.4031007
0.0616640,0.3621892
0.0617460,0.3873622
0.0618280,0.3663180
0.0619100,0.4026513
0.0619920,0.4034948
0.0620740,0.3397157
0.0621560,0.3663986
0.0622380,0.3789566
0.0623200,0.3531335
0.0624020,0.3701309
0.0624840,0.3706888
0.0625660,0.3441209
0.0626480,0.3619243
0.0627300,0.3531529
0.0628120,0.3660745
0.0628940,0.3665097
0.0629760,0.3443160
0.0630580,0.3349414
0.0631400,0.3745901
0.0632220,0.3703708
0.0633040,0.3528862
0.0633860,0.3536209
0.0634680,0.3253775
0.0635500,0.3304351
0.0636320,0.3396643
0.0637140,0.3302873
0.0637960,0.3305995
0.0638780,0.3443958
0.0639600,0.3706614
0.0640420,0.3529890
0.0641240,0.3746151
0.0642060,0.3659082
0.0642880,0.3663347
0.0643700,0.3663587
0.0644520,0.3750918
0.0645340,0.3704384
0.0646160,0.3482088
0.0646980,0.3488820
0.0647800,0.3395709
0.0648620,0.3789547
0.0649440,0.3619705
0.0650260,0.3484419
0.0651080,0.3437719
0.0651900,0.3440896
0.0652720,0.3438489
0.0653540,0.3441480
0.0654360,0.3302770
0.0655180,0.3663590
0.0656000,0.3576026
0.0656820,0.3582597
0.0657640,0.3444996
0.0658460,0.3666166
0.0659280,0.3573471
0.0660100,0.3200380
0.0660920,0.3205818
0.0661740,0.3664253
0.0662560,0.3532106
0.0663380,0.3395676
0.0664200,0.3153937
0.0665020,0.3659555
0.0665840,0.3664886
0.0666660,0.3533462
0.0667480,0.3344131
0.0668300,0.3911038
0.0669120,0.3785442
0.0669940,0.3792669
0.0670760,0.3301857
0.0671580,0.3487128
0.0672400,0.3395347
0.0673220,0.3204537
0.0674040,0.3437246
0.0674860,0.3439404
0.0675680,0.3578376
0.0676500,0.3393246
0.0677320,0.3618084
0.0678140,0.3661442
0.0678960,0.3667343
0.0679780,0.3486693
0.0680600,0.3952706
0.0681420,0.3701320
0.0682240,0.3526948
0.0683060,0.3527774
0.0683880,0.3531642
0.0684700,0.3993586
0.0685520,0.3871173
0.0686340,0.3485216
0.0687160,0.3829734
0.0687980,0.3835268
0.0688800,0.3577739
0.0689620,0.3575759
0.0690440,0.3486461
0.0691260,0.3662477
0.0692080,0.3299955
0.0692900,0.3305066
0.0693720,0.3490541
0.0694540,0.3158000
0.0695360,0.3350818
0.0696180,0.3621004
0.0697000,0.3348745
0.0697820,0.3354128
0.0698640,0.3531379
0.0699460,0.3619194
0.0700280,0.3392889
0.0701100,0.3440473
0.0701920,0.3446604
0.0702740,0.3396213
0.0703560,0.3911758
0.0704380,0.3827779
0.0705200,0.3657962
0.0706020,0.3615548
0.0706840,0.3619224
0.0707660,0.3577210
0.0708480,0.3441399
0.0709300,0.3200053
0.0710120,0.3150318
0.0710940,0.3155242
0.0711760,0.3158051
0.0712580,0.3575152
0.0713400,0.3529450
0.0714220,0.3250882
0.0715040,0.3436531
0.0715860,0.3440232
0.0716680,0.3871853
0.0717500,0.4031942
0.0718320,0.3531929
0.0719140,0.3530964
0.0719960,0.3534525
0.0720780,0.3486768
0.0721600,0.3579877
0.0722420,0.3574150
0.0723240,0.3826806
0.0724060,0.3864177
0.0724880,0.3872032
0.0725700,0.3303206
0.0726520,0.3443344
0.0727340,0.3737300
0.0728160,0.3439769
0.0728980,0.3447231
0.0729800,0.3208386
0.0730620,0.3581255
0.0731440,0.3484378
0.0732260,0.3440544
0.0733080,0.3827003
0.0733900,0.3832742
0.0734720,0.3791220
0.0735540,0.3790847
0.0736360,0.3252487
0.0737180,0.3659309
0.0738000,0.3439476
0.0738820,0.3444107
0.0739640,0.3253572
0.0740460,0.3487065
0.0741280,0.3618528
0.0742100,0.3704739
0.0742920,0.3708785
0.0743740,0.3476922
0.0744560,0.3575682
0.0745380,0.3397459
0.0746200,0.3574762
0.0747020,0.3251243
0.0747840,0.3255246
0.0748660,0.3624004
0.0749480,0.3615277
0.0750300,0.3909417
0.0751120,0.3527566
0.0751940,0.3533126
0.0752760,0.3708690
0.0753580,0.3746998
0.0754400,0.3439865
0.0755220,0.3576469
0.0756040,0.3662743
0.0756860,0.3668607
0.0757680,0.3349914
0.0758500,0.3254990
0.0759320,0.3151911
0.0760140,0.3346174
0.0760960,0.3348207
0.0761780,0.3748205
0.0762600,0.3490230
0.0763420,0.3052906
0.0764240,0.3530259
0.0765060,0.3485090
0.0765880,0.3489659
0.0766700,0.3488317
0.0767520,0.3441836
0.0768340,0.3347950
0.0769160,0.3485984
0.0769980,0.3488690
0.0770800,0.3873105
0.0771620,0.3666370
0.0772440,0.3484882
0.0773260,0.3572460
0.0774080,0.3571553
0.0774900,0.3576124
0.0775720,0.3615802
0.0776540,0.3827028
0.0777360,0.3300468
0.0778180,0.3001384
0.0779000,0.3151825
0.0779820,0.3154402
0.0780640,0.3255473
0.0781460,0.3790884
0.0782280,0.3394275
0.0783100,0.3950358
0.0783920,0.3955123
0.0784740,0.3747860
0.0785560,0.3705595
0.0786380,0.3574417
0.0787200,0.3298989
0.0788020,0.3617947
0.0788840,0.3625662
0.0789660,0.3303377
0.0790480,0.3439900
0.0791300,0.3300979
0.0792120,0.3741447
0.0792940,0.3745815
0.0793760,0.4068111
0.0794580,0.3663875
0.0795400,0.3827355
0.0796220,0.3618763
0.0797040,0.3571264
0.0797860,0.3578704
0.0798680,0.3155830
0.0799500,0.3254994
0.0800320,0.3153428
0.0801140,0.3439169
0.0801960,0.3442731
0.0802780,0.3620758
0.0803600,0.3664742
0.0804420,0.3485357
0.0805240,0.3530373
0.0806060,0.3573694
0.0806880,0.3577858
0.0807700,0.3398166
0.0808520,0.3396140
0.0809340,0.3439133
0.0810160,0.3574121
0.0810980,0.3581957
0.0811800,0.3351074
0.0812620,0.3620670
0.0813440,0.3440056
0.0814260,0.3439979
0.0815080,0.3528254
0.0815900,0.3530180
0.0816720,0.3705042
0.0817540,0.3442041
0.0818360,0.3391756
0.0819180,0.3439369
0.0820000,0.3616202
0.0820820,0.3621808
0.0821640,0.3203372
0.0822460,0.3575597
0.0823280,0.3574290
0.0824100,0.3785098
0.0824920,0.3791158
0.0825740,0.3829786
0.0826560,0.3949374
0.0827380,0.3529052
0.0828200,0.3440702
