Time (ps),Temperature
0.000000,50.037163
2.000000,50.631351
4.000000,50.672276
6.000000,49.769329
8.000000,50.038097
10.000000,49.936916
12.000000,49.484367
14.000000,49.635628
16.000000,49.514820
18.000000,49.558147
20.000000,50.289585
22.000000,50.360397
24.000000,50.993084
26.000000,50.059776
28.000000,49.983780
30.000000,49.786171
32.000000,49.686527
34.000000,50.135292
36.000000,49.084850
38.000000,50.270344
40.000000,49.525715
42.000000,49.525658
44.000000,49.582539
46.000000,50.002766
48.000000,50.420547
50.000000,49.747841
