Time (ps),Radius (nm)
1720,1.5832
1724,1.58349
1728,1.58353
1732,1.58264
1736,1.58277
1740,1.58295
1744,1.58302
1748,1.58374
1752,1.58353
1756,1.58356
1760,1.58288
1764,1.58298
1768,1.58375
1772,1.58306
1776,1.58385
1780,1.58298
1784,1.58312
1788,1.58294
1792,1.58383
1796,1.58378
1800,1.584
1804,1.58364
1808,1.58339
1812,1.58326
1816,1.58313
1820,1.58385
1824,1.5829
1828,1.58318
1832,1.58332
1836,1.58303
1840,1.58388
1844,1.58325
1848,1.58309
1852,1.58345
1856,1.5834
1860,1.58399
1864,1.58345
1868,1.5832
1872,1.58362
1876,1.58363
1880,1.5834
1884,1.58288
1888,1.58353
1892,1.58365
1896,1.58341
1900,1.58237
1904,1.58372
1908,1.58352
1912,1.5829
1916,1.58394
1920,1.58341
1924,1.58361
1928,1.58313
1932,1.58379
1936,1.58342
1940,1.58346
1944,1.58345
1948,1.58295
1952,1.58431
1956,1.58323
1960,1.58249
1964,1.5838
1968,1.5831
1972,1.5832
1976,1.58361
1980,1.58339
1984,1.58332
1988,1.58301
1992,1.58294
1996,1.58378
2000,1.58304
2004,1.58333
2008,1.58366
2012,1.58401
2016,1.58347
2020,1.5832
2024,1.58333
2028,1.58363
2032,1.58334
2036,1.58338
2040,1.58277
2044,1.58358
2048,1.58382
2052,1.58319
2056,1.58266
2060,1.58317
2064,1.58359
2068,1.58373
2072,1.5831
2076,1.58292
2080,1.58392
2084,1.58398
2088,1.58328
2092,1.58356
2096,1.58343
2100,1.58363
2104,1.583
2108,1.58333
2112,1.58302
2116,1.58303
2120,1.5831
2124,1.58315
2128,1.58385
2132,1.58357
2136,1.58333
2140,1.58316
2144,1.58301
2148,1.58307
2152,1.5834
2156,1.583
2160,1.58309
2164,1.58352
2168,1.58292
2172,1.5829
2176,1.58374
2180,1.58385
2184,1.58297
2188,1.58273
2192,1.58355
2196,1.58276
2200,1.58293
2204,1.58291
2208,1.58332
2212,1.58297
2216,1.58325
2220,1.58273
2224,1.58334
2228,1.58332
2232,1.5837
2236,1.58317
2240,1.58323
2244,1.5835
2248,1.58373
2252,1.5835
2256,1.58304
2260,1.58356
2264,1.58331
2268,1.5833
2272,1.58371
2276,1.58317
2280,1.58283
2284,1.58357
2288,1.58254
2292,1.5831
2296,1.5839
2300,1.58354
2304,1.5826
2308,1.58301
2312,1.58363
2316,1.58377
2320,1.58363
2324,1.58293
2328,1.58321
2332,1.58297
2336,1.58316
2340,1.58313
2344,1.58397
2348,1.58289
2352,1.58316
2356,1.58316
2360,1.58326
2364,1.58324
2368,1.58297
