Generated by pymatgen.io.lammps.data.LammpsData

8436  atoms

   3  atom types

0.000000 59.647289  xlo xhi
0.000000 51.656067  ylo yhi
0.000000 49.270250  zlo zhi

Masses

1  28.08550
2   1.00794
3  15.99940

Atoms

1     1  1 0.0000  3.545781  5.652029  4.186662
2     1  1 0.0000  2.460007  3.077104  3.461032
3     1  1 0.0000  0.564988  4.334154  1.382771
4     1  1 0.0000  6.049954  1.113734  0.890332
5     1  1 0.0000 10.779344  8.719225 24.560161
6     1  1 0.0000  0.115982 24.171857 13.527787
7     1  1 0.0000  7.288269  5.206818  1.734552
8     1  1 0.0000 10.250768  3.138512  3.837134
9     1  1 0.0000  7.555771  4.222239  4.565741
10    1  1 0.0000  6.474231  1.245929  4.060473
11    1  1 0.0000 10.990991  0.800185  5.554399
12    1  1 0.0000  9.088772  0.462799  0.461878
13    1  1 0.0000 10.072764  5.295877  0.350643
14    1  1 0.0000  9.133579  0.304800  3.298445
15    1  1 0.0000  0.113053 22.340935 10.992844
16    1  1 0.0000 12.600222  4.867216  3.326757
17    1  1 0.0000 14.311750  2.682435  2.324088
18    1  1 0.0000 17.115520  3.918359  1.922259
19    1  1 0.0000 17.559433  6.079058  3.970842
20    1  1 0.0000 19.984663  2.897948  2.999423
21    1  1 0.0000 21.853044  4.313610  4.739972
22    1  1 0.0000 22.820952  3.241430  2.148798
23    1  1 0.0000 18.491733  0.533599  3.968810
24    1  1 0.0000 23.692086  0.375314  1.353487
25    1  1 0.0000 17.966683  2.656603  6.040184
26    1  1 0.0000 25.434809  0.213211  3.616275
27    1  1 0.0000 27.077070  2.844570  2.798742
28    1  1 0.0000 26.321983  5.347258  1.150657
29    1  1 0.0000 27.945218  3.745589  5.587630
30    1  1 0.0000 29.345253  1.697730  1.125996
31    1  1 0.0000 28.421351  0.824747  5.597721
32    1  1 0.0000  5.353976  7.754882  5.259139
33    1  1 0.0000  2.396406  7.755583  2.517669
34    1  1 0.0000  2.010266 12.015778  4.112286
35    1  1 0.0000  2.705101  9.320466  5.093512
36    1  1 0.0000  0.309219  8.515023  0.399384
37    1  1 0.0000  3.829277 11.984500  6.126408
38    1  1 0.0000  5.868666 11.455911  1.701485
39    1  1 0.0000  9.780572 10.437574  4.695151
40    1  1 0.0000  7.160124  9.474370  3.331339
41    1  1 0.0000 11.044599 11.989170  2.618516
42    1  1 0.0000  8.598993 12.551923  0.877953
43    1  1 0.0000  6.928020  7.946243  0.419802
44    1  1 0.0000 13.316559  6.948975  5.475515
45    1  1 0.0000 12.445102  6.919814  1.009858
46    1  1 0.0000 12.570665 10.035797  0.727094
47    1  1 0.0000 15.450862  8.274853  3.439738
48    1  1 0.0000 15.693975 11.123907  4.456383
49    1  1 0.0000 16.987716  8.058905  0.773050
50    1  1 0.0000 14.880208 11.900357  0.250603
51    1  1 0.0000 19.649013  7.036017  2.158759
52    1  1 0.0000  1.501638 14.248698  0.619597
53    1  1 0.0000  3.898772 13.613541  2.204916
54    1  1 0.0000  4.331925 16.546894  2.636717
55    1  1 0.0000  3.634974 18.293591  4.878519
56    1  1 0.0000  2.555002 17.863882  0.637198
57    1  1 0.0000  0.619607 14.257243  5.600477
58    1  1 0.0000  6.002808 14.163441  5.613743
59    1  1 0.0000  6.518800 17.345941  0.441907
60    1  1 0.0000  7.997423 16.083239  3.953244
61    1  1 0.0000  9.305237 17.928427  5.734642
62    1  1 0.0000  8.762533 15.447962  1.199121
63    1  1 0.0000  7.749452 19.102025  3.536927
64    1  1 0.0000 12.461313 14.845279  3.098359
65    1  1 0.0000  1.778286 20.633800  3.872202
66    1  1 0.0000  3.396774 22.321343  1.873303
67    1  1 0.0000  3.296151 25.512405  1.924178
68    1  1 0.0000  2.280211 24.984300  4.662338
69    1  1 0.0000  7.544736 22.664418  0.255034
70    1  1 0.0000  7.359919 23.693371  4.851083
71    1  1 0.0000  6.317517 21.688516  2.867317
72    1  1 0.0000  9.903480 23.973998  3.396365
73    1  1 0.0000 10.348216 20.137697  2.218912
74    1  1 0.0000  2.525001  0.083904  3.555170
75    1  1 0.0000  2.535711  4.041571  6.292546
76    1  1 0.0000  4.428938  3.846261  8.672736
77    1  1 0.0000  2.603923  3.295888 11.191749
78    1  1 0.0000  0.881877  5.784487  7.988941
79    1  1 0.0000  1.490938  0.496527 10.449450
80    1  1 0.0000  0.238488  5.050272 12.343358
81    1  1 0.0000  6.548485  5.787767  7.270875
82    1  1 0.0000  6.880849  2.016662  9.287593
83    1  1 0.0000  9.406000  2.329038  7.649992
84    1  1 0.0000  9.535256  5.433715  7.744864
85    1  1 0.0000 11.682924  1.641190  9.396492
86    1  1 0.0000 11.036668  6.300141 10.302544
87    1  1 0.0000  7.646365  2.530528 12.090790
88    1  1 0.0000 16.734609  1.716168  8.497442
89    1  1 0.0000 14.123808  2.790405  7.953745
90    1  1 0.0000 14.971225  5.674159  7.861895
