Time (ps),Temperature
0.000000,302.054474
2.000000,301.591431
4.000000,301.070129
6.000000,299.943939
8.000000,300.793793
10.000000,297.037659
12.000000,301.934113
14.000000,301.477173
16.000000,299.821198
18.000000,296.524841
20.000000,298.992096
22.000000,298.878998
24.000000,301.476837
26.000000,299.749634
28.000000,294.093292
30.000000,302.449371
32.000000,298.790771
34.000000,298.227753
36.000000,297.548920
38.000000,303.018341
40.000000,298.487396
42.000000,298.134552
44.000000,295.010712
46.000000,300.888794
48.000000,299.775238
50.000000,300.961670
