Time (ns),Water after lsq fit to Water
0.0000000,0.0000000
0.0000050,0.0027421
0.0000100,0.0052150
0.0000150,0.0073663
0.0000200,0.0093372
0.0000250,0.0111652
0.0000300,0.0127341
0.0000350,0.0140361
0.0000400,0.0152259
0.0000450,0.0164137
0.0000500,0.0175653
0.0000550,0.0186625
0.0000600,0.0197814
0.0000650,0.0209541
0.0000700,0.0221008
0.0000750,0.0231583
0.0000800,0.0241507
0.0000850,0.0251068
0.0000900,0.0260002
0.0000950,0.0268234
0.0001000,0.4150121
0.0001050,0.4150187
0.0001100,0.4150293
0.0001150,0.4150432
0.0001200,0.4150652
0.0001250,0.4151008
0.0001300,0.4151498
0.0001350,0.4152112
0.0001400,0.4152852
0.0001450,0.4153701
0.0001500,0.4154600
0.0001550,0.4155509
0.0001600,0.4156419
0.0001650,0.4157337
0.0001700,0.4158257
0.0001750,0.4159185
0.0001800,0.4160143
0.0001850,0.4161141
0.0001900,0.4162182
0.0001950,0.4163274
0.0002000,0.4807164
0.0002050,0.4807777
0.0002100,0.4808517
0.0002150,0.4809365
0.0002200,0.4810292
0.0002250,0.4811271
0.0002300,0.4812254
0.0002350,0.4813204
0.0002400,0.4814107
0.0002450,0.4814963
0.0002500,0.4815770
0.0002550,0.4816531
0.0002600,0.4817245
0.0002650,0.4817908
0.0002700,0.4818515
0.0002750,0.4819068
0.0002800,0.4819559
0.0002850,0.4819988
0.0002900,0.4820364
0.0002950,0.4820698
0.0003000,0.4181374
0.0003050,0.4181360
0.0003100,0.4181325
0.0003150,0.4181295
0.0003200,0.4181288
0.0003250,0.4181318
0.0003300,0.4181390
0.0003350,0.4181502
0.0003400,0.4181639
0.0003450,0.4181784
0.0003500,0.4181927
0.0003550,0.4182055
0.0003600,0.4182164
0.0003650,0.4182263
0.0003700,0.4182363
0.0003750,0.4182475
0.0003800,0.4182583
0.0003850,0.4182682
0.0003900,0.4182770
0.0003950,0.4182847
0.0004000,0.4182898
0.0004050,0.4182900
0.0004100,0.4182858
0.0004150,0.4182787
0.0004200,0.4182701
0.0004250,0.4182606
0.0004300,0.4182510
0.0004350,0.4182416
0.0004400,0.4182318
0.0004450,0.4182203
0.0004500,0.4182071
0.0004550,0.4181922
0.0004600,0.4181766
0.0004650,0.4181600
0.0004700,0.4181426
0.0004750,0.4181249
0.0004800,0.4181068
0.0004850,0.4180880
0.0004900,0.4180691
0.0004950,0.4180509
0.0005000,0.4180352
0.0005050,0.4180221
0.0005100,0.4180125
0.0005150,0.4180057
0.0005200,0.4179989
0.0005250,0.4179896
0.0005300,0.4179760
0.0005350,0.4179570
0.0005400,0.4179322
0.0005450,0.4179022
