E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
344.238,3.60906,3.23494,0.37412
345.572,3.80789,3.43597,0.371918
346.907,3.85587,3.48614,0.369732
348.241,3.81727,3.4497,0.367564
349.575,3.54843,3.18302,0.365413
350.909,3.88096,3.51768,0.363279
352.244,3.7386,3.37744,0.361162
353.578,3.86911,3.51005,0.359061
354.912,3.87633,3.51935,0.356977
356.246,3.66993,3.31502,0.354909
357.581,3.95876,3.6059,0.352857
358.915,3.9452,3.59438,0.350822
360.249,3.90558,3.55678,0.348802
361.583,4.29635,3.94955,0.346798
362.918,4.05789,3.71308,0.34481
364.252,4.05626,3.71342,0.342837
365.586,4.18511,3.84423,0.34088
366.921,3.94297,3.60403,0.338937
368.255,4.15188,3.81487,0.33701
369.589,4.10116,3.76607,0.335098
370.923,4.42555,4.09235,0.3332
372.258,4.12637,3.79505,0.331317
373.592,4.13248,3.80303,0.329449
374.926,4.22926,3.90167,0.327595
376.26,4.1488,3.82304,0.325755
377.595,4.47971,4.15578,0.323929
378.929,4.1963,3.87418,0.322118
380.263,4.37409,4.05377,0.32032
381.597,4.66218,4.34365,0.318536
382.932,4.47701,4.16025,0.316765
384.266,4.48431,4.1693,0.315008
385.6,4.41826,4.10499,0.313265
386.934,4.74729,4.43576,0.311535
388.269,4.78931,4.47949,0.309817
389.603,5.00312,4.69501,0.308113
390.937,4.63529,4.32887,0.306422
392.271,4.58778,4.28304,0.304743
393.606,4.43674,4.13367,0.303078
394.94,4.89835,4.59692,0.301424
396.274,4.54158,4.24179,0.299783
397.608,4.86502,4.56687,0.298155
398.943,4.97896,4.68242,0.296539
400.277,4.78088,4.48594,0.294934
401.611,4.95751,4.66417,0.293342
402.945,4.87483,4.58307,0.291762
404.28,4.92335,4.63316,0.290193
405.614,4.66184,4.3732,0.288636
406.948,4.58541,4.29831,0.287091
408.282,5.10235,4.8168,0.285557
409.617,4.99921,4.71517,0.284035
410.951,4.64445,4.36193,0.282524
412.285,5.15045,4.86942,0.281023
413.619,4.96403,4.6845,0.279534
414.954,4.91747,4.63941,0.278056
416.288,4.84771,4.57112,0.276589
417.622,5.02185,4.74672,0.275133
418.957,5.05187,4.77818,0.273687
420.291,5.14245,4.87019,0.272252
421.625,5.56241,5.29158,0.270827
422.959,5.24561,4.9762,0.269413
424.294,5.29121,5.02321,0.268009
425.628,5.23459,4.96798,0.266615
426.962,5.09659,4.83136,0.265231
428.296,5.3523,5.08844,0.263858
429.631,5.43634,5.17385,0.262494
430.965,5.63552,5.37438,0.26114
432.299,5.42544,5.16564,0.259796
433.633,5.44621,5.18775,0.258462
434.968,5.62428,5.36714,0.257137
436.302,5.14801,4.89219,0.255821
437.636,5.71504,5.46053,0.254515
438.97,5.89929,5.64607,0.253219
440.305,5.88566,5.63373,0.251931
441.639,5.95252,5.70187,0.250653
442.973,6.1422,5.89281,0.249384
444.307,5.64044,5.39231,0.248124
445.642,5.69908,5.45221,0.246873
446.976,5.86567,5.62004,0.245631
448.31,5.57565,5.33125,0.244397
449.644,6.19061,5.94744,0.243173
450.979,6.39617,6.15421,0.241956
452.313,6.20819,5.96744,0.240749
453.647,5.97666,5.73711,0.23955
454.981,6.18781,5.94945,0.238359
456.316,6.15195,5.91478,0.237177
457.65,6.23006,5.99406,0.236003
458.984,6.42739,6.19255,0.234837
460.318,6.33376,6.10008,0.233679
461.653,6.37379,6.14126,0.232529
462.987,6.08638,5.85499,0.231387
464.321,6.2633,6.03304,0.230253
465.655,6.18589,5.95676,0.229127
466.99,6.11501,5.887,0.228009
468.324,6.19743,5.97053,0.226899
469.658,6.314,6.08821,0.225796
470.993,6.20909,5.98439,0.2247
472.327,6.55607,6.33245,0.223613
473.661,6.68858,6.46605,0.222532
474.995,6.5401,6.31864,0.221459
476.33,6.41167,6.19127,0.220394
477.664,6.51897,6.29964,0.219335
478.998,6.65384,6.43555,0.218284
480.332,6.70479,6.48755,0.21724
481.667,6.69433,6.47813,0.216203
483.001,7.01297,6.7978,0.215173
484.335,6.69263,6.47848,0.21415
485.669,6.70983,6.4967,0.213134
487.004,6.66125,6.44913,0.212125
488.338,6.90824,6.69712,0.211122
489.672,6.35446,6.14434,0.210127
491.006,6.58758,6.37844,0.209138
492.341,6.61441,6.40626,0.208155
493.675,6.74247,6.53529,0.207179
495.009,6.88499,6.67878,0.20621
496.343,6.56515,6.3599,0.205247
497.678,6.75484,6.55055,0.20429
499.012,6.65423,6.45088,0.20334
500.346,6.9273,6.72491,0.202396
501.68,7.05647,6.85501,0.201459
503.015,6.42678,6.22625,0.200527
504.349,6.66439,6.46479,0.199602
505.683,7.16688,6.9682,0.198682
507.017,6.99549,6.79772,0.197769
508.352,6.73523,6.53837,0.196862
509.686,6.84696,6.651,0.195961
511.02,7.06493,6.86986,0.195065
512.354,7.19664,7.00246,0.194175
513.689,7.37675,7.18346,0.193292
515.023,7.23095,7.03853,0.192414
516.357,6.82784,6.6363,0.191541
517.691,6.92077,6.7301,0.190674
519.026,7.01862,6.82881,0.189813
520.36,7.26588,7.07692,0.188958
521.694,6.87697,6.68887,0.188108
523.029,7.03198,6.84472,0.187263
524.363,7.19943,7.01301,0.186424
525.697,7.05797,6.87238,0.18559
527.031,6.92403,6.73926,0.184762
528.366,7.36418,7.18024,0.183939
529.7,7.58199,7.39887,0.183121
531.034,7.14396,6.96165,0.182308
532.368,7.18352,7.00202,0.1815
533.703,7.5904,7.4097,0.180698
535.037,7.42263,7.24273,0.179901
536.371,7.71099,7.53188,0.179108
537.705,6.96813,6.7898,0.178321
539.04,7.53311,7.35557,0.177539
540.374,7.52662,7.34986,0.176761
541.708,6.99934,6.82335,0.175989
543.042,7.34201,7.16679,0.175221
544.377,6.47068,6.29622,0.174458
545.711,7.28986,7.11616,0.1737
547.045,7.59746,7.42451,0.172947
548.379,7.43856,7.26636,0.172198
549.714,7.70917,7.53772,0.171454
551.048,7.03879,6.86807,0.170714
552.382,7.52363,7.35365,0.169979
553.716,7.14799,6.97874,0.169249
555.051,7.27176,7.10324,0.168523
556.385,6.76052,6.59272,0.167802
557.719,7.23896,7.07188,0.167085
559.053,7.1698,7.00343,0.166373
560.388,7.10297,6.93731,0.165665
561.722,6.78835,6.62339,0.164961
563.056,6.96273,6.79847,0.164261
564.39,7.008,6.84444,0.163566
565.725,7.39411,7.23124,0.162875
567.059,7.04799,6.8858,0.162188
568.393,7.00916,6.84765,0.161506
569.727,8.06152,7.90069,0.160827
571.062,6.85138,6.69123,0.160153
572.396,7.0507,6.89122,0.159483
573.73,6.97545,6.81664,0.158816
575.065,6.83403,6.67587,0.158154
576.399,7.37648,7.21898,0.157496
577.733,7.29291,7.13607,0.156842
579.067,7.07683,6.92064,0.156191
580.402,7.19494,7.03939,0.155545
581.736,7.48909,7.33419,0.154902
583.07,6.81871,6.66444,0.154263
584.404,6.81733,6.6637,0.153628
585.739,7.16878,7.01578,0.152997
587.073,7.39778,7.24541,0.15237
588.407,6.87774,6.72599,0.151746
589.741,7.03117,6.88005,0.151126
591.076,7.18205,7.03154,0.150509
592.41,6.94909,6.79919,0.149897
593.744,7.10253,6.95324,0.149287
595.078,7.15589,7.0072,0.148682
596.413,7.39296,7.24488,0.14808
597.747,7.06824,6.92076,0.147481
599.081,6.70666,6.55977,0.146886
600.415,6.87424,6.72794,0.146295
601.75,6.99217,6.84647,0.145707
603.084,7.20407,7.05895,0.145122
604.418,6.68961,6.54507,0.144541
605.752,7.14553,7.00157,0.143963
607.087,7.09288,6.94949,0.143388
608.421,6.66953,6.52671,0.142817
609.755,7.0244,6.88215,0.142249
611.089,6.96917,6.82749,0.141684
612.424,7.06758,6.92646,0.141123
613.758,6.71056,6.57,0.140564
615.092,6.44158,6.30158,0.140009
616.426,6.92787,6.78841,0.139458
617.761,6.94013,6.80122,0.138909
619.095,6.90395,6.76559,0.138363
620.429,6.80899,6.67117,0.137821
621.763,7.01046,6.87318,0.137281
623.098,6.31656,6.17981,0.136745
624.432,6.63478,6.49857,0.136212
625.766,6.69528,6.5596,0.135681
627.1,6.48708,6.35192,0.135154
628.435,5.91436,5.77973,0.13463
629.769,6.34141,6.2073,0.134109
631.103,6.49532,6.36173,0.13359
632.438,6.22022,6.08715,0.133075
633.772,6.81555,6.68299,0.132562
635.106,6.74682,6.61477,0.132052
636.44,6.35418,6.22264,0.131545
637.775,6.43291,6.30187,0.131041
639.109,6.20647,6.07593,0.13054
640.443,6.44225,6.31221,0.130041
641.777,6.2301,6.10055,0.129546
643.112,6.84671,6.71766,0.129053
644.446,6.41971,6.29115,0.128562
645.78,6.08001,5.95193,0.128075
647.114,6.47175,6.34416,0.12759
648.449,6.10078,5.97367,0.127108
649.783,6.49436,6.36773,0.126628
651.117,5.9064,5.78025,0.126151
652.451,6.16623,6.04056,0.125677
653.786,6.10528,5.98007,0.125205
655.12,5.88385,5.75911,0.124736
656.454,6.25096,6.12669,0.124269
657.788,5.90719,5.78339,0.123805
659.123,6.04281,5.91946,0.123344
660.457,6.12606,6.00318,0.122885
661.791,5.71931,5.59688,0.122428
