-inf,0
1.2036,0
1.2108,0
1.218,0
1.2252,0
1.2324,0
1.2396,0
1.2468,0
1.254,0
1.2612,0
1.2684,0
1.2756,0
1.2828,0
1.29,0
1.2972,0
1.3044,0
1.3116,0
1.3188,0
1.326,0
1.3332,0
1.3404,0
1.3476,0
1.3548,0
1.362,0
1.3692,0
1.3764,0
1.3836,0
1.3908,0
1.398,0
1.4052,0
1.4124,0
1.4196,0
1.4268,0
1.434,0
1.4412,0
1.4484,0
1.4556,0
1.4628,0
1.47,0
1.4772,0
1.4844,0
1.4916,0
1.4988,0
1.506,0
1.5132,0
1.5204,0
1.5276,0
1.5348,0
1.542,0
1.5492,0
1.5564,0
1.5636,0
1.5708,0
1.578,0
1.5852,0
1.5924,0
1.5996,0
1.6068,0
1.614,0
1.6212,0
1.6284,0
1.6356,0
1.6428,0
1.65,0
1.6572,0
1.6644,0
1.6716,0
1.6788,0
1.686,0
1.6932,0
1.7004,0
1.7076,0
1.7148,0
1.722,0
1.7292,0
1.7364,0
1.7436,0
1.7508,0
1.758,0
1.7652,0
1.7724,0
1.7796,0
1.7868,0
1.794,0
1.8012,0
1.8084,0
1.8156,0
1.8228,0
1.83,0
1.8372,0
1.8444,0
1.8516,0
1.8588,0
1.866,0
1.8732,0
1.8804,0
1.8876,0
1.8948,0
1.902,0
1.9092,0
1.9164,0
1.9236,0
1.9308,0
1.938,8
1.9452,286
1.9524,1342
1.9596,3593
1.9668,3240
1.974,1378
1.9812,161
1.9884,202
1.9956,1021
2.0028,3126
2.01,5681
2.0172,7369
2.0244,9070
2.0316,10688
2.0388,11810
2.046,12593
2.0532,16121
2.0604,19386
2.0676,20019
2.0748,21552
2.082,27372
2.0892,30635
2.0964,35020
2.1036,42363
2.1108,45343
2.118,39224
2.1252,38849
2.1324,49204
2.1396,59833
2.1468,57399
2.154,53798
2.1612,51229
2.1684,52340
2.1756,63663
2.1828,72981
2.19,75817
2.1972,69200
2.2044,65158
2.2116,65609
2.2188,66352
2.226,67081
2.2332,67057
2.2404,68837
2.2476,73384
2.2548,78534
2.262,81292
2.2692,71523
2.2764,66164
2.2836,63847
2.2908,54236
2.298,49650
2.3052,53911
2.3124,54105
2.3196,48644
2.3268,54647
2.334,67721
2.3412,73465
2.3484,77373
2.3556,92019
2.3628,98391
2.37,93332
2.3772,82822
2.3844,77401
2.3916,86033
2.3988,97583
2.406,103347
2.4132,99428
2.4204,97287
2.4276,91623
2.4348,79890
2.442,71844
2.4492,68147
2.4564,66412
2.4636,71932
2.4708,77458
2.478,75495
2.4852,69413
2.4924,66883
2.4996,68715
2.5068,65946
2.514,60295
2.5212,63648
2.5284,71815
2.5356,71357
2.5428,69231
2.55,66296
2.5572,61512
2.5644,59899
2.5716,62202
2.5788,66411
2.586,75407
2.5932,86699
2.6004,86724
2.6076,85251
2.6148,94249
2.622,110283
2.6292,116542
2.6364,106965
2.6436,95740
2.6508,94245
2.658,93216
2.6652,91144
2.6724,90959
2.6796,94752
2.6868,97663
2.694,102674
2.7012,103419
2.7084,96067
2.7156,83378
2.7228,72077
2.73,70160
2.7372,77432
2.7444,86125
2.7516,89733
2.7588,83674
2.766,75160
2.7732,65040
2.7804,57763
2.7876,58437
2.7948,61911
2.802,64504
2.8092,65637
2.8164,64132
2.8236,63453
2.8308,69981
2.838,82064
2.8452,96513
2.8524,109513
2.8596,116751
2.8668,118522
2.874,123699
2.8812,129737
2.8884,124356
2.8956,109818
2.9028,100949
2.91,102235
2.9172,100639
2.9244,97264
2.9316,91648
2.9388,95867
2.946,92882
2.9532,83453
2.9604,79360
2.9676,81076
2.9748,82469
2.982,83300
2.9892,89328
2.9964,102754
3.0036,105551
3.0108,93172
3.018,80054
3.0252,72585
3.0324,72618
3.0396,69485
3.0468,71184
3.054,69661
3.0612,67630
3.0684,62307
3.0756,58742
3.0828,58647
3.09,62629
3.0972,68964
3.1044,75571
3.1116,70533
3.1188,69294
3.126,79639
3.1332,81856
3.1404,76207
3.1476,67866
3.1548,64694
3.162,60802
3.1692,53957
3.1764,47765
3.1836,49355
3.1908,52126
3.198,48414
3.2052,48729
3.2124,55219
3.2196,63696
3.2268,64611
3.234,54418
3.2412,44936
3.2484,44083
3.2556,45113
3.2628,46809
3.27,55873
3.2772,57325
3.2844,49230
3.2916,41911
3.2988,40649
3.306,39594
3.3132,33869
3.3204,29081
3.3276,32627
3.3348,38042
3.342,46714
3.3492,56789
3.3564,60119
3.3636,54945
3.3708,57445
3.378,59203
3.3852,50863
3.3924,45000
3.3996,43026
3.4068,42355
3.414,36922
3.4212,31867
3.4284,28213
3.4356,27811
3.4428,29617
3.45,31207
3.4572,32617
3.4644,37123
3.4716,43557
3.4788,44721
3.486,38199
3.4932,38898
3.5004,38812
3.5076,38142
3.5148,39768
3.522,40234
3.5292,35824
3.5364,28909
3.5436,24917
3.5508,21572
3.558,23177
3.5652,23440
3.5724,19127
3.5796,18825
3.5868,21929
3.594,27774
3.6012,33564
3.6084,43726
3.6156,43282
3.6228,35281
3.63,27853
3.6372,25164
3.6444,27150
3.6516,29111
3.6588,30575
3.666,33577
3.6732,35346
3.6804,34573
3.6876,31615
3.6948,28316
3.702,20391
3.7092,12320
3.7164,9343
3.7236,10606
3.7308,12081
3.738,12897
3.7452,18245
3.7524,28795
3.7596,33507
3.7668,28534
3.774,18818
3.7812,14092
3.7884,12821
3.7956,17117
3.8028,23202
3.81,23010
3.8172,19158
3.8244,24921
3.8316,25940
3.8388,20023
3.846,12983
3.8532,10505
3.8604,13553
3.8676,17834
3.8748,19263
3.882,15158
3.8892,14165
3.8964,15561
3.9036,15184
3.9108,10029
3.918,10502
3.9252,12902
3.9324,16920
3.9396,20431
3.9468,19887
3.954,16901
3.9612,16028
3.9684,17542
3.9756,12665
3.9828,6729
3.99,6076
3.9972,8204
4.0044,11232
4.0116,10108
4.0188,7488
4.026,6891
4.0332,9112
4.0404,10219
4.0476,6605
4.0548,4009
4.062,2554
4.0692,3119
4.0764,4124
4.0836,6011
4.0908,8868
4.098,10509
4.1052,8604
4.1124,6420
4.1196,6082
4.1268,5736
4.134,7790
4.1412,10624
4.1484,10434
4.1556,6864
4.1628,4868
4.17,4077
4.1772,1367
4.1844,159
4.1916,0
4.1988,0
4.206,0
4.2132,0
4.2204,0
4.2276,0
4.2348,0
4.242,0
4.2492,0
4.2564,0
4.2636,0
4.2708,0
4.278,0
4.2852,0
4.2924,0
4.2996,0
4.3068,0
4.314,0
4.3212,0
4.3284,0
4.3356,0
4.3428,0
4.35,0
4.3572,0
4.3644,0
4.3716,0
4.3788,0
4.386,0
4.3932,0
4.4004,0
4.4076,0
4.4148,0
4.422,0
4.4292,0
4.4364,0
4.4436,0
4.4508,0
4.458,0
4.4652,0
4.4724,0
4.4796,0
4.4868,0
4.494,0
4.5012,0
4.5084,0
4.5156,0
4.5228,0
4.53,0
4.5372,0
4.5444,0
4.5516,0
4.5588,0
4.566,0
4.5732,0
4.5804,0
4.5876,0
4.5948,0
4.602,0
4.6092,0
4.6164,0
4.6236,0
4.6308,0
4.638,0
4.6452,0
4.6524,0
4.6596,0
4.6668,0
4.674,0
4.6812,0
4.6884,0
4.6956,0
4.7028,0
4.71,0
4.7172,0
4.7244,0
4.7316,0
4.7388,0
4.746,0
4.7532,0
4.7604,0
4.7676,0
4.7748,0
4.782,0
4.7892,0
4.7964,0
inf,0
