Time (ps),Temperature
0.000000,50.432678
1.000000,51.491886
2.000000,50.821747
3.000000,52.300121
4.000000,53.542686
5.000000,53.852089
6.000000,55.550884
7.000000,56.423290
8.000000,56.993118
9.000000,57.951847
10.000000,58.972115
11.000000,59.826813
12.000000,59.855427
13.000000,62.610531
14.000000,63.232952
15.000000,65.095253
16.000000,65.530685
17.000000,67.094902
18.000000,67.089424
19.000000,68.536385
20.000000,68.923607
21.000000,70.396576
22.000000,69.941170
23.000000,71.773781
24.000000,73.108154
25.000000,73.213600
26.000000,74.265907
27.000000,75.416069
28.000000,75.485542
29.000000,77.272736
30.000000,78.318756
31.000000,79.547989
32.000000,81.867592
33.000000,81.925606
34.000000,83.415367
35.000000,84.730865
36.000000,85.925461
37.000000,87.285721
38.000000,87.457085
39.000000,87.386734
40.000000,89.389786
41.000000,90.518471
42.000000,90.600273
43.000000,91.528519
44.000000,91.873550
45.000000,93.751183
46.000000,94.759010
47.000000,95.857239
48.000000,96.448578
49.000000,97.260674
50.000000,99.003128
