Time (ps),Temperature
0.000000,202.123596
2.000000,200.451660
4.000000,200.748001
6.000000,197.679489
8.000000,201.422531
10.000000,202.271820
12.000000,201.205139
14.000000,199.901779
16.000000,198.817200
18.000000,203.168930
20.000000,202.032379
22.000000,202.699951
24.000000,199.833878
26.000000,202.422897
28.000000,202.728516
30.000000,199.247009
32.000000,196.021072
34.000000,196.757385
36.000000,199.388931
38.000000,199.473541
40.000000,199.040710
42.000000,199.197037
44.000000,198.567047
46.000000,203.227356
48.000000,204.433441
50.000000,198.493942
