Time (ns),System after lsq fit to System
0.0000000,0.0000000
0.0000050,0.0034496
0.0000100,0.0067168
0.0000150,0.0097443
0.0000200,0.0124900
0.0000250,0.0149366
0.0000300,0.0171135
0.0000350,0.0190585
0.0000400,0.0208428
0.0000450,0.0225102
0.0000500,0.0240776
0.0000550,0.0255434
0.0000600,0.0268831
0.0000650,0.0280918
0.0000700,0.0291717
0.0000750,0.0301437
0.0000800,0.0310520
0.0000850,0.0319323
0.0000900,0.0328150
0.0000950,0.0337035
0.0001000,0.3305094
0.0001050,0.3305934
0.0001100,0.3306801
0.0001150,0.3307616
0.0001200,0.3308364
0.0001250,0.3309090
0.0001300,0.3309856
0.0001350,0.3310701
0.0001400,0.3311649
0.0001450,0.3312674
0.0001500,0.3313721
0.0001550,0.3314725
0.0001600,0.3315633
0.0001650,0.3316452
0.0001700,0.3317235
0.0001750,0.3318058
0.0001800,0.3318971
0.0001850,0.3319957
0.0001900,0.3320983
0.0001950,0.3322027
0.0002000,0.4287017
0.0002050,0.4287550
0.0002100,0.4288128
0.0002150,0.4288736
0.0002200,0.4289384
0.0002250,0.4290128
0.0002300,0.4291020
0.0002350,0.4292075
0.0002400,0.4293274
0.0002450,0.4294547
0.0002500,0.4295812
0.0002550,0.4297011
0.0002600,0.4298107
0.0002650,0.4299105
0.0002700,0.4300026
0.0002750,0.4300925
0.0002800,0.4301846
0.0002850,0.4302778
0.0002900,0.4303663
0.0002950,0.4304421
0.0003000,0.4441785
0.0003050,0.4442026
0.0003100,0.4442207
0.0003150,0.4442400
0.0003200,0.4442674
0.0003250,0.4443071
0.0003300,0.4443583
0.0003350,0.4444164
0.0003400,0.4444766
0.0003450,0.4445349
0.0003500,0.4445904
0.0003550,0.4446442
0.0003600,0.4446978
0.0003650,0.4447550
0.0003700,0.4448201
0.0003750,0.4448967
0.0003800,0.4449823
0.0003850,0.4450688
0.0003900,0.4451463
0.0003950,0.4452085
0.0004000,0.4420161
0.0004050,0.4420208
0.0004100,0.4420380
0.0004150,0.4420699
0.0004200,0.4421130
0.0004250,0.4421603
0.0004300,0.4422034
0.0004350,0.4422371
0.0004400,0.4422643
0.0004450,0.4422920
0.0004500,0.4423270
0.0004550,0.4423720
0.0004600,0.4424256
0.0004650,0.4424822
0.0004700,0.4425341
0.0004750,0.4425750
0.0004800,0.4426020
0.0004850,0.4426177
0.0004900,0.4426307
0.0004950,0.4426477
0.0005000,0.4586969
0.0005050,0.4587108
0.0005100,0.4587319
0.0005150,0.4587594
0.0005200,0.4587944
0.0005250,0.4588368
0.0005300,0.4588834
0.0005350,0.4589302
0.0005400,0.4589754
0.0005450,0.4590183
0.0005500,0.4590590
0.0005550,0.4590987
0.0005600,0.4591401
0.0005650,0.4591854
0.0005700,0.4592326
0.0005750,0.4592795
0.0005800,0.4593241
0.0005850,0.4593633
0.0005900,0.4593938
0.0005950,0.4594160
0.0006000,0.4552290
0.0006050,0.4552530
0.0006100,0.4552974
0.0006150,0.4553544
0.0006200,0.4554150
0.0006250,0.4554728
0.0006300,0.4555240
0.0006350,0.4555700
0.0006400,0.4556145
0.0006450,0.4556586
0.0006500,0.4557015
0.0006550,0.4557422
0.0006600,0.4557817
0.0006650,0.4558215
0.0006700,0.4558602
0.0006750,0.4558951
0.0006800,0.4559259
0.0006850,0.4559561
0.0006900,0.4559894
0.0006950,0.4560272
0.0007000,0.4683783
0.0007050,0.4683888
0.0007100,0.4684111
0.0007150,0.4684462
0.0007200,0.4684939
0.0007250,0.4685508
0.0007300,0.4686098
0.0007350,0.4686635
0.0007400,0.4687074
0.0007450,0.4687406
0.0007500,0.4687646
0.0007550,0.4687811
0.0007600,0.4687921
0.0007650,0.4687993
0.0007700,0.4688045
0.0007750,0.4688105
0.0007800,0.4688183
0.0007850,0.4688259
0.0007900,0.4688301
0.0007950,0.4688302
0.0008000,0.4747789
0.0008050,0.4747731
0.0008100,0.4747920
0.0008150,0.4748368
0.0008200,0.4749039
0.0008250,0.4749863
0.0008300,0.4750747
0.0008350,0.4751606
0.0008400,0.4752371
0.0008450,0.4753023
0.0008500,0.4753609
0.0008550,0.4754196
0.0008600,0.4754794
0.0008650,0.4755339
0.0008700,0.4755768
0.0008750,0.4756063
0.0008800,0.4756245
0.0008850,0.4756349
0.0008900,0.4756419
0.0008950,0.4756504
0.0009000,0.4522644
0.0009050,0.4522474
0.0009100,0.4522517
0.0009150,0.4522711
0.0009200,0.4522963
0.0009250,0.4523203
0.0009300,0.4523418
0.0009350,0.4523654
0.0009400,0.4523944
0.0009450,0.4524289
0.0009500,0.4524679
0.0009550,0.4525094
0.0009600,0.4525509
0.0009650,0.4525876
0.0009700,0.4526158
0.0009750,0.4526358
0.0009800,0.4526511
0.0009850,0.4526675
0.0009900,0.4526899
0.0009950,0.4527211
0.0010000,0.4621130
0.0010050,0.4621171
0.0010100,0.4621326
0.0010150,0.4621595
0.0010200,0.4621951
0.0010250,0.4622333
0.0010300,0.4622677
0.0010350,0.4622989
0.0010400,0.4623304
0.0010450,0.4623643
0.0010500,0.4624005
0.0010550,0.4624387
0.0010600,0.4624796
0.0010650,0.4625211
0.0010700,0.4625595
0.0010750,0.4625936
0.0010800,0.4626255
0.0010850,0.4626594
0.0010900,0.4626977
0.0010950,0.4627428
0.0011000,0.4756307
0.0011050,0.4756675
0.0011100,0.4757231
0.0011150,0.4757912
0.0011200,0.4758648
0.0011250,0.4759389
0.0011300,0.4760114
0.0011350,0.4760827
0.0011400,0.4761538
0.0011450,0.4762265
0.0011500,0.4763028
0.0011550,0.4763825
0.0011600,0.4764633
0.0011650,0.4765407
0.0011700,0.4766107
0.0011750,0.4766741
0.0011800,0.4767333
0.0011850,0.4767870
0.0011900,0.4768311
0.0011950,0.4768650
0.0012000,0.4944155
0.0012050,0.4944229
0.0012100,0.4944359
0.0012150,0.4944523
0.0012200,0.4944717
0.0012250,0.4944957
0.0012300,0.4945270
0.0012350,0.4945685
0.0012400,0.4946210
0.0012450,0.4946817
0.0012500,0.4947458
0.0012550,0.4948093
0.0012600,0.4948719
0.0012650,0.4949353
0.0012700,0.4950011
0.0012750,0.4950706
0.0012800,0.4951439
0.0012850,0.4952195
0.0012900,0.4952941
0.0012950,0.4953670
0.0013000,0.4885671
0.0013050,0.4886175
0.0013100,0.4886700
0.0013150,0.4887227
0.0013200,0.4887778
0.0013250,0.4888371
0.0013300,0.4889004
0.0013350,0.4889654
0.0013400,0.4890277
0.0013450,0.4890830
0.0013500,0.4891277
0.0013550,0.4891615
0.0013600,0.4891862
0.0013650,0.4892038
0.0013700,0.4892175
0.0013750,0.4892309
0.0013800,0.4892466
0.0013850,0.4892662
0.0013900,0.4892908
0.0013950,0.4893204
0.0014000,0.4943354
0.0014050,0.4943576
0.0014100,0.4943828
0.0014150,0.4944114
0.0014200,0.4944485
0.0014250,0.4945019
0.0014300,0.4945766
0.0014350,0.4946698
0.0014400,0.4947704
0.0014450,0.4948654
0.0014500,0.4949455
0.0014550,0.4950087
0.0014600,0.4950598
0.0014650,0.4951054
0.0014700,0.4951504
0.0014750,0.4951953
0.0014800,0.4952369
0.0014850,0.4952707
0.0014900,0.4952942
0.0014950,0.4953071
0.0015000,0.4758860
0.0015050,0.4758705
0.0015100,0.4758690
0.0015150,0.4758826
0.0015200,0.4759115
0.0015250,0.4759532
0.0015300,0.4760027
0.0015350,0.4760557
0.0015400,0.4761115
0.0015450,0.4761701
0.0015500,0.4762302
0.0015550,0.4762911
0.0015600,0.4763521
0.0015650,0.4764118
0.0015700,0.4764687
0.0015750,0.4765197
0.0015800,0.4765632
0.0015850,0.4766000
0.0015900,0.4766325
0.0015950,0.4766632
0.0016000,0.4604439
0.0016050,0.4604560
0.0016100,0.4604811
0.0016150,0.4605172
0.0016200,0.4605596
0.0016250,0.4606031
0.0016300,0.4606469
0.0016350,0.4606928
0.0016400,0.4607433
0.0016450,0.4607999
0.0016500,0.4608628
0.0016550,0.4609314
0.0016600,0.4610025
0.0016650,0.4610714
0.0016700,0.4611360
0.0016750,0.4611969
0.0016800,0.4612568
0.0016850,0.4613196
0.0016900,0.4613867
0.0016950,0.4614569
0.0017000,0.4764168
0.0017050,0.4764511
0.0017100,0.4764883
0.0017150,0.4765229
0.0017200,0.4765540
0.0017250,0.4765851
0.0017300,0.4766219
0.0017350,0.4766668
0.0017400,0.4767156
0.0017450,0.4767602
0.0017500,0.4767940
0.0017550,0.4768166
0.0017600,0.4768337
0.0017650,0.4768531
0.0017700,0.4768795
0.0017750,0.4769122
0.0017800,0.4769469
0.0017850,0.4769809
