E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
1873.3,9.94472,9.86196,0.0827599
1874.63,9.94477,9.86213,0.0826431
1875.96,9.94469,9.86217,0.0825266
1877.3,9.94469,9.86228,0.0824104
1878.63,9.94454,9.86225,0.0822943
1879.97,9.94469,9.86251,0.0821786
1881.3,9.9446,9.86254,0.082063
1882.64,9.9446,9.86265,0.0819477
1883.97,9.94456,9.86273,0.0818327
1885.3,9.94456,9.86285,0.0817179
1886.64,9.94447,9.86286,0.0816033
1887.97,9.94441,9.86292,0.081489
1889.31,9.94439,9.86301,0.0813749
1890.64,9.94436,9.8631,0.081261
1891.98,9.9444,9.86325,0.0811474
1893.31,9.94422,9.86319,0.081034
1894.64,9.94429,9.86337,0.0809209
1895.98,9.94435,9.86354,0.080808
1897.31,9.94424,9.86354,0.0806953
1898.65,9.94422,9.86364,0.0805829
1899.98,9.94425,9.86378,0.0804707
1901.32,9.94416,9.8638,0.0803587
1902.65,9.94419,9.86394,0.080247
1903.98,9.94412,9.86399,0.0801355
1905.32,9.94403,9.864,0.0800242
1906.65,9.94405,9.86413,0.0799132
1907.99,9.94408,9.86428,0.0798024
1909.32,9.94403,9.86434,0.0796918
1910.66,9.94392,9.86434,0.0795814
1911.99,9.944,9.86453,0.0794713
1913.32,9.94391,9.86455,0.0793614
1914.66,9.94395,9.86469,0.0792518
1915.99,9.94388,9.86474,0.0791423
1917.33,9.94387,9.86484,0.0790331
1918.66,9.9438,9.86487,0.0789241
1919.99,9.94388,9.86507,0.0788154
1921.33,9.94372,9.86501,0.0787068
1922.66,9.94375,9.86515,0.0785985
1924,9.94373,9.86524,0.0784904
1925.33,9.94376,9.86538,0.0783825
1926.67,9.94371,9.86543,0.0782749
1928,9.94367,9.86551,0.0781675
1929.33,9.94362,9.86556,0.0780603
1930.67,9.9436,9.86564,0.0779533
1932,9.94358,9.86573,0.0778465
1933.34,9.94354,9.8658,0.07774
1934.67,9.94353,9.8659,0.0776336
1936.01,9.9435,9.86597,0.0775275
1937.34,9.94352,9.8661,0.0774216
1938.67,9.9435,9.86619,0.0773159
1940.01,9.94348,9.86627,0.0772105
1941.34,9.94349,9.86638,0.0771052
1942.68,9.94342,9.86641,0.0770002
1944.01,9.94337,9.86647,0.0768954
1945.35,9.94341,9.86662,0.0767907
1946.68,9.9434,9.86671,0.0766863
1948.01,9.94336,9.86678,0.0765822
1949.35,9.94337,9.86689,0.0764782
1950.68,9.94331,9.86694,0.0763744
1952.02,9.94331,9.86704,0.0762709
1953.35,9.94329,9.86712,0.0761675
