Time (ps),Radius (nm)
0,6.29089
4,6.29456
8,6.29494
12,6.28689
16,6.29479
20,6.29066
24,6.29614
28,6.29004
32,6.29354
36,6.28956
40,6.29534
44,6.29339
48,6.29196
52,6.29192
56,6.29057
60,6.29552
64,6.29078
68,6.29407
72,6.28885
76,6.29398
80,6.29312
84,6.29409
88,6.29087
92,6.29157
96,6.29397
100,6.29218
104,6.29476
108,6.28803
112,6.29434
116,6.29151
120,6.29487
124,6.29077
128,6.29223
132,6.29305
136,6.29269
140,6.29422
144,6.28997
148,6.2935
152,6.29111
156,6.29492
160,6.29007
164,6.29344
168,6.29189
172,6.29258
176,6.29371
180,6.29151
184,6.29334
188,6.29129
192,6.29403
196,6.29108
200,6.29328
204,6.29181
208,6.29256
212,6.29262
216,6.29242
220,6.2932
224,6.2917
228,6.29376
232,6.29107
236,6.29353
240,6.29204
244,6.29276
248,6.29213
252,6.29233
256,6.29263
260,6.29261
264,6.29331
268,6.29139
272,6.29323
276,6.29206
280,6.29376
284,6.29168
288,6.29245
292,6.2921
296,6.29289
300,6.29337
304,6.29176
308,6.29248
312,6.29253
316,6.29372
320,6.29195
324,6.29252
328,6.29175
332,6.29356
336,6.29332
340,6.29214
344,6.29182
348,6.29256
352,6.29365
356,6.29262
360,6.29247
364,6.29122
368,6.29347
372,6.29264
376,6.29318
380,6.2911
384,6.29279
388,6.29304
392,6.29328
396,6.29229
400,6.29181
404,6.29254
408,6.29303
412,6.29342
416,6.29135
420,6.29244
424,6.29229
428,6.29389
432,6.29252
436,6.29233
440,6.29211
444,6.29292
448,6.29371
452,6.29179
456,6.29236
460,6.29201
464,6.29329
468,6.29302
472,6.29224
476,6.29205
480,6.29244
484,6.29364
488,6.29231
492,6.2924
496,6.2918
500,6.29316
504,6.29243
508,6.29286
512,6.29187
516,6.29235
520,6.29303
524,6.29284
528,6.29241
532,6.29229
536,6.2929
540,6.29256
544,6.29278
548,6.29187
552,6.29245
556,6.29266
560,6.29261
564,6.29246
568,6.29232
572,6.29277
576,6.29267
580,6.2929
584,6.29188
588,6.2928
592,6.29238
596,6.29277
600,6.29196
604,6.29277
608,6.29246
612,6.29258
616,6.29276
620,6.29218
624,6.29276
628,6.29279
632,6.29264
636,6.29216
640,6.2928
644,6.29267
648,6.29264
652,6.29239
656,6.29244
660,6.29279
664,6.29267
668,6.29285
672,6.29184
676,6.29264
680,6.29274
684,6.29273
688,6.29253
692,6.29207
696,6.29277
700,6.29273
704,6.29292
708,6.29202
712,6.29231
716,6.29267
720,6.29299
724,6.29255
728,6.29196
732,6.29252
736,6.29273
740,6.2933
744,6.29207
748,6.29223
752,6.29237
756,6.29312
760,6.29289
764,6.2921
768,6.29193
772,6.29272
776,6.29312
780,6.29262
784,6.2921
788,6.29219
792,6.29301
796,6.29302
800,6.29279
804,6.29169
808,6.29265
812,6.29274
816,6.29308
820,6.29242
824,6.29202
828,6.29296
832,6.29283
836,6.29303
840,6.29188
844,6.29241
848,6.29279
852,6.29308
856,6.29252
860,6.29211
