Time (ps),Temperature
0.000000,250.759689
1.000000,253.071289
2.000000,250.398575
3.000000,248.551132
4.000000,250.763245
5.000000,249.260391
6.000000,248.053177
7.000000,247.438385
8.000000,243.793518
9.000000,240.049377
10.000000,237.964569
11.000000,237.619431
12.000000,238.520416
13.000000,237.422028
14.000000,235.090378
15.000000,235.554260
16.000000,237.430099
17.000000,235.846680
18.000000,235.076004
19.000000,231.719711
20.000000,229.574905
21.000000,228.875366
22.000000,234.241104
23.000000,227.015991
24.000000,225.404526
25.000000,228.485535
26.000000,225.513992
27.000000,226.216125
28.000000,222.649658
29.000000,220.612839
30.000000,219.035629
31.000000,220.093628
32.000000,220.186874
33.000000,216.492615
34.000000,219.810898
35.000000,217.441132
36.000000,214.021927
37.000000,215.008636
38.000000,213.753265
39.000000,213.029037
40.000000,212.297302
41.000000,209.887177
42.000000,206.449692
43.000000,208.119202
44.000000,209.145142
45.000000,206.318466
46.000000,203.416458
47.000000,203.507935
48.000000,200.639969
49.000000,201.765961
50.000000,199.689957
