Time (ps),Temperature
0.000000,253.155319
2.000000,248.855637
4.000000,252.543610
6.000000,251.602844
8.000000,248.837372
10.000000,249.094254
12.000000,248.474686
14.000000,249.863998
16.000000,253.402847
18.000000,248.921768
20.000000,249.588379
22.000000,251.561966
24.000000,247.876190
26.000000,251.215286
28.000000,256.052521
30.000000,249.406830
32.000000,247.591003
34.000000,251.506104
36.000000,252.190887
38.000000,250.035828
40.000000,250.272507
42.000000,251.306808
44.000000,248.591080
46.000000,249.966797
48.000000,250.549332
50.000000,249.956223
