Energy (meV),Resolution
-3.6,0.161
-3.5800346887646946,0.16067330294807167
-3.560069377529389,0.1603824544257281
-3.540104066294084,0.160124584064414
-3.5201387550587784,0.15989682149557388
-3.500173443823473,0.15969629635065247
-3.4802081325881673,0.15952013826109435
-3.4602428213528618,0.15936547685834412
-3.4402775101175567,0.1592294417738464
-3.420312198882251,0.15910916263904584
-3.4003468876469456,0.15900176908538707
-3.38038157641164,0.15890439074431473
-3.3604162651763345,0.15881415724727338
-3.340450953941029,0.15872819822570766
-3.320485642705724,0.15864364331106226
-3.3005203314704183,0.15855762213478172
-3.280555020235113,0.15846726432831074
-3.2605897089998073,0.15836969952309385
-3.2406243977645017,0.15826205735057577
-3.2206590865291966,0.15814146744220106
-3.200693775293891,0.15800505942941437
-3.1807284640585856,0.15785075503799859
-3.16076315282328,0.15767999275212546
-3.1407978415879745,0.15749518670915708
-3.1208325303526694,0.15729875108341143
-3.100867219117364,0.15709310004920646
-3.0809019078820583,0.15688064778086028
-3.0609365966467528,0.15666380845269084
-3.0409712854114472,0.15644499623901614
-3.021005974176142,0.15622662531415424
-3.0010406629408366,0.1560111098524231
-2.981075351705531,0.15580040532597275
-2.9611100404702255,0.1555943213122671
-2.94114472923492,0.15539204039309326
-2.921179417999615,0.15519274507396397
-2.9012141067643094,0.15499561786039198
-2.881248795529004,0.15479984125789004
-2.8612834842936983,0.15460459777197097
-2.8413181730583927,0.1544090699081475
-2.8213528618230876,0.1542124401719325
-2.801387550587782,0.15401389106883864
-2.7814222393524766,0.1538128297892897
-2.761456928117171,0.15360977125463057
-2.7414916168818655,0.1534055711748783
-2.7215263056465604,0.15320108535366375
-2.701560994411255,0.1529971695946178
-2.6815956831759493,0.1527946797013714
-2.661630371940644,0.15259447147755537
-2.6416650607053382,0.15239740072680064
-2.621699749470033,0.1522043232527381
-2.6017344382347276,0.15201609485899867
-2.581769126999422,0.15183313210080335
-2.5618038157641165,0.15165356883980388
-2.541838504528811,0.15147479973420122
-2.521873193293506,0.15129421906395896
-2.5019078820582,0.15110922110904082
-2.481942570822895,0.1509172001494104
-2.4619772595875893,0.15071555046503146
-2.4420119483522837,0.1505016663358675
-2.4220466371169787,0.1502729420418823
-2.4020813258816727,0.15002677186303948
-2.3821160146463676,0.14976129323970916
-2.362150703411062,0.14947871568007567
-2.3421853921757565,0.14918263625501146
-2.3222200809404514,0.14887665320680155
-2.3022547697051454,0.14856436477773094
-2.2822894584698403,0.14824936921008477
-2.262324147234535,0.14793526474614802
-2.2423588359992292,0.14762564962820568
-2.222393524763924,0.14732412209854287
-2.202428213528618,0.14703428039944463
-2.182462902293313,0.14675933333493793
-2.1624975910580075,0.1465002390586765
-2.142532279822702,0.14625714902379064
-2.122566968587397,0.14603021364963528
-2.102601657352091,0.14581958335556555
-2.082636346116786,0.14562540856093648
-2.0626710348814803,0.14544783968510305
-2.0427057236461748,0.14528702714742045
-2.0227404124108697,0.14514312136724355
-2.0027751011755637,0.14501627276392753
-1.9828097899402586,0.14490616896343123
-1.962844478704953,0.14480967557271499
-1.9428791674696475,0.14472259461913686
-1.9229138562343422,0.14464072618299165
-1.9029485449990367,0.14455987034457402
-1.8829832337637313,0.14447582718417887
-1.8630179225284258,0.14438439678210083
-1.8430526112931203,0.14428137921863476
-1.823087300057815,0.14416257457407539
-1.8031219888225094,0.14402378292871743
-1.783156677587204,0.14386169613748936
-1.7631913663518985,0.14367874619690665
-1.743226055116593,0.1434796390190549
-1.7232607438812877,0.14326908619494108
-1.7032954326459822,0.1430517993155723
-1.6833301214106768,0.14283248997195555
-1.6633648101753713,0.14261586975509785
-1.6433994989400658,0.14240665025600627
-1.6234341877047604,0.1422095430656878
-1.603468876469455,0.14202925977514952
-1.5835035652341496,0.14186981435984408
-1.563538253998844,0.1417304784258639
-1.5435729427635385,0.14160854968387415
-1.523607631528233,0.1415013193580108
-1.5036423202929279,0.1414060786724099
-1.4836770090576223,0.1413201188512074
-1.4637116978223168,0.14124073111853924
-1.4437463865870113,0.14116520669854155
-1.4237810753517057,0.14109083681535023
-1.4038157641164002,0.14101491269310124
-1.383850452881095,0.1409349781317455
-1.3638851416457896,0.14085039130284627
-1.343919830410484,0.14076130355300454
-1.3239545191751785,0.1406678695604399
-1.303989207939873,0.14057024400337192
-1.2840238967045678,0.1404685815600201
-1.2640585854692623,0.14036303690860405
-1.2440932742339568,0.14025376472734333
-1.2241279629986512,0.14014091969445755
-1.2041626517633457,0.14002465648816614
-1.1841973405280406,0.1399052897345212
-1.164232029292735,0.1397843489556271
-1.1442667180574295,0.13966392129100358
-1.124301406822124,0.13954609680363636
-1.1043360955868184,0.1394329655565112
-1.0843707843515134,0.13932661761261386
-1.0644054731162078,0.13922914303493011
-1.0444401618809023,0.13914263188644563
-1.0244748506455967,0.13906917423014628
-1.0045095394102912,0.13901086012901767
-0.9845442281749861,0.13896942117762487
-0.9645789169396806,0.138943708007964
-0.944613605704375,0.13893118342790134
-0.9246482944690695,0.13892930134150383
-0.904682983233764,0.13893551565283827
-0.8847176719984589,0.13894728026597158
-0.8647523607631533,0.13896204908497065
-0.8447870495278478,0.13897727601390228
-0.8248217382925422,0.13899041495683345
-0.8048564270572367,0.13899891981783094
-0.7848911158219316,0.13900058192940598
-0.7649258045866261,0.1389960642243655
-0.7449604933513205,0.13898748098362654
-0.724995182116015,0.13897695769370647
-0.7050298708807095,0.13896661984112257
-0.6850645596454044,0.13895859291239218
-0.6650992484100988,0.13895500239403263
-0.6451339371747933,0.13895797377256122
-0.6251686259394877,0.13896963253449532
-0.6052033147041822,0.1389921041663522
-0.5852380034688767,0.13902737183888528
-0.5652726922335716,0.13907613517516446
-0.545307380998266,0.13913841339172137
-0.5253420697629605,0.13921421947264928
-0.505376758527655,0.1393035664020415
-0.4854114472923494,0.13940646716399124
-0.4654461360570443,0.1395229347425918
-0.4454808248217388,0.1396529821219365
-0.42551551358643325,0.13979662228611858
-0.4055502023511277,0.13995386821923128
-0.38558489111582217,0.1401245955014576
-0.3656195798805171,0.1403073651872333
-0.34565426864521154,0.14050000769647922
-0.325688957409906,0.1407003456063049
-0.30572364617460046,0.14090620149381997
-0.2857583349392949,0.14111539793613395
-0.26579302370398983,0.14132575751035645
-0.2458277124686843,0.14153510279359702
-0.22586240123337875,0.14174125636296528
-0.2058970899980732,0.1419420407955707
-0.18593177876276767,0.14213556469306196
-0.16596646752746258,0.14232284210936136
-0.14600115629215704,0.14250657985088752
-0.1260358450568515,0.14268950579087936
-0.10607053382154596,0.14287434780257588
-0.08610522258624043,0.1430638337592161
-0.06613991135093533,0.14326069153403906
-0.046174600115629794,0.14346764900028366
-0.026209288880324255,0.14368743403118892
-0.006243977645018717,0.14392277449999388
0.013721333590286822,0.1441761010943888
0.033686644825591916,0.1444466356820574
0.053651956060897454,0.14473164103133568
0.07361726729620299,0.1450283519063874
0.09358257853150853,0.14533400307137653
0.11354788976681407,0.145645829290467
0.13351320100211916,0.14596106532782258
0.1534785122374247,0.14627694594760726
0.17344382347273024,0.14659070591398488
0.19340913470803578,0.14689957999111938
0.21337444594334132,0.1472010599357247
0.2333397571786464,0.14749559042664795
0.25330506841395195,0.14778550494443168
0.2732703796492575,0.14807316772495188
0.293235690884563,0.14836094300408456
0.31320100211986857,0.1486511950177057
0.3331663133551741,0.14894628800169138
0.3531316245904792,0.14924858619191758
0.37309693582578474,0.14956045382426036
0.3930622470610903,0.1498842551345956
0.4130275582963958,0.1502222114162317
0.4329928695317009,0.15057479389016187
0.4529581807670069,0.1509413012717721
0.472923492002312,0.15132101068762374
0.4928888032376171,0.15171319926427837
0.5128541144729231,0.1521171441282975
0.5328194257082282,0.15253212240624262
0.5527847369435341,0.15295741122467518
0.5727500481788392,0.15339228771015667
0.5927153594141443,0.15383602898924864
0.6126806706494503,0.1542879655714908
0.6326459818847554,0.1547481253232551
0.6526112931200614,0.15521702538195362
0.6725766043553665,0.15569519300546414
0.6925419155906725,0.1561831554516649
0.7125072268259776,0.1566814399784337
0.7324725380612827,0.15719057384364868
0.7524378492965886,0.1577110843051878
0.7724031605318937,0.15824349862092907
0.7923684717671997,0.15878834404875053
0.8123337830025048,0.15934607266367828
0.8322990942378099,0.15991608706340096
0.8522644054731159,0.16049701889986606
0.872229716708421,0.161087482015
0.892195027943727,0.16168609025072933
0.912160339179032,0.16229145744898044
0.9321256504143371,0.16290219745167978
0.9520909616496431,0.1635169241007539
