Time (ps),Temperature
0.000000,201.423264
2.000000,201.421509
4.000000,199.710876
6.000000,204.085785
8.000000,200.404419
10.000000,198.869614
12.000000,201.305191
14.000000,198.173508
16.000000,198.868988
18.000000,197.768707
20.000000,199.940628
22.000000,198.921677
24.000000,198.608398
26.000000,198.733795
28.000000,200.115433
30.000000,200.349640
32.000000,198.752396
34.000000,197.432938
36.000000,200.485748
38.000000,200.673645
40.000000,199.051300
42.000000,204.550369
44.000000,199.510422
46.000000,200.898651
48.000000,200.944733
50.000000,199.697693
