Time (ps),Temperature
0.000000,199.201675
1.000000,199.958023
2.000000,198.607544
3.000000,199.522110
4.000000,199.122803
5.000000,197.598068
6.000000,197.757767
7.000000,194.635376
8.000000,195.507553
9.000000,192.810944
10.000000,192.119034
11.000000,192.151169
12.000000,190.640106
13.000000,188.201645
14.000000,188.159912
15.000000,188.373825
16.000000,183.518890
17.000000,184.147369
18.000000,181.220413
19.000000,181.973297
20.000000,180.169312
21.000000,182.109573
22.000000,181.110641
23.000000,176.451157
24.000000,178.217545
25.000000,176.596130
26.000000,175.709717
27.000000,174.813156
28.000000,174.994156
29.000000,174.379456
30.000000,170.152817
31.000000,168.574707
32.000000,169.218140
33.000000,168.236313
34.000000,166.728973
35.000000,165.969177
36.000000,164.235565
37.000000,161.908600
38.000000,165.090347
39.000000,165.864151
40.000000,162.738678
41.000000,157.356888
42.000000,157.894058
43.000000,157.777359
44.000000,159.536118
45.000000,156.097412
46.000000,155.452850
47.000000,154.168961
48.000000,152.244019
49.000000,150.460358
50.000000,149.941559
