Time (ns),Water after lsq fit to Water
0.0217300,0.6854651
0.0218120,0.7261227
0.0218940,0.7270022
0.0219760,0.7269761
0.0220580,0.7635847
0.0221400,0.7244195
0.0222220,0.7232247
0.0223040,0.8323803
0.0223860,0.8326007
0.0224680,0.7616240
0.0225500,0.6833159
0.0226320,0.7242514
0.0227140,0.7249415
0.0227960,0.7247776
0.0228780,0.7245707
0.0229600,0.7242667
0.0230420,0.6854224
0.0231240,0.7239467
0.0232060,0.6824831
0.0232880,0.6839737
0.0233700,0.6436174
0.0234520,0.7256576
0.0235340,0.7243107
0.0236160,0.7983044
0.0236980,0.7974343
0.0237800,0.7993298
0.0238620,0.7249689
0.0239440,0.6861976
0.0240260,0.6430925
0.0241080,0.6413070
0.0241900,0.6421340
0.0242720,0.7257216
0.0243540,0.6440068
0.0244360,0.6428465
0.0245180,0.6416514
0.0246000,0.6842500
0.0246820,0.6861454
0.0247640,0.7657676
0.0248460,0.7260598
0.0249280,0.7636040
0.0250100,0.6855942
0.0250920,0.6855212
0.0251740,0.6428982
0.0252560,0.6439757
0.0253380,0.6429369
0.0254200,0.5965730
0.0255020,0.5974190
0.0255840,0.5990666
0.0256660,0.6879152
0.0257480,0.6455157
0.0258300,0.6879126
0.0259120,0.7282819
0.0259940,0.7277098
0.0260760,0.7666468
0.0261580,0.8313953
0.0262400,0.7596162
0.0263220,0.7587606
0.0264040,0.7660677
0.0264860,0.7666825
0.0265680,0.8378142
0.0266500,0.8026782
0.0267320,0.7278454
0.0268140,0.7650096
0.0268960,0.7645122
0.0269780,0.6863350
0.0270600,0.7294155
0.0271420,0.6453198
0.0272240,0.7235413
0.0273060,0.7664246
0.0273880,0.7666999
0.0274700,0.8039824
0.0275520,0.7282385
0.0276340,0.7238173
0.0277160,0.7612243
0.0277980,0.7609081
0.0278800,0.8654777
0.0279620,0.7604682
0.0280440,0.7595994
0.0281260,0.7203203
0.0282080,0.6390589
0.0282900,0.6398381
0.0283720,0.6836442
0.0284540,0.7618616
0.0285360,0.8337763
0.0286180,0.8030912
0.0287000,0.7655663
0.0287820,0.7660278
0.0288640,0.7676674
0.0289460,0.8045559
0.0290280,0.8369250
0.0291100,0.7261518
0.0291920,0.7263560
0.0292740,0.7309416
0.0293560,0.6455452
0.0294380,0.6484404
0.0295200,0.7307998
0.0296020,0.8036992
0.0296840,0.8054358
0.0297660,0.7342029
0.0298480,0.6923282
0.0299300,0.6929533
0.0300120,0.6925731
0.0300940,0.6931522
0.0301760,0.6945645
0.0302580,0.7339779
0.0303400,0.6951651
0.0304220,0.6527471
0.0305040,0.5593914
0.0305860,0.5609873
0.0306680,0.6503614
0.0307500,0.6052008
0.0308320,0.6059355
0.0309140,0.6104114
0.0309960,0.6099772
0.0310780,0.6969967
0.0311600,0.6964213
0.0312420,0.6913220
0.0313240,0.7317120
0.0314060,0.6090021
0.0314880,0.6095378
0.0315700,0.5616879
0.0316520,0.6119477
0.0317340,0.5639554
0.0318160,0.7345632
0.0318980,0.7352894
0.0319800,0.6118824
0.0320620,0.6991601
0.0321440,0.6565181
0.0322260,0.6991849
0.0323080,0.6574752
0.0323900,0.6577539
0.0324720,0.7004755
0.0325540,0.7002950
0.0326360,0.6580947
0.0327180,0.6136107
0.0328000,0.6579208
0.0328820,0.6580739
0.0329640,0.6591775
0.0330460,0.6142768
0.0331280,0.7007372
0.0332100,0.7014541
0.0332920,0.7015035
0.0333740,0.7360124
0.0334560,0.7388379
0.0335380,0.6990873
0.0336200,0.7771043
0.0337020,0.7410717
0.0337840,0.7423263
0.0338660,0.5659322
0.0339480,0.6582931
0.0340300,0.6576786
0.0341120,0.7389966
0.0341940,0.7397190
0.0342760,0.7760532
0.0343580,0.7395364
0.0344400,0.7769154
0.0345220,0.8119764
0.0346040,0.6574612
0.0346860,0.6585811
0.0347680,0.5656870
0.0348500,0.6141551
0.0349320,0.6994716
0.0350140,0.8129141
0.0350960,0.8133155
0.0351780,0.6107545
0.0352600,0.6103873
0.0353420,0.5624719
0.0354240,0.6572011
0.0355060,0.6573036
0.0355880,0.6579297
0.0356700,0.6595329
0.0357520,0.5659106
0.0358340,0.6135680
0.0359160,0.5653811
0.0359980,0.5656495
0.0360800,0.5668188
0.0361620,0.5668923
0.0362440,0.5658252
0.0363260,0.7018165
0.0364080,0.7018309
0.0364900,0.7019286
0.0365720,0.7002264
0.0366540,0.7397236
0.0367360,0.7003708
0.0368180,0.6582988
0.0369000,0.6984673
0.0369820,0.6996329
0.0370640,0.6581732
0.0371460,0.6561063
0.0372280,0.7770906
0.0373100,0.6577185
0.0373920,0.6577672
0.0374740,0.7788368
0.0375560,0.6160461
0.0376380,0.6147564
0.0377200,0.6138372
0.0378020,0.6596087
0.0378840,0.6606082
0.0379660,0.7002925
0.0380480,0.8078584
0.0381300,0.6949665
0.0382120,0.7347585
0.0382940,0.7345926
0.0383760,0.6964914
0.0384580,0.6572311
0.0385400,0.8439143
0.0386220,0.8108901
0.0387040,0.7747158
0.0387860,0.7771330
0.0388680,0.6975937
0.0389500,0.6987862
0.0390320,0.6114051
0.0391140,0.6553057
0.0391960,0.6570384
0.0392780,0.6564916
0.0393600,0.6969332
0.0394420,0.7736329
0.0395240,0.8095046
0.0396060,0.8423042
0.0396880,0.8422722
0.0397700,0.8756199
0.0398520,0.7334762
0.0399340,0.6934391
0.0400160,0.7295392
0.0400980,0.7302305
0.0401800,0.7309399
0.0402620,0.7699369
0.0403440,0.6537396
0.0404260,0.6580481
0.0405080,0.7379334
0.0405900,0.7378143
0.0406720,0.6984358
0.0407540,0.7366047
0.0408360,0.7346537
0.0409180,0.8081214
0.0410000,0.8055945
0.0410820,0.8048586
0.0411640,0.8043009
0.0412460,0.8047306
0.0413280,0.7335585
0.0414100,0.7341110
0.0414920,0.7357415
0.0415740,0.8452820
0.0416560,0.7740146
0.0417380,0.7353601
0.0418200,0.6953409
0.0419020,0.6961547
0.0419840,0.6953567
0.0420660,0.7694286
0.0421480,0.8052107
0.0422300,0.8722742
0.0423120,0.8719214
0.0423940,0.8739535
0.0424760,0.8036543
0.0425580,0.8374068
0.0426400,0.8027276
0.0427220,0.7675542
0.0428040,0.8372740
0.0428860,0.8385069
0.0429680,0.8068901
0.0430500,0.8059877
0.0431320,0.7271346
0.0432140,0.6907912
0.0432960,0.6907477
0.0433780,0.7687608
0.0434600,0.8010644
0.0435420,0.7987068
0.0436240,0.7983725
0.0437060,0.7655787
0.0437880,0.7662787
0.0438700,0.8643129
0.0439520,0.8689982
0.0440340,0.8002182
0.0441160,0.8685528
0.0441980,0.8696953
0.0442800,0.8388470
0.0443620,0.8042465
0.0444440,0.8741744
0.0445260,0.8415552
0.0446080,0.7721803
0.0446900,0.7717082
0.0447720,0.8031529
0.0448540,0.7301729
0.0449360,0.7683581
0.0450180,0.7646813
0.0451000,0.7633689
0.0451820,0.7622800
0.0452640,0.7954525
0.0453460,0.7233575
0.0454280,0.8316803
0.0455100,0.8638590
0.0455920,0.8645967
0.0456740,0.8275852
0.0457560,0.9252700
0.0458380,0.8943609
0.0459200,0.8963957
0.0460020,0.8964983
0.0460840,0.8975599
0.0461660,0.7957398
0.0462480,0.7963782
0.0463300,0.8346850
0.0464120,0.7609440
0.0464940,0.7592611
0.0465760,0.8606832
0.0466580,0.8600586
0.0467400,0.8950899
0.0468220,0.8658992
0.0469040,0.7981996
0.0469860,0.7988595
0.0470680,0.8000810
0.0471500,0.8345648
0.0472320,0.8655703
0.0473140,0.8661647
0.0473960,0.8663192
0.0474780,0.8672774
0.0475600,0.8294065
0.0476420,0.8285843
0.0477240,0.8623605
0.0478060,0.8633220
0.0478880,0.8638441
0.0479700,0.8964122
0.0480520,0.9286000
0.0481340,0.8989644
0.0482160,0.8668619
0.0482980,0.8678462
0.0483800,0.8008876
0.0484620,0.8678979
0.0485440,0.7977834
0.0486260,0.8354471
0.0487080,0.8320493
0.0487900,0.8319463
0.0488720,0.8977504
0.0489540,0.8650693
0.0490360,0.8967249
0.0491180,0.8642739
0.0492000,0.9288256
0.0492820,0.9304731
0.0493640,0.8676341
