Time (ns),Water after lsq fit to Water
0.0000000,0.0000000
0.0000050,0.0054959
0.0000100,0.0105255
0.0000150,0.0150379
0.0000200,0.0193216
0.0000250,0.0234805
0.0000300,0.0273333
0.0000350,0.0307935
0.0000400,0.0340093
0.0000450,0.0371359
0.0000500,0.0401618
0.0000550,0.0430482
0.0000600,0.0458722
0.0000650,0.0487194
0.0000700,0.0515351
0.0000750,0.0542283
0.0000800,0.0568339
0.0000850,0.0594243
0.0000900,0.0619696
0.0000950,0.0644138
0.0001000,0.3426398
0.0001050,0.3431390
0.0001100,0.3436541
0.0001150,0.3441720
0.0001200,0.3446957
0.0001250,0.3452341
0.0001300,0.3457804
0.0001350,0.3463239
0.0001400,0.3468684
0.0001450,0.3474219
0.0001500,0.3479782
0.0001550,0.3485328
0.0001600,0.3490946
0.0001650,0.3496689
0.0001700,0.3502450
0.0001750,0.3508131
0.0001800,0.3513772
0.0001850,0.3519444
0.0001900,0.3525097
0.0001950,0.3530669
0.0002000,0.6380098
0.0002050,0.6382359
0.0002100,0.6384687
0.0002150,0.6387046
0.0002200,0.6389445
0.0002250,0.6391883
0.0002300,0.6394297
0.0002350,0.6396618
0.0002400,0.6398857
0.0002450,0.6401045
0.0002500,0.6403176
0.0002550,0.6405251
0.0002600,0.6407348
0.0002650,0.6409486
0.0002700,0.6411575
0.0002750,0.6413542
0.0002800,0.6415432
0.0002850,0.6417286
0.0002900,0.6419074
0.0002950,0.6420817
0.0003000,0.6835804
0.0003050,0.6837346
0.0003100,0.6839022
0.0003150,0.6840809
0.0003200,0.6842728
0.0003250,0.6844795
0.0003300,0.6847024
0.0003350,0.6849431
0.0003400,0.6852048
0.0003450,0.6854888
0.0003500,0.6857904
0.0003550,0.6861020
0.0003600,0.6864162
0.0003650,0.6867281
0.0003700,0.6870330
0.0003750,0.6873287
0.0003800,0.6876189
0.0003850,0.6879103
0.0003900,0.6882048
0.0003950,0.6885025
0.0004000,0.7992887
0.0004050,0.7995094
0.0004100,0.7997383
0.0004150,0.7999674
0.0004200,0.8001939
0.0004250,0.8004212
0.0004300,0.8006477
0.0004350,0.8008687
0.0004400,0.8010858
0.0004450,0.8013040
0.0004500,0.8015247
0.0004550,0.8017475
0.0004600,0.8019770
0.0004650,0.8022231
0.0004700,0.8024905
0.0004750,0.8027738
0.0004800,0.8030647
0.0004850,0.8033583
0.0004900,0.8036517
0.0004950,0.8039411
0.0005000,0.7689701
0.0005050,0.7692289
0.0005100,0.7694974
0.0005150,0.7697737
0.0005200,0.7700564
0.0005250,0.7703470
0.0005300,0.7706446
0.0005350,0.7709465
0.0005400,0.7712515
0.0005450,0.7715602
0.0005500,0.7718710
0.0005550,0.7721785
0.0005600,0.7724814
0.0005650,0.7727817
0.0005700,0.7730754
0.0005750,0.7733581
0.0005800,0.7736309
0.0005850,0.7738967
0.0005900,0.7741538
0.0005950,0.7743986
0.0006000,0.8737015
0.0006050,0.8738676
0.0006100,0.8740378
0.0006150,0.8742139
0.0006200,0.8743988
0.0006250,0.8745966
0.0006300,0.8748072
0.0006350,0.8750260
0.0006400,0.8752498
0.0006450,0.8754795
0.0006500,0.8757150
0.0006550,0.8759527
0.0006600,0.8761901
0.0006650,0.8764298
0.0006700,0.8766738
0.0006750,0.8769220
0.0006800,0.8771744
0.0006850,0.8774319
0.0006900,0.8776932
0.0006950,0.8779566
0.0007000,0.7750383
0.0007050,0.7752271
0.0007100,0.7754264
0.0007150,0.7756312
0.0007200,0.7758364
0.0007250,0.7760391
0.0007300,0.7762345
0.0007350,0.7764208
0.0007400,0.7766033
0.0007450,0.7767892
0.0007500,0.7769824
0.0007550,0.7771848
0.0007600,0.7773996
0.0007650,0.7776267
0.0007700,0.7778594
0.0007750,0.7780865
0.0007800,0.7783013
0.0007850,0.7785057
0.0007900,0.7787045
0.0007950,0.7788983
0.0008000,0.7790885
0.0008050,0.7792791
0.0008100,0.7794748
0.0008150,0.7796768
0.0008200,0.7798828
0.0008250,0.7800907
0.0008300,0.7803004
0.0008350,0.7805116
0.0008400,0.7807224
0.0008450,0.7809315
0.0008500,0.7811382
0.0008550,0.7813416
0.0008600,0.7815428
0.0008650,0.7817414
0.0008700,0.7819361
0.0008750,0.7821292
0.0008800,0.7823225
0.0008850,0.7825145
0.0008900,0.7827024
0.0008950,0.7828830
0.0009000,0.9437424
0.0009050,0.9438501
0.0009100,0.9439618
0.0009150,0.9440824
0.0009200,0.9442209
0.0009250,0.9443903
0.0009300,0.9445936
0.0009350,0.9448220
0.0009400,0.9450688
0.0009450,0.9453298
0.0009500,0.9455969
0.0009550,0.9458580
0.0009600,0.9461049
0.0009650,0.9463334
0.0009700,0.9465410
0.0009750,0.9467278
0.0009800,0.9468966
0.0009850,0.9470528
0.0009900,0.9472007
0.0009950,0.9473432
0.0010000,0.9461323
0.0010050,0.9462547
0.0010100,0.9463793
0.0010150,0.9465047
0.0010200,0.9466311
0.0010250,0.9467554
0.0010300,0.9468731
0.0010350,0.9469851
0.0010400,0.9470940
0.0010450,0.9472010
0.0010500,0.9473055
0.0010550,0.9474032
0.0010600,0.9474947
0.0010650,0.9475872
0.0010700,0.9476865
0.0010750,0.9477927
0.0010800,0.9479063
0.0010850,0.9480294
0.0010900,0.9481585
0.0010950,0.9482876
0.0011000,0.9754386
0.0011050,0.9754888
0.0011100,0.9755445
0.0011150,0.9756060
0.0011200,0.9756743
0.0011250,0.9757536
0.0011300,0.9758472
0.0011350,0.9759559
0.0011400,0.9760808
0.0011450,0.9762229
0.0011500,0.9763816
0.0011550,0.9765559
0.0011600,0.9767448
0.0011650,0.9769431
0.0011700,0.9771444
0.0011750,0.9773426
0.0011800,0.9775323
0.0011850,0.9777107
0.0011900,0.9778791
0.0011950,0.9780411
0.0012000,1.0069848
0.0012050,1.0070852
0.0012100,1.0071910
0.0012150,1.0073020
0.0012200,1.0074123
0.0012250,1.0075172
0.0012300,1.0076185
0.0012350,1.0077179
0.0012400,1.0078133
0.0012450,1.0079059
0.0012500,1.0080001
0.0012550,1.0080973
0.0012600,1.0081981
0.0012650,1.0083041
0.0012700,1.0084173
0.0012750,1.0085375
0.0012800,1.0086608
0.0012850,1.0087858
0.0012900,1.0089125
