Time (ps),Temperature
0.000000,151.939667
1.000000,148.741943
2.000000,151.463196
3.000000,147.294861
4.000000,148.988037
5.000000,146.050125
6.000000,143.450073
7.000000,141.061813
8.000000,142.720261
9.000000,140.908966
10.000000,141.016205
11.000000,140.768173
12.000000,140.269379
13.000000,137.693787
14.000000,137.177078
15.000000,137.448349
16.000000,134.146393
17.000000,133.639252
18.000000,134.262711
19.000000,132.485748
20.000000,130.237900
21.000000,128.139389
22.000000,128.750137
23.000000,128.813690
24.000000,126.759567
25.000000,125.231339
26.000000,124.190674
27.000000,123.582115
28.000000,123.050179
29.000000,120.983711
30.000000,120.926826
31.000000,120.079834
32.000000,119.750351
33.000000,119.460892
34.000000,117.919395
35.000000,114.733078
36.000000,114.569641
37.000000,113.372505
38.000000,113.210800
39.000000,112.724144
40.000000,109.684212
41.000000,110.605347
42.000000,108.890427
43.000000,108.383026
44.000000,106.455925
45.000000,108.461914
46.000000,106.030403
47.000000,103.415825
48.000000,104.163040
49.000000,102.289070
50.000000,100.841469
