Time (ns),System after lsq fit to System
0.0000000,0.0000000
0.0000050,0.0022595
0.0000100,0.0043936
0.0000150,0.0063591
0.0000200,0.0081303
0.0000250,0.0096957
0.0000300,0.0110732
0.0000350,0.0122880
0.0000400,0.0133984
0.0000450,0.0144394
0.0000500,0.0154175
0.0000550,0.0163292
0.0000600,0.0171585
0.0000650,0.0178970
0.0000700,0.0185403
0.0000750,0.0191084
0.0000800,0.0196430
0.0000850,0.0201711
0.0000900,0.0207144
0.0000950,0.0212768
0.0001000,0.1714436
0.0001050,0.1715112
0.0001100,0.1715805
0.0001150,0.1716480
0.0001200,0.1717125
0.0001250,0.1717757
0.0001300,0.1718409
0.0001350,0.1719114
0.0001400,0.1719882
0.0001450,0.1720672
0.0001500,0.1721435
0.0001550,0.1722141
0.0001600,0.1722773
0.0001650,0.1723347
0.0001700,0.1723880
0.0001750,0.1724402
0.0001800,0.1724950
0.0001850,0.1725533
0.0001900,0.1726138
0.0001950,0.1726728
0.0002000,0.1997903
0.0002050,0.1998168
0.0002100,0.1998414
0.0002150,0.1998667
0.0002200,0.1998946
0.0002250,0.1999270
0.0002300,0.1999651
0.0002350,0.2000081
0.0002400,0.2000539
0.0002450,0.2000988
0.0002500,0.2001408
0.0002550,0.2001808
0.0002600,0.2002210
0.0002650,0.2002646
0.0002700,0.2003121
0.0002750,0.2003620
0.0002800,0.2004110
0.0002850,0.2004549
0.0002900,0.2004915
0.0002950,0.2005206
0.0003000,0.2303055
0.0003050,0.2303121
0.0003100,0.2303216
0.0003150,0.2303355
0.0003200,0.2303543
0.0003250,0.2303782
0.0003300,0.2304069
0.0003350,0.2304399
0.0003400,0.2304762
0.0003450,0.2305141
0.0003500,0.2305525
0.0003550,0.2305904
0.0003600,0.2306267
0.0003650,0.2306603
0.0003700,0.2306906
0.0003750,0.2307175
0.0003800,0.2307407
0.0003850,0.2307599
0.0003900,0.2307758
0.0003950,0.2307899
0.0004000,0.2246677
0.0004050,0.2246797
0.0004100,0.2246946
0.0004150,0.2247141
0.0004200,0.2247390
0.0004250,0.2247692
0.0004300,0.2248022
0.0004350,0.2248347
0.0004400,0.2248648
0.0004450,0.2248915
0.0004500,0.2249158
0.0004550,0.2249381
0.0004600,0.2249589
0.0004650,0.2249781
0.0004700,0.2249949
0.0004750,0.2250084
0.0004800,0.2250177
0.0004850,0.2250234
0.0004900,0.2250261
0.0004950,0.2250259
0.0005000,0.2328239
0.0005050,0.2328184
0.0005100,0.2328217
0.0005150,0.2328335
0.0005200,0.2328507
0.0005250,0.2328686
0.0005300,0.2328828
0.0005350,0.2328923
0.0005400,0.2328986
0.0005450,0.2329045
0.0005500,0.2329139
0.0005550,0.2329289
0.0005600,0.2329499
0.0005650,0.2329746
0.0005700,0.2329987
0.0005750,0.2330175
0.0005800,0.2330269
0.0005850,0.2330253
0.0005900,0.2330154
0.0005950,0.2330030
0.0006000,0.2041452
0.0006050,0.2041369
0.0006100,0.2041347
0.0006150,0.2041333
0.0006200,0.2041280
0.0006250,0.2041168
0.0006300,0.2040998
0.0006350,0.2040799
0.0006400,0.2040613
0.0006450,0.2040475
0.0006500,0.2040401
0.0006550,0.2040368
0.0006600,0.2040338
0.0006650,0.2040276
0.0006700,0.2040166
0.0006750,0.2040023
0.0006800,0.2039877
0.0006850,0.2039765
0.0006900,0.2039709
0.0006950,0.2039708
0.0007000,0.2237166
0.0007050,0.2237052
0.0007100,0.2236947
0.0007150,0.2236839
0.0007200,0.2236724
0.0007250,0.2236614
0.0007300,0.2236523
0.0007350,0.2236471
0.0007400,0.2236461
0.0007450,0.2236473
0.0007500,0.2236482
0.0007550,0.2236464
0.0007600,0.2236420
0.0007650,0.2236356
0.0007700,0.2236286
0.0007750,0.2236213
0.0007800,0.2236132
0.0007850,0.2236052
0.0007900,0.2235982
0.0007950,0.2235924
0.0008000,0.2601092
0.0008050,0.2601048
0.0008100,0.2601039
0.0008150,0.2601080
0.0008200,0.2601182
0.0008250,0.2601349
0.0008300,0.2601570
0.0008350,0.2601826
0.0008400,0.2602087
0.0008450,0.2602324
0.0008500,0.2602524
0.0008550,0.2602683
0.0008600,0.2602812
0.0008650,0.2602917
0.0008700,0.2603007
0.0008750,0.2603083
0.0008800,0.2603145
0.0008850,0.2603185
0.0008900,0.2603195
0.0008950,0.2603179
