Time (ns),non-Water after lsq fit to non-Water
0.0013200,0.0610237
0.0013250,0.0610297
0.0013300,0.0610459
0.0013350,0.0610707
0.0013400,0.0610994
0.0013450,0.0611276
0.0013500,0.0611515
0.0013550,0.0611697
0.0013600,0.0611820
0.0013650,0.0611918
0.0013700,0.0612047
0.0013750,0.0612249
0.0013800,0.0612525
0.0013850,0.0612805
0.0013900,0.0612998
0.0013950,0.0613058
0.0014000,0.0830083
0.0014050,0.0829971
0.0014100,0.0829898
0.0014150,0.0829871
0.0014200,0.0829892
0.0014250,0.0829954
0.0014300,0.0830048
0.0014350,0.0830166
0.0014400,0.0830314
0.0014450,0.0830498
0.0014500,0.0830709
0.0014550,0.0830943
0.0014600,0.0831192
0.0014650,0.0831449
0.0014700,0.0831704
0.0014750,0.0831941
0.0014800,0.0832159
0.0014850,0.0832351
0.0014900,0.0832520
0.0014950,0.0832664
0.0015000,0.0244690
0.0015050,0.0244794
0.0015100,0.0244913
0.0015150,0.0245013
0.0015200,0.0245064
0.0015250,0.0245054
0.0015300,0.0245000
0.0015350,0.0244914
0.0015400,0.0244832
0.0015450,0.0244787
0.0015500,0.0244792
0.0015550,0.0244847
0.0015600,0.0244924
0.0015650,0.0245016
0.0015700,0.0245115
0.0015750,0.0245216
0.0015800,0.0245335
0.0015850,0.0245468
0.0015900,0.0245637
0.0015950,0.0245833
0.0016000,0.0246031
0.0016050,0.0246233
0.0016100,0.0246418
0.0016150,0.0246595
0.0016200,0.0246766
0.0016250,0.0246935
0.0016300,0.0247107
0.0016350,0.0247251
0.0016400,0.0247363
0.0016450,0.0247437
0.0016500,0.0247478
0.0016550,0.0247492
0.0016600,0.0247471
0.0016650,0.0247443
0.0016700,0.0247413
0.0016750,0.0247385
0.0016800,0.0247358
0.0016850,0.0247329
0.0016900,0.0247315
0.0016950,0.0247310
0.0017000,0.0782310
0.0017050,0.0782263
0.0017100,0.0782207
0.0017150,0.0782166
0.0017200,0.0782153
0.0017250,0.0782169
0.0017300,0.0782207
0.0017350,0.0782262
0.0017400,0.0782353
0.0017450,0.0782493
0.0017500,0.0782686
0.0017550,0.0782922
0.0017600,0.0783168
0.0017650,0.0783388
0.0017700,0.0783547
0.0017750,0.0783636
0.0017800,0.0783665
0.0017850,0.0783647
0.0017900,0.0783606
0.0017950,0.0783569
0.0018000,0.0831538
0.0018050,0.0831214
0.0018100,0.0830895
0.0018150,0.0830597
0.0018200,0.0830331
0.0018250,0.0830111
0.0018300,0.0829945
0.0018350,0.0829834
0.0018400,0.0829783
0.0018450,0.0829794
0.0018500,0.0829863
0.0018550,0.0829979
0.0018600,0.0830128
0.0018650,0.0830301
0.0018700,0.0830481
0.0018750,0.0830652
0.0018800,0.0830806
0.0018850,0.0830939
0.0018900,0.0831052
0.0018950,0.0831140
0.0019000,0.0829081
0.0019050,0.0829070
0.0019100,0.0829036
0.0019150,0.0828985
0.0019200,0.0828926
0.0019250,0.0828872
0.0019300,0.0828837
0.0019350,0.0828833
0.0019400,0.0828864
0.0019450,0.0828934
0.0019500,0.0829042
0.0019550,0.0829176
0.0019600,0.0829321
0.0019650,0.0829466
0.0019700,0.0829597
0.0019750,0.0829700
0.0019800,0.0829760
0.0019850,0.0829765
0.0019900,0.0829716
0.0019950,0.0829620
0.0020000,0.0611789
0.0020050,0.0611711
0.0020100,0.0611655
0.0020150,0.0611625
0.0020200,0.0611613
0.0020250,0.0611602
0.0020300,0.0611577
0.0020350,0.0611539
0.0020400,0.0611491
0.0020450,0.0611429
0.0020500,0.0611362
0.0020550,0.0611297
0.0020600,0.0611242
0.0020650,0.0611196
0.0020700,0.0611148
0.0020750,0.0611102
0.0020800,0.0611062
0.0020850,0.0611036
0.0020900,0.0611022
0.0020950,0.0611024
0.0021000,0.1112591
0.0021050,0.1112555
0.0021100,0.1112557
0.0021150,0.1112598
0.0021200,0.1112685
0.0021250,0.1112819
0.0021300,0.1112988
0.0021350,0.1113171
0.0021400,0.1113347
0.0021450,0.1113498
0.0021500,0.1113618
0.0021550,0.1113703
0.0021600,0.1113761
0.0021650,0.1113799
0.0021700,0.1113815
0.0021750,0.1113808
0.0021800,0.1113779
0.0021850,0.1113738
0.0021900,0.1113699
0.0021950,0.1113678
0.0022000,0.1001011
0.0022050,0.1001010
0.0022100,0.1001053
0.0022150,0.1001133
0.0022200,0.1001234
0.0022250,0.1001348
0.0022300,0.1001472
0.0022350,0.1001613
0.0022400,0.1001781
0.0022450,0.1001979
0.0022500,0.1002202
0.0022550,0.1002423
0.0022600,0.1002615
0.0022650,0.1002748
0.0022700,0.1002815
0.0022750,0.1002826
0.0022800,0.1002797
0.0022850,0.1002753
0.0022900,0.1002718
0.0022950,0.1002708
0.0023000,0.0830213
0.0023050,0.0830221
0.0023100,0.0830236
0.0023150,0.0830246
0.0023200,0.0830259
0.0023250,0.0830305
0.0023300,0.0830405
0.0023350,0.0830572
0.0023400,0.0830789
0.0023450,0.0831030
0.0023500,0.0831271
0.0023550,0.0831489
0.0023600,0.0831678
0.0023650,0.0831843
0.0023700,0.0831996
0.0023750,0.0832149
0.0023800,0.0832308
0.0023850,0.0832474
0.0023900,0.0832628
0.0023950,0.0832745
0.0024000,0.1003690
0.0024050,0.1003713
0.0024100,0.1003798
0.0024150,0.1003933
0.0024200,0.1004098
0.0024250,0.1004279
0.0024300,0.1004467
0.0024350,0.1004656
0.0024400,0.1004840
0.0024450,0.1005017
0.0024500,0.1005190
0.0024550,0.1005359
0.0024600,0.1005520
0.0024650,0.1005672
0.0024700,0.1005813
0.0024750,0.1005943
0.0024800,0.1006058
0.0024850,0.1006160
0.0024900,0.1006253
0.0024950,0.1006340
0.0025000,0.0244692
0.0025050,0.0244847
0.0025100,0.0244976
0.0025150,0.0245070
0.0025200,0.0245114
0.0025250,0.0245109
0.0025300,0.0245071
0.0025350,0.0245022
0.0025400,0.0244980
0.0025450,0.0244953
0.0025500,0.0244950
0.0025550,0.0244967
0.0025600,0.0244994
0.0025650,0.0245014
0.0025700,0.0245027
0.0025750,0.0245049
0.0025800,0.0245086
0.0025850,0.0245141
0.0025900,0.0245212
0.0025950,0.0245294
0.0026000,0.0614158
0.0026050,0.0614101
0.0026100,0.0614145
0.0026150,0.0614278
0.0026200,0.0614457
0.0026250,0.0614618
0.0026300,0.0614707
0.0026350,0.0614715
0.0026400,0.0614677
0.0026450,0.0614655
0.0026500,0.0614704
0.0026550,0.0614850
0.0026600,0.0615078
0.0026650,0.0615332
0.0026700,0.0615533
0.0026750,0.0615621
0.0026800,0.0615591
0.0026850,0.0615499
0.0026900,0.0615421
0.0026950,0.0615421
0.0027000,0.0832593
0.0027050,0.0832682
0.0027100,0.0832768
0.0027150,0.0832798
0.0027200,0.0832765
0.0027250,0.0832695
0.0027300,0.0832637
0.0027350,0.0832636
0.0027400,0.0832717
0.0027450,0.0832865
0.0027500,0.0833033
0.0027550,0.0833168
0.0027600,0.0833239
0.0027650,0.0833238
0.0027700,0.0833181
0.0027750,0.0833099
0.0027800,0.0833032
0.0027850,0.0833006
0.0027900,0.0833025
0.0027950,0.0833074
0.0028000,0.0613453
0.0028050,0.0613383
0.0028100,0.0613326
0.0028150,0.0613284
0.0028200,0.0613255
0.0028250,0.0613245
0.0028300,0.0613256
0.0028350,0.0613286
0.0028400,0.0613328
0.0028450,0.0613376
0.0028500,0.0613428
0.0028550,0.0613481
0.0028600,0.0613540
0.0028650,0.0613608
0.0028700,0.0613685
0.0028750,0.0613767
0.0028800,0.0613851
0.0028850,0.0613934
0.0028900,0.0614016
0.0028950,0.0614098
0.0029000,0.0612370
0.0029050,0.0612336
0.0029100,0.0612318
0.0029150,0.0612321
0.0029200,0.0612347
0.0029250,0.0612393
0.0029300,0.0612461
0.0029350,0.0612554
0.0029400,0.0612682
0.0029450,0.0612842
0.0029500,0.0613022
0.0029550,0.0613209
0.0029600,0.0613391
0.0029650,0.0613553
0.0029700,0.0613683
0.0029750,0.0613779
0.0029800,0.0613853
0.0029850,0.0613908
0.0029900,0.0613940
0.0029950,0.0613955
0.0030000,0.1147382
0.0030050,0.1147590
0.0030100,0.1147779
0.0030150,0.1147945
0.0030200,0.1148092
0.0030250,0.1148226
0.0030300,0.1148350
0.0030350,0.1148474
0.0030400,0.1148604
0.0030450,0.1148746
0.0030500,0.1148904
0.0030550,0.1149081
0.0030600,0.1149272
0.0030650,0.1149473
0.0030700,0.1149677
0.0030750,0.1149875
0.0030800,0.1150058
0.0030850,0.1150222
0.0030900,0.1150362
0.0030950,0.1150476
0.0031000,0.0246452
0.0031050,0.0246416
0.0031100,0.0246382
0.0031150,0.0246350
0.0031200,0.0246317
0.0031250,0.0246281
0.0031300,0.0246257
0.0031350,0.0246253
0.0031400,0.0246262
0.0031450,0.0246265
0.0031500,0.0246246
0.0031550,0.0246200
0.0031600,0.0246125
0.0031650,0.0246014
0.0031700,0.0245875
0.0031750,0.0245731
0.0031800,0.0245610
0.0031850,0.0245506
0.0031900,0.0245400
0.0031950,0.0245295
0.0032000,0.0830878
0.0032050,0.0830902
0.0032100,0.0830962
0.0032150,0.0831051
0.0032200,0.0831166
0.0032250,0.0831294
0.0032300,0.0831419
0.0032350,0.0831527
0.0032400,0.0831615
0.0032450,0.0831686
0.0032500,0.0831739
0.0032550,0.0831779
0.0032600,0.0831805
0.0032650,0.0831819
0.0032700,0.0831819
0.0032750,0.0831803
0.0032800,0.0831777
0.0032850,0.0831747
0.0032900,0.0831718
0.0032950,0.0831693
0.0033000,0.1218635
0.0033050,0.1218472
0.0033100,0.1218372
0.0033150,0.1218345
0.0033200,0.1218381
0.0033250,0.1218447
0.0033300,0.1218518
0.0033350,0.1218577
0.0033400,0.1218624
0.0033450,0.1218670
0.0033500,0.1218741
0.0033550,0.1218870
0.0033600,0.1219075
0.0033650,0.1219339
0.0033700,0.1219617
0.0033750,0.1219867
0.0033800,0.1220086
0.0033850,0.1220286
0.0033900,0.1220479
0.0033950,0.1220660
0.0034000,0.0829571
0.0034050,0.0829508
0.0034100,0.0829490
0.0034150,0.0829519
0.0034200,0.0829591
0.0034250,0.0829715
0.0034300,0.0829902
0.0034350,0.0830143
0.0034400,0.0830420
0.0034450,0.0830713
0.0034500,0.0831008
0.0034550,0.0831287
0.0034600,0.0831525
0.0034650,0.0831706
0.0034700,0.0831829
0.0034750,0.0831899
0.0034800,0.0831922
0.0034850,0.0831910
0.0034900,0.0831878
0.0034950,0.0831837
0.0035000,0.0781958
0.0035050,0.0782003
0.0035100,0.0782088
0.0035150,0.0782197
0.0035200,0.0782314
0.0035250,0.0782438
0.0035300,0.0782572
0.0035350,0.0782716
0.0035400,0.0782861
0.0035450,0.0782985
0.0035500,0.0783065
0.0035550,0.0783084
0.0035600,0.0783054
0.0035650,0.0783011
0.0035700,0.0782990
0.0035750,0.0783009
0.0035800,0.0783070
0.0035850,0.0783169
0.0035900,0.0783294
0.0035950,0.0783422
0.0036000,0.0828537
0.0036050,0.0828302
0.0036100,0.0828086
0.0036150,0.0827894
0.0036200,0.0827734
0.0036250,0.0827611
