,Energy Transfer (meV),IPR,PPR,1/N
0,0.04136006262249528,9.929506462224904e-05,0.3937365704744044,3.90960982093987e-05
1,0.08272012524499056,9.923731338492502e-05,0.39396570580011014,3.90960982093987e-05
2,0.12408018786748584,9.914085752425407e-05,0.3943490018717473,3.90960982093987e-05
3,0.16544025048998112,9.900539289262027e-05,0.39488857189629795,3.90960982093987e-05
4,0.2068003131124764,9.883050106166224e-05,0.395587372212207,3.90960982093987e-05
5,0.24816037573497168,9.861566586917857e-05,0.39644916317112083,3.90960982093987e-05
6,0.28952043835746694,9.836030577301178e-05,0.39747841268022915,3.90960982093987e-05
7,0.33088050097996224,9.806382701231616e-05,0.3986801188626719,3.90960982093987e-05
8,0.37224056360245755,9.772570049809214e-05,0.4000595340850175,3.90960982093987e-05
9,0.4136006262249528,9.734556209373756e-05,0.4016217829401576,3.90960982093987e-05
10,0.4549606888474481,9.692333195048904e-05,0.40337138047802573,3.90960982093987e-05
11,0.49632075146994337,9.645934451162003e-05,0.40531167205567076,3.90960982093987e-05
12,0.5376808140924386,9.595447748574323e-05,0.40744423015807196,3.90960982093987e-05
13,0.5790408767149339,9.541026625152546e-05,0.4097682539353947,3.90960982093987e-05
14,0.6204009393374292,9.482899028867651e-05,0.41228002207324094,3.90960982093987e-05
15,0.6617610019599245,9.421372044752624e-05,0.41497244800107297,3.90960982093987e-05
16,0.7031210645824197,9.356831985644805e-05,0.41783477858082413,3.90960982093987e-05
17,0.7444811272049151,9.289739634685677e-05,0.42085246462046333,3.90960982093987e-05
18,0.7858411898274104,9.220620957312955e-05,0.42400721589570656,3.90960982093987e-05
19,0.8272012524499056,9.150054065053454e-05,0.4272772371773992,3.90960982093987e-05
20,0.868561315072401,9.078653545454672e-05,0.43063762719497756,3.90960982093987e-05
21,0.9099213776948962,9.007053436024489e-05,0.4340609111191733,3.90960982093987e-05
22,0.9512814403173915,8.935890113449251e-05,0.437517669902362,3.90960982093987e-05
23,0.9926415029398867,8.865786219699827e-05,0.44097722684229573,3.90960982093987e-05
24,1.034001565562382,8.797336498986287e-05,0.44440835261790573,3.90960982093987e-05
25,1.0753616281848772,8.731096124885507e-05,0.4477799539735497,3.90960982093987e-05
26,1.1167216908073725,8.667571801766554e-05,0.45106171720931637,3.90960982093987e-05
27,1.1580817534298677,8.607215664326327e-05,0.4542246846612352,3.90960982093987e-05
28,1.1994418160523632,8.550421795072934e-05,0.4572417495465231,3.90960982093987e-05
