,Energy Transfer (meV),f_surf,f_core,1/N_surf,1/N_core,1/N_total
0,0.04136006262249528,0.5763698891957616,0.423630515276291,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
1,0.08272012524499056,0.5764201367193037,0.42358036969232016,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2,0.12408018786748584,0.5765008818248027,0.4234997932521457,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
3,0.16544025048998112,0.5766077882158531,0.42339312041428795,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
4,0.2068003131124764,0.5767351074464503,0.4232660970796416,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
5,0.24816037573497168,0.5768759840005749,0.42312557554412267,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
6,0.28952043835746694,0.5770228225812001,0.4229791472558532,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
7,0.33088050097996224,0.5771676988530005,0.42283473213516143,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
8,0.37224056360245755,0.5773027913699145,0.42270014672691186,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
9,0.4136006262249528,0.5774208100355531,0.42258267583755865,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
10,0.4549606888474481,0.5775153957200627,0.4224886730306303,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
11,0.49632075146994337,0.5775814669927788,0.42242321401796495,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
12,0.5376808140924386,0.5776154934606895,0.42238982345090104,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
13,0.5790408767149339,0.5776156807305125,0.4223902900874517,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
14,0.6204009393374292,0.5775820589932796,0.4224245783293625,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
15,0.6617610019599245,0.5775164748630806,0.42249083649146457,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
16,0.7031210645824197,0.5774224934625285,0.42258549480490915,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
17,0.7444811272049151,0.5773052239737358,0.4227034399320793,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
18,0.7858411898274104,0.5771710863095674,0.4228382483366467,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
19,0.8272012524499056,0.5770275388657543,0.4229824585482317,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
