,Energy Transfer (meV),PPR
0,0.04136006262249528,0.14569854903204915
1,0.08272012524499056,0.1473993575250499
2,0.12408018786748584,0.1502253664126141
3,0.16544025048998112,0.1541623845811961
4,0.2068003131124764,0.15918835315090335
5,0.24816037573497168,0.16527154593438806
6,0.28952043835746694,0.1723687712879769
7,0.33088050097996224,0.18042388362937337
8,0.37224056360245755,0.18936689558535774
9,0.4136006262249528,0.19911392074904674
10,0.4549606888474481,0.20956807768897018
11,0.49632075146994337,0.22062136198776766
12,0.5376808140924386,0.2321573651720111
13,0.5790408767149339,0.24405461014021676
14,0.6204009393374292,0.2561902013780013
15,0.6617610019599245,0.26844346572965355
16,0.7031210645824197,0.2806992857678356
17,0.7444811272049151,0.2928508928382753
18,0.7858411898274104,0.3048019742097394
19,0.8272012524499056,0.3164680404199279
20,0.868561315072401,0.32777707965905234
21,0.9099213776948962,0.33866958612959003
22,0.9512814403173915,0.349098085124606
23,0.9926415029398867,0.359026290551091
24,1.034001565562382,0.368428025527286
25,1.0753616281848772,0.37728601956193686
26,1.1167216908073725,0.3855906725345801
27,1.1580817534298677,0.3933388509739812
28,1.1994418160523632,0.4005327592493794
29,1.2408018786748585,0.407178909111117
30,1.2821619412973537,0.4132871962877245
31,1.323522003919849,0.4188700825283717
32,1.3648820665423442,0.42394187507810693
33,1.4062421291648395,0.428518092385179
34,1.447602191787335,0.43261490411491393
35,1.4889622544098302,0.4362486345914837
36,1.5303223170323255,0.439435321012926
37,1.5716823796548207,0.44219032070520164
38,1.613042442277316,0.4445279649190749
39,1.6544025048998112,0.44646125993632624
40,1.6957625675223067,0.4480016393106179
41,1.737122630144802,0.4491587737334616
42,1.7784826927672972,0.4499404471249759
43,1.8198427553897925,0.4503525089419248
44,1.8612028180122877,0.4503989132133246
45,1.902562880634783,0.45008185429133785
46,1.9439229432572784,0.4494020075816091
47,1.9852830058797735,0.4483588804563946
48,2.0266430685022687,0.44695127407287727
49,2.068003131124764,0.44517785093679213
50,2.1093631937472592,0.4430377959292324
51,2.1507232563697545,0.4405315505062917
52,2.1920833189922497,0.4376615914603558
53,2.233443381614745,0.43443321778428795
54,2.2748034442372402,0.43085530276744316
55,2.3161635068597355,0.4269409644996086
56,2.357523569482231,0.4227081074225685
57,2.3988836321047264,0.41817979114221093
58,2.4402436947272217,0.4133843906659846
59,2.481603757349717,0.40835552425824045
60,2.522963819972212,0.403131740298046
61,2.5643238825947074,0.39775597141841734
62,2.6056839452172027,0.39227478097918284
63,2.647044007839698,0.3867374416662948
64,2.6884040704621937,0.3811948970314348
65,2.7297641330846885,0.3756986629046723
66,2.771124195707184,0.37029972633927705
67,2.812484258329679,0.36504749533165815
68,2.8538443209521747,0.3599888439095986
69,2.89520438357467,0.3551672856627529
70,2.936564446197165,0.35062229597103944
71,2.9779245088196604,0.34638879058577043
