Time (ns),Water after lsq fit to Water
0.0000000,0.0000000
0.0000050,0.0043685
0.0000100,0.0083615
0.0000150,0.0119125
0.0000200,0.0152393
0.0000250,0.0183811
0.0000300,0.0212021
0.0000350,0.0236580
0.0000400,0.0259168
0.0000450,0.0280972
0.0000500,0.0301832
0.0000550,0.0321706
0.0000600,0.0341558
0.0000650,0.0361705
0.0000700,0.0381437
0.0000750,0.0400149
0.0000800,0.0418307
0.0000850,0.0436279
0.0000900,0.0453728
0.0000950,0.0470287
0.0001000,0.4163418
0.0001050,0.4165426
0.0001100,0.4167555
0.0001150,0.4169741
0.0001200,0.4172019
0.0001250,0.4174418
0.0001300,0.4176881
0.0001350,0.4179341
0.0001400,0.4181791
0.0001450,0.4184238
0.0001500,0.4186648
0.0001550,0.4188994
0.0001600,0.4191350
0.0001650,0.4193758
0.0001700,0.4196187
0.0001750,0.4198547
0.0001800,0.4200792
0.0001850,0.4202917
0.0001900,0.4204874
0.0001950,0.4206616
0.0002000,0.3451206
0.0002050,0.3453044
0.0002100,0.3455082
0.0002150,0.3457343
0.0002200,0.3459918
0.0002250,0.3462844
0.0002300,0.3466053
0.0002350,0.3469457
0.0002400,0.3473011
0.0002450,0.3476658
0.0002500,0.3480293
0.0002550,0.3483844
0.0002600,0.3487351
0.0002650,0.3490878
0.0002700,0.3494408
0.0002750,0.3497890
0.0002800,0.3501328
0.0002850,0.3504767
0.0002900,0.3508176
0.0002950,0.3511530
0.0003000,0.5932427
0.0003050,0.5934143
0.0003100,0.5935927
0.0003150,0.5937747
0.0003200,0.5939628
0.0003250,0.5941600
0.0003300,0.5943653
0.0003350,0.5945770
0.0003400,0.5947913
0.0003450,0.5950032
0.0003500,0.5952055
0.0003550,0.5953948
0.0003600,0.5955705
0.0003650,0.5957321
0.0003700,0.5958794
0.0003750,0.5960119
0.0003800,0.5961293
0.0003850,0.5962321
0.0003900,0.5963168
0.0003950,0.5963799
0.0004000,0.4891768
0.0004050,0.4892533
0.0004100,0.4893332
0.0004150,0.4894163
0.0004200,0.4895051
0.0004250,0.4896034
0.0004300,0.4897147
0.0004350,0.4898410
0.0004400,0.4899825
0.0004450,0.4901398
0.0004500,0.4903091
0.0004550,0.4904896
0.0004600,0.4906801
0.0004650,0.4908769
0.0004700,0.4910744
0.0004750,0.4912724
0.0004800,0.4914753
0.0004850,0.4916849
0.0004900,0.4918999
0.0004950,0.4921192
0.0005000,0.5473322
0.0005050,0.5474713
0.0005100,0.5476079
0.0005150,0.5477459
0.0005200,0.5478864
0.0005250,0.5480286
0.0005300,0.5481760
0.0005350,0.5483312
0.0005400,0.5484930
0.0005450,0.5486573
0.0005500,0.5488209
0.0005550,0.5489844
0.0005600,0.5491463
0.0005650,0.5493038
0.0005700,0.5494564
0.0005750,0.5496039
0.0005800,0.5497432
0.0005850,0.5498681
0.0005900,0.5499780
0.0005950,0.5500733
0.0006000,0.5981081
0.0006050,0.5982357
0.0006100,0.5983606
0.0006150,0.5984868
0.0006200,0.5986172
0.0006250,0.5987498
0.0006300,0.5988846
0.0006350,0.5990201
0.0006400,0.5991545
0.0006450,0.5992879
0.0006500,0.5994191
0.0006550,0.5995446
0.0006600,0.5996642
0.0006650,0.5997798
0.0006700,0.5998922
0.0006750,0.6000011
0.0006800,0.6001077
0.0006850,0.6002135
0.0006900,0.6003195
0.0006950,0.6004243
0.0007000,0.3603140
0.0007050,0.3604362
0.0007100,0.3605662
0.0007150,0.3607021
0.0007200,0.3608430
0.0007250,0.3609874
0.0007300,0.3611359
0.0007350,0.3612857
0.0007400,0.3614364
0.0007450,0.3615883
0.0007500,0.3617425
0.0007550,0.3618992
0.0007600,0.3620601
0.0007650,0.3622265
0.0007700,0.3624012
0.0007750,0.3625818
0.0007800,0.3627642
0.0007850,0.3629446
0.0007900,0.3631219
0.0007950,0.3632920
0.0008000,0.4966049
0.0008050,0.4967063
0.0008100,0.4967980
0.0008150,0.4968814
0.0008200,0.4969598
0.0008250,0.4970348
0.0008300,0.4971089
0.0008350,0.4971841
0.0008400,0.4972593
0.0008450,0.4973304
