Time (ps),Temperature
0.000000,250.628448
1.000000,250.551163
2.000000,253.117477
3.000000,249.318787
4.000000,248.724564
5.000000,251.567703
6.000000,254.618622
7.000000,255.445084
8.000000,256.650116
9.000000,261.314636
10.000000,256.864075
11.000000,260.658325
12.000000,266.092926
13.000000,264.237549
14.000000,265.638580
15.000000,263.659760
16.000000,265.478180
17.000000,265.683960
18.000000,265.172852
19.000000,268.564972
20.000000,268.532959
21.000000,264.620178
22.000000,267.151093
23.000000,271.739044
24.000000,274.438568
25.000000,276.459442
26.000000,274.675598
27.000000,272.812744
28.000000,277.336670
29.000000,275.794189
30.000000,279.081421
31.000000,278.437988
32.000000,279.395081
33.000000,281.695343
34.000000,281.200806
35.000000,281.664551
36.000000,283.951965
37.000000,285.770111
38.000000,284.605469
39.000000,288.836426
40.000000,283.801910
41.000000,286.895020
42.000000,287.117767
43.000000,289.893158
44.000000,292.102203
45.000000,290.079529
46.000000,294.187897
47.000000,293.543884
48.000000,300.472961
49.000000,297.481812
50.000000,302.299988
