E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
0,43.0946,0,43.0946
0.162714,43.2624,0.168214,43.0942
0.325428,43.3835,0.290711,43.0928
0.488143,43.1968,0.1064,43.0904
0.650857,43.9929,0.905668,43.0872
0.813571,43.6076,0.524605,43.083
0.976285,43.4038,0.325887,43.0779
1.139,43.9805,0.908623,43.0719
1.30171,44.8429,1.77794,43.0649
1.46443,44.2735,1.21644,43.057
1.62714,44.4691,1.42082,43.0482
1.78986,44.8407,1.80215,43.0385
1.95257,44.91,1.88216,43.0279
2.11528,45.0419,2.02558,43.0163
2.278,44.3157,1.31185,43.0038
2.44071,44.9389,1.94845,42.9904
2.60343,44.5973,1.62122,42.9761
2.76614,44.6455,1.68462,42.9609
2.92886,44.6946,1.74986,42.9447
3.09157,44.9001,1.97248,42.9277
3.25428,45.4136,2.50395,42.9097
3.417,44.9415,2.05065,42.8908
3.57971,45.0722,2.2011,42.8711
3.74243,45.1111,2.2607,42.8504
3.90514,44.9849,2.15609,42.8288
4.06785,45.9113,3.10491,42.8064
4.23057,45.163,2.38003,42.783
4.39328,45.6534,2.89463,42.7588
4.556,45.5227,2.78901,42.7336
4.71871,45.8253,3.11763,42.7076
4.88143,45.6212,2.94046,42.6807
5.04414,45.4447,2.79177,42.653
5.20685,46.4453,3.82099,42.6243
5.36957,46.0564,3.4616,42.5948
5.53228,46.4466,3.88215,42.5645
5.695,46.0907,3.55748,42.5332
5.85771,46.0608,3.5597,42.5011
6.02043,46.619,4.15082,42.4682
6.18314,45.9098,3.47541,42.4344
6.34585,45.7709,3.37109,42.3998
6.50857,46.2369,3.87256,42.3643
6.67128,46.6627,4.33472,42.328
6.834,47.3322,5.04142,42.2908
6.99671,46.7847,4.53182,42.2528
7.15942,46.9021,4.688,42.214
7.32214,47.2584,5.08399,42.1744
7.48485,47.2765,5.14249,42.134
7.64757,46.9175,4.82477,42.0928
7.81028,47.3936,5.34286,42.0507
7.973,47.232,5.22413,42.0079
8.13571,47.843,5.87872,41.9642
8.29842,47.8969,5.97712,41.9198
8.46114,47.6552,5.78062,41.8746
8.62385,47.3134,5.48472,41.8286
8.78657,47.5301,5.7482,41.7819
8.94928,47.5903,5.85597,41.7344
9.11199,47.7848,6.09871,41.6861
9.27471,48.7989,7.16183,41.637
9.43742,48.4122,6.82491,41.5872
9.60014,48.6859,7.14916,41.5367
9.76285,48.3557,6.87027,41.4854
9.92557,47.5428,6.10936,41.4334
10.0883,48.6931,7.31235,41.3807
10.251,49.0869,7.75964,41.3273
10.4137,48.4422,7.16911,41.2731
10.5764,48.1572,6.93897,41.2182
10.7391,49.6034,8.44071,41.1627
10.9019,48.8667,7.76034,41.1064
11.0646,48.5515,7.50201,41.0494
11.2273,49.5391,8.54724,40.9918
11.39,49.4807,8.54715,40.9335
11.5527,49.8143,8.93976,40.8745
11.7154,49.6139,8.79908,40.8149
11.8781,50.5099,9.75539,40.7546
12.0409,49.6653,8.97167,40.6936
12.2036,49.2602,8.62817,40.632
12.3663,49.8309,9.2611,40.5698
12.529,50.0982,9.5913,40.5069
12.6917,50.3153,9.87187,40.4434
12.8544,50.3169,9.93759,40.3793
13.0171,51.0913,10.7767,40.3146
13.1798,50.541,10.2917,40.2493
13.3426,50.1779,9.99458,40.1834
13.5053,51.276,11.1591,40.1169
13.668,50.9884,10.9387,40.0498
13.8307,50.808,10.8258,39.9821
13.9934,50.6796,10.7657,39.9139
14.1561,51.7996,11.9545,39.8451
14.3188,52.0548,12.2791,39.7758
14.4816,51.2932,11.5874,39.7059
14.6443,51.0641,11.4286,39.6354
14.807,51.7205,12.156,39.5645
14.9697,52.574,13.081,39.493
15.1324,52.7839,13.3629,39.421
15.2951,52.1613,12.8129,39.3484
15.4578,53.3997,14.1243,39.2754
15.6206,52.4697,13.2678,39.2019
15.7833,53.4128,14.2849,39.1279
15.946,52.7334,13.6801,39.0534
16.1087,53.3937,14.4153,38.9784
16.2714,53.4611,14.5582,38.9029
16.4341,53.5157,14.6886,38.827
16.5968,53.4479,14.6973,38.7507
16.7596,52.9029,14.229,38.6739
16.9223,54.6344,16.0378,38.5966
17.085,54.0382,15.5193,38.5189
17.2477,53.2592,14.8184,38.4408
17.4104,53.4997,15.1374,38.3623
17.5731,53.4735,15.1902,38.2833
17.7358,52.7825,14.5786,38.204
17.8986,53.839,15.7148,38.1242
18.0613,53.5144,15.4703,38.0441
18.224,54.8527,16.8891,37.9635
18.3867,55.5917,17.709,37.8826
18.5494,55.3898,17.5884,37.8014
18.7121,55.0743,17.3546,37.7197
18.8748,55.1358,17.4981,37.6377
19.0376,55.1416,17.5862,37.5554
19.2003,55.878,18.4053,37.4727
19.363,55.2214,17.8317,37.3897
19.5257,54.484,17.1777,37.3063
19.6884,55.0947,17.8721,37.2227
19.8511,55.9467,18.8081,37.1387
20.0138,56.7212,19.6668,37.0544
20.1766,56.0171,19.0474,36.9698
20.3393,56.5867,19.7018,36.8849
20.502,56.6988,19.8991,36.7997
20.6647,55.699,18.9848,36.7142
