Time (ns),Water after lsq fit to Water
0.0000000,0.0000000
0.0000050,0.0051934
0.0000100,0.0099039
0.0000150,0.0141226
0.0000200,0.0181538
0.0000250,0.0220700
0.0000300,0.0257102
0.0000350,0.0290030
0.0000400,0.0321021
0.0000450,0.0351390
0.0000500,0.0380920
0.0000550,0.0409116
0.0000600,0.0436524
0.0000650,0.0463624
0.0000700,0.0490027
0.0000750,0.0515250
0.0000800,0.0539689
0.0000850,0.0563712
0.0000900,0.0586958
0.0000950,0.0608996
0.0001000,0.5381457
0.0001050,0.5382881
0.0001100,0.5384432
0.0001150,0.5386068
0.0001200,0.5387768
0.0001250,0.5389539
0.0001300,0.5391368
0.0001350,0.5393208
0.0001400,0.5395008
0.0001450,0.5396758
0.0001500,0.5398444
0.0001550,0.5400035
0.0001600,0.5401572
0.0001650,0.5403131
0.0001700,0.5404794
0.0001750,0.5406636
0.0001800,0.5408725
0.0001850,0.5411065
0.0001900,0.5413565
0.0001950,0.5416131
0.0002000,0.4865178
0.0002050,0.4868092
0.0002100,0.4871036
0.0002150,0.4873957
0.0002200,0.4876857
0.0002250,0.4879729
0.0002300,0.4882524
0.0002350,0.4885231
0.0002400,0.4887896
0.0002450,0.4890551
0.0002500,0.4893177
0.0002550,0.4895745
0.0002600,0.4898309
0.0002650,0.4900905
0.0002700,0.4903487
0.0002750,0.4905987
0.0002800,0.4908398
0.0002850,0.4910750
0.0002900,0.4912989
0.0002950,0.4915016
0.0003000,0.6416656
0.0003050,0.6417381
0.0003100,0.6417909
0.0003150,0.6418247
0.0003200,0.6418508
0.0003250,0.6418857
0.0003300,0.6419377
0.0003350,0.6420070
0.0003400,0.6420906
0.0003450,0.6421902
0.0003500,0.6423086
0.0003550,0.6424438
0.0003600,0.6425927
0.0003650,0.6427557
0.0003700,0.6429324
0.0003750,0.6431211
0.0003800,0.6433228
0.0003850,0.6435417
0.0003900,0.6437764
0.0003950,0.6440230
0.0004000,0.7628930
0.0004050,0.7630121
0.0004100,0.7631422
0.0004150,0.7632812
0.0004200,0.7634285
0.0004250,0.7635817
0.0004300,0.7637388
0.0004350,0.7639009
0.0004400,0.7640664
0.0004450,0.7642362
0.0004500,0.7644128
0.0004550,0.7645996
0.0004600,0.7647986
0.0004650,0.7650090
0.0004700,0.7652287
0.0004750,0.7654530
0.0004800,0.7656759
0.0004850,0.7658946
0.0004900,0.7661091
0.0004950,0.7663214
0.0005000,0.8006217
0.0005050,0.8007154
0.0005100,0.8008109
0.0005150,0.8009077
0.0005200,0.8010039
0.0005250,0.8010955
0.0005300,0.8011768
0.0005350,0.8012449
0.0005400,0.8012953
0.0005450,0.8013258
