Time (ns),System after lsq fit to System
0.0217300,0.5009944
0.0218120,0.4947106
0.0218940,0.4951030
0.0219760,0.4947448
0.0220580,0.4861973
0.0221400,0.4678550
0.0222220,0.4862778
0.0223040,0.4961215
0.0223860,0.4965450
0.0224680,0.4902774
0.0225500,0.4805378
0.0226320,0.4676307
0.0227140,0.5020096
0.0227960,0.5022097
0.0228780,0.5055102
0.0229600,0.4814728
0.0230420,0.4932918
0.0231240,0.5012739
0.0232060,0.5215644
0.0232880,0.5219075
0.0233700,0.5135544
0.0234520,0.4804629
0.0235340,0.4897458
0.0236160,0.4832710
0.0236980,0.4835765
0.0237800,0.5017304
0.0238620,0.4803771
0.0239440,0.4678755
0.0240260,0.4926488
0.0241080,0.4808510
0.0241900,0.4811835
0.0242720,0.5081688
0.0243540,0.5058129
0.0244360,0.4899896
0.0245180,0.4811652
0.0246000,0.4831188
0.0246820,0.4834816
0.0247640,0.4772730
0.0248460,0.5072909
0.0249280,0.5164337
0.0250100,0.4863543
0.0250920,0.4867968
0.0251740,0.5075137
0.0252560,0.5079478
0.0253380,0.4904024
0.0254200,0.4647585
0.0255020,0.4902468
0.0255840,0.4908845
0.0256660,0.4656699
0.0257480,0.4867164
0.0258300,0.4990307
0.0259120,0.4775134
0.0259940,0.4777696
0.0260760,0.4955374
0.0261580,0.5107778
0.0262400,0.4839357
0.0263220,0.5141722
0.0264040,0.5014767
0.0264860,0.5018701
0.0265680,0.5109415
0.0266500,0.4907935
0.0267320,0.4750782
0.0268140,0.4838721
0.0268960,0.4843231
0.0269780,0.5428018
0.0270600,0.5260406
0.0271420,0.4907870
0.0272240,0.4996782
0.0273060,0.4745700
0.0273880,0.4747802
0.0274700,0.4873762
0.0275520,0.5170207
0.0276340,0.4813837
0.0277160,0.4873657
0.0277980,0.4880654
0.0278800,0.4999296
0.0279620,0.4935727
0.0280440,0.4876358
0.0281260,0.4528999
0.0282080,0.4422973
0.0282900,0.4427438
0.0283720,0.4655620
0.0284540,0.4685281
0.0285360,0.4691155
0.0286180,0.4626002
0.0287000,0.4871519
0.0287820,0.4877176
0.0288640,0.4877953
0.0289460,0.4746435
0.0290280,0.4718840
0.0291100,0.4490998
0.0291920,0.4492840
0.0292740,0.4660697
0.0293560,0.4880921
0.0294380,0.4875285
0.0295200,0.5055236
0.0296020,0.5019973
0.0296840,0.5025482
0.0297660,0.4995815
0.0298480,0.4934386
0.0299300,0.4989917
0.0300120,0.4811264
0.0300940,0.4815371
0.0301760,0.4842963
0.0302580,0.4848186
0.0303400,0.4753903
0.0304220,0.4781405
0.0305040,0.5310816
0.0305860,0.5316220
0.0306680,0.5066260
0.0307500,0.5058612
0.0308320,0.4957740
0.0309140,0.4995666
0.0309960,0.5000315
0.0310780,0.4886597
0.0311600,0.5002082
0.0312420,0.5025064
0.0313240,0.5091628
0.0314060,0.5145954
0.0314880,0.5150093
0.0315700,0.5062679
0.0316520,0.5288234
0.0317340,0.5053400
0.0318160,0.5253591
0.0318980,0.5257410
0.0319800,0.5069957
0.0320620,0.4884851
0.0321440,0.4947501
0.0322260,0.4976921
0.0323080,0.4978609
0.0323900,0.4985034
0.0324720,0.5006787
0.0325540,0.4978369
0.0326360,0.5099905
0.0327180,0.4704239
0.0328000,0.4789871
0.0328820,0.4791997
0.0329640,0.4946142
0.0330460,0.5096664
0.0331280,0.5049091
0.0332100,0.4805906
0.0332920,0.4808791
0.0333740,0.5079176
0.0334560,0.5227854
0.0335380,0.5128995
0.0336200,0.5163325
0.0337020,0.4869023
0.0337840,0.4874473
0.0338660,0.4933557
0.0339480,0.5026747
0.0340300,0.4874792
0.0341120,0.5172823
0.0341940,0.5178557
0.0342760,0.5090532
0.0343580,0.5146874
0.0344400,0.5254706
0.0345220,0.5199117
0.0346040,0.4835190
0.0346860,0.4836258
0.0347680,0.5014687
0.0348500,0.5307644
0.0349320,0.4870857
0.0350140,0.5009466
0.0350960,0.5010714
0.0351780,0.5040974
0.0352600,0.5030955
0.0353420,0.5071711
0.0354240,0.5065888
0.0355060,0.5211268
0.0355880,0.5216029
0.0356700,0.5137613
0.0357520,0.4842047
0.0358340,0.5163224
0.0359160,0.5011856
0.0359980,0.5014932
0.0360800,0.5306997
0.0361620,0.5394308
0.0362440,0.4816579
0.0363260,0.4842446
0.0364080,0.5107619
0.0364900,0.5114254
0.0365720,0.4969627
0.0366540,0.4815430
0.0367360,0.4748490
0.0368180,0.4926032
0.0369000,0.4840363
0.0369820,0.4845980
0.0370640,0.4880175
0.0371460,0.5046665
0.0372280,0.5109817
0.0373100,0.5366563
0.0373920,0.5371349
0.0374740,0.5086857
0.0375560,0.4997210
0.0376380,0.4870297
0.0377200,0.4839758
0.0378020,0.4714806
0.0378840,0.4717061
0.0379660,0.4937476
0.0380480,0.5020187
0.0381300,0.5309844
0.0382120,0.5026779
0.0382940,0.5030004
0.0383760,0.4901344
0.0384580,0.4752053
0.0385400,0.4823480
0.0386220,0.5115555
0.0387040,0.4906137
0.0387860,0.4909289
0.0388680,0.4990849
0.0389500,0.5187604
0.0390320,0.5009906
0.0391140,0.5213467
0.0391960,0.5217449
0.0392780,0.4978155
0.0393600,0.5039418
0.0394420,0.4892204
0.0395240,0.5186883
0.0396060,0.5357402
0.0396880,0.5364954
0.0397700,0.5118878
0.0398520,0.5112369
0.0399340,0.5097690
0.0400160,0.5081055
0.0400980,0.5083747
0.0401800,0.4930397
0.0402620,0.4960562
0.0403440,0.4906775
0.0404260,0.4961358
0.0405080,0.5243136
0.0405900,0.5248628
0.0406720,0.5338355
0.0407540,0.5335987
0.0408360,0.5221689
0.0409180,0.5044521
0.0410000,0.5244718
0.0410820,0.5247958
0.0411640,0.5129486
0.0412460,0.5416048
0.0413280,0.4948263
0.0414100,0.5519790
0.0414920,0.5526123
0.0415740,0.5468669
0.0416560,0.5306504
0.0417380,0.5278291
0.0418200,0.5116942
0.0419020,0.5199876
0.0419840,0.5204144
0.0420660,0.5026098
0.0421480,0.4781502
0.0422300,0.4811059
0.0423120,0.4774001
0.0423940,0.4773765
0.0424760,0.5194005
0.0425580,0.5112091
0.0426400,0.5309631
0.0427220,0.5561019
0.0428040,0.5450783
0.0428860,0.5454035
0.0429680,0.5148549
0.0430500,0.5286140
0.0431320,0.5071132
0.0432140,0.5188556
0.0432960,0.5194566
0.0433780,0.5247784
0.0434600,0.5330564
0.0435420,0.5351011
0.0436240,0.5181417
0.0437060,0.5327348
0.0437880,0.5329434
0.0438700,0.5303803
0.0439520,0.5209650
0.0440340,0.5014792
0.0441160,0.5011378
0.0441980,0.5012503
0.0442800,0.5065763
0.0443620,0.5210893
0.0444440,0.5126001
0.0445260,0.5120115
0.0446080,0.5416848
0.0446900,0.5422287
0.0447720,0.5226461
0.0448540,0.5175050
0.0449360,0.4904361
0.0450180,0.5147231
0.0451000,0.4903091
0.0451820,0.4905072
0.0452640,0.5063548
0.0453460,0.5001827
0.0454280,0.5314071
0.0455100,0.5160093
0.0455920,0.5162510
0.0456740,0.5480552
0.0457560,0.5251181
0.0458380,0.5144373
0.0459200,0.5078949
0.0460020,0.5105867
0.0460840,0.5108924
0.0461660,0.5227471
0.0462480,0.5259215
0.0463300,0.5170074
0.0464120,0.4864435
0.0464940,0.4866694
0.0465760,0.5138626
0.0466580,0.5131768
0.0467400,0.5066449
0.0468220,0.4988113
0.0469040,0.5021765
0.0469860,0.5028311
0.0470680,0.4682781
0.0471500,0.4856580
0.0472320,0.5273935
0.0473140,0.5044703
0.0473960,0.5050374
0.0474780,0.4863192
0.0475600,0.5215359
0.0476420,0.5299052
0.0477240,0.5385898
0.0478060,0.4954510
0.0478880,0.4954759
0.0479700,0.5355599
0.0480520,0.5433619
0.0481340,0.5371427
0.0482160,0.5207333
0.0482980,0.5214916
0.0483800,0.5272335
0.0484620,0.5184061
0.0485440,0.5070364
0.0486260,0.5212457
0.0487080,0.4956876
0.0487900,0.4961323
0.0488720,0.5136915
0.0489540,0.4802647
0.0490360,0.5016411
0.0491180,0.5246454
0.0492000,0.5104124
0.0492820,0.5109032
0.0493640,0.4897102
0.0494460,0.5136177
0.0495280,0.5020952
0.0496100,0.5019295
0.0496920,0.5021257
0.0497740,0.5259434
0.0498560,0.5278994
0.0499380,0.5320754
0.0500200,0.5141943
0.0501020,0.5149956
0.0501840,0.5152139
0.0502660,0.4968730
0.0503480,0.4997645
0.0504300,0.4964572
0.0505120,0.4996221
0.0505940,0.4999521
0.0506760,0.4896051
0.0507580,0.5249236
0.0508400,0.5391112
0.0509220,0.5418191
0.0510040,0.5275301
0.0510860,0.5277367
0.0511680,0.5173923
0.0512500,0.5196210
0.0513320,0.5127574
0.0514140,0.5300574
0.0514960,0.5303853
0.0515780,0.5220638
0.0516600,0.5403459
0.0517420,0.5320406
0.0518240,0.5292811
0.0519060,0.5263467
0.0519880,0.5268496
0.0520700,0.5036530
0.0521520,0.4888172
0.0522340,0.5073616
0.0523160,0.5061799
0.0523980,0.5063998
0.0524800,0.5156275
0.0525620,0.4866841
0.0526440,0.4851806
0.0527260,0.5119438
0.0528080,0.5145656
0.0528900,0.5148318
0.0529720,0.5177388
0.0530540,0.5507392
0.0531360,0.5318821
0.0532180,0.5458018
0.0533000,0.5142701
0.0533820,0.5147374
0.0534640,0.5035260
0.0535460,0.4973018
0.0536280,0.5030350
0.0537100,0.5260494
0.0537920,0.5265029
0.0538740,0.5295126
0.0539560,0.5358405
0.0540380,0.4915697
0.0541200,0.4984026
0.0542020,0.5158788
0.0542840,0.5161309
0.0543660,0.5340186
0.0544480,0.5015354
0.0545300,0.5160225
0.0546120,0.5105315
0.0546940,0.5110255
0.0547760,0.5279486
0.0548580,0.5510578
0.0549400,0.4902244
0.0550220,0.5020445
0.0551040,0.4805486
0.0551860,0.4809053
0.0552680,0.4811617
0.0553500,0.4900090
0.0554320,0.5227238
0.0555140,0.5218477
0.0555960,0.5221864
0.0556780,0.5101079
0.0557600,0.5222853
0.0558420,0.5113508
0.0559240,0.5258278
0.0560060,0.5363428
0.0560880,0.5367004
0.0561700,0.5227391
0.0562520,0.5312082
0.0563340,0.5251661
0.0564160,0.5309570
0.0564980,0.5313478
0.0565800,0.5110231
0.0566620,0.5163084
0.0567440,0.5285535
0.0568260,0.5225556
0.0569080,0.5027501
0.0569900,0.5033172
0.0570720,0.5229981
0.0571540,0.5503588
0.0572360,0.5525393
0.0573180,0.5303828
0.0574000,0.5528767
0.0574820,0.5530436
0.0575640,0.5370729
0.0576460,0.5446710
0.0577280,0.5477879
0.0578100,0.5530765
0.0578920,0.5538714
0.0579740,0.5094671
0.0580560,0.4852070
0.0581380,0.5023846
0.0582200,0.5340160
0.0583020,0.5308417
0.0583840,0.5313927
0.0584660,0.5349216
0.0585480,0.5426768
0.0586300,0.5231389
0.0587120,0.5510531
0.0587940,0.5513012
0.0588760,0.5423447
0.0589580,0.5349592
0.0590400,0.5392927
0.0591220,0.5235225
0.0592040,0.5544107
0.0592860,0.5552447
0.0593680,0.5460970
0.0594500,0.5151419
0.0595320,0.5186945
0.0596140,0.5437009
0.0596960,0.5442320
0.0597780,0.5304242
0.0598600,0.5218997
0.0599420,0.5328375
0.0600240,0.5125159
0.0601060,0.5121383
0.0601880,0.5125260
0.0602700,0.5155660
0.0603520,0.5261757
0.0604340,0.5148649
0.0605160,0.5060243
0.0605980,0.5065030
0.0606800,0.5414208
0.0607620,0.5383226
0.0608440,0.5353584
0.0609260,0.5624253
0.0610080,0.5464402
0.0610900,0.5469643
0.0611720,0.5279573
0.0612540,0.5444442
0.0613360,0.5332594
0.0614180,0.5582332
0.0615000,0.5528395
0.0615820,0.5532682
0.0616640,0.5557297
0.0617460,0.5501627
0.0618280,0.5496006
0.0619100,0.5278774
0.0619920,0.5284959
0.0620740,0.5166632
0.0621560,0.5201479
0.0622380,0.5309980
0.0623200,0.5500005
0.0624020,0.4923436
0.0624840,0.4923032
0.0625660,0.5242974
0.0626480,0.5440592
0.0627300,0.5652307
0.0628120,0.5296261
0.0628940,0.5299044
0.0629760,0.5441114
0.0630580,0.5474599
0.0631400,0.5359073
0.0632220,0.5627855
0.0633040,0.5464127
0.0633860,0.5466741
0.0634680,0.5574266
0.0635500,0.5418771
0.0636320,0.5473585
0.0637140,0.5337917
0.0637960,0.5340153
0.0638780,0.5510731
0.0639600,0.5260874
0.0640420,0.5342564
0.0641240,0.5398067
0.0642060,0.5286286
0.0642880,0.5291311
0.0643700,0.5475524
0.0644520,0.5369852
0.0645340,0.5251732
0.0646160,0.5440938
0.0646980,0.5443803
0.0647800,0.5191968
0.0648620,0.5495855
0.0649440,0.5410664
0.0650260,0.5458995
0.0651080,0.5466054
0.0651900,0.5473355
0.0652720,0.5655895
0.0653540,0.5469199
0.0654360,0.5360330
0.0655180,0.5497712
0.0656000,0.5440007
0.0656820,0.5442520
0.0657640,0.5470735
0.0658460,0.5107194
0.0659280,0.5556577
0.0660100,0.5682012
0.0660920,0.5689341
0.0661740,0.5499499
0.0662560,0.5615709
0.0663380,0.5313142
0.0664200,0.5280185
0.0665020,0.5270589
0.0665840,0.5274292
0.0666660,0.5555504
0.0667480,0.5604941
0.0668300,0.5408748
0.0669120,0.5573131
0.0669940,0.5574576
0.0670760,0.5658692
0.0671580,0.5499092
0.0672400,0.5391723
0.0673220,0.5634219
0.0674040,0.5254742
0.0674860,0.5257376
0.0675680,0.5368059
0.0676500,0.4952890
0.0677320,0.5520646
0.0678140,0.5297993
0.0678960,0.5299461
0.0679780,0.5207395
0.0680600,0.5458864
0.0681420,0.5539545
0.0682240,0.5565253
0.0683060,0.5676137
0.0683880,0.5682016
0.0684700,0.5438540
0.0685520,0.5376973
0.0686340,0.5676872
0.0687160,0.5547481
0.0687980,0.5553419
0.0688800,0.5385275
0.0689620,0.5413960
0.0690440,0.5445753
0.0691260,0.4998011
0.0692080,0.5423611
0.0692900,0.5427719
0.0693720,0.5456173
0.0694540,0.5340630
0.0695360,0.5451235
0.0696180,0.5425648
0.0697000,0.5476368
0.0697820,0.5479670
0.0698640,0.5342503
0.0699460,0.5514873
0.0700280,0.5613433
0.0701100,0.5585573
0.0701920,0.5586488
0.0702740,0.5425849
0.0703560,0.5399002
0.0704380,0.5525030
0.0705200,0.5358968
0.0706020,0.5524186
0.0706840,0.5532130
0.0707660,0.5530569
0.0708480,0.5478615
0.0709300,0.5616924
0.0710120,0.5565464
0.0710940,0.5570197
0.0711760,0.5567796
0.0712580,0.5806197
0.0713400,0.5489489
0.0714220,0.5506859
0.0715040,0.5328134
0.0715860,0.5330692
0.0716680,0.5604159
0.0717500,0.5655492
0.0718320,0.5469775
0.0719140,0.5389148
0.0719960,0.5391552
0.0720780,0.5390074
0.0721600,0.5497884
0.0722420,0.5275261
0.0723240,0.5463035
0.0724060,0.5569593
0.0724880,0.5572488
0.0725700,0.5663208
0.0726520,0.5735122
0.0727340,0.5506802
0.0728160,0.5387873
0.0728980,0.5395541
0.0729800,0.5556444
0.0730620,0.5661476
0.0731440,0.5528587
0.0732260,0.5500881
0.0733080,0.5336675
0.0733900,0.5335979
0.0734720,0.5328456
0.0735540,0.5574045
0.0736360,0.5477728
0.0737180,0.5743902
0.0738000,0.5402087
0.0738820,0.5403263
0.0739640,0.5567695
0.0740460,0.5411384
0.0741280,0.5486462
0.0742100,0.5372058
0.0742920,0.5375457
0.0743740,0.5566270
0.0744560,0.5628485
0.0745380,0.5831198
0.0746200,0.5726452
0.0747020,0.5702719
0.0747840,0.5705541
0.0748660,0.5440437
0.0749480,0.5634961
0.0750300,0.5210526
0.0751120,0.5510197
0.0751940,0.5513533
0.0752760,0.5451232
0.0753580,0.5369588
0.0754400,0.5368845
0.0755220,0.5504774
0.0756040,0.5502057
0.0756860,0.5503113
0.0757680,0.5556893
0.0758500,0.5588104
0.0759320,0.5572164
0.0760140,0.5562833
0.0760960,0.5566860
0.0761780,0.5646311
0.0762600,0.5563878
0.0763420,0.5793433
0.0764240,0.5610295
0.0765060,0.5816451
0.0765880,0.5820211
0.0766700,0.5741909
0.0767520,0.5744715
0.0768340,0.5872371
0.0769160,0.5657995
0.0769980,0.5664344
0.0770800,0.5455348
0.0771620,0.5620592
0.0772440,0.5292167
0.0773260,0.5512107
0.0774080,0.5555721
0.0774900,0.5557192
0.0775720,0.5608858
0.0776540,0.5552931
0.0777360,0.5718145
0.0778180,0.5692546
0.0779000,0.5690121
0.0779820,0.5694021
0.0780640,0.5535670
0.0781460,0.5798258
0.0782280,0.5743287
0.0783100,0.5718409
0.0783920,0.5721017
0.0784740,0.5739949
0.0785560,0.5738563
0.0786380,0.5843755
0.0787200,0.5716305
0.0788020,0.5509092
0.0788840,0.5517379
0.0789660,0.5440473
0.0790480,0.5218819
0.0791300,0.5274177
0.0792120,0.5469351
0.0792940,0.5473751
0.0793760,0.5394100
0.0794580,0.5534031
0.0795400,0.5475720
0.0796220,0.5625361
0.0797040,0.5614877
0.0797860,0.5619746
0.0798680,0.5546323
0.0799500,0.5751158
0.0800320,0.5927429
0.0801140,0.5749830
0.0801960,0.5754259
0.0802780,0.5514543
0.0803600,0.5484442
0.0804420,0.5563130
0.0805240,0.5342396
0.0806060,0.5697684
0.0806880,0.5698961
0.0807700,0.5642099
0.0808520,0.5419978
0.0809340,0.5607499
0.0810160,0.5560984
0.0810980,0.5564516
0.0811800,0.5643390
0.0812620,0.5502735
0.0813440,0.5503804
0.0814260,0.5476750
0.0815080,0.5669168
0.0815900,0.5673377
0.0816720,0.5572500
0.0817540,0.5388224
0.0818360,0.5505867
0.0819180,0.5822020
0.0820000,0.5788935
0.0820820,0.5791890
0.0821640,0.5654859
0.0822460,0.5552659
0.0823280,0.5762698
0.0824100,0.5653355
0.0824920,0.5659687
0.0825740,0.5666957
0.0826560,0.5657596
0.0827380,0.5681429
0.0828200,0.5630044
0.0829020,0.5607275
0.0829840,0.5611771
0.0830660,0.5617794
0.0831480,0.5608953
0.0832300,0.5555262
0.0833120,0.5553807
0.0833940,0.5554458
0.0834760,0.5664896
0.0835580,0.5468058
0.0836400,0.5643843
0.0837220,0.5499832
0.0838040,0.5637499
0.0838860,0.5639621
0.0839680,0.5508542
0.0840500,0.5669314
0.0841320,0.5620708
0.0842140,0.5683905
0.0842960,0.5686301
0.0843780,0.5644342
0.0844600,0.5599074
0.0845420,0.5486146
0.0846240,0.5257691
0.0847060,0.5400235
0.0847880,0.5404364
0.0848700,0.5564829
0.0849520,0.5302602
0.0850340,0.5299684
0.0851160,0.5622991
0.0851980,0.5627642
0.0852800,0.5581233
0.0853620,0.5551664
0.0854440,0.5573638
0.0855260,0.5757178
0.0856080,0.5498076
0.0856900,0.5501130
0.0857720,0.5528607
0.0858540,0.5526705
0.0859360,0.5771302
0.0860180,0.5684276
0.0861000,0.5737230
0.0861820,0.5741312
0.0862640,0.5552623
0.0863460,0.5707928
0.0864280,0.5632414
0.0865100,0.5392665
0.0865920,0.5398018
0.0866740,0.5740161
0.0867560,0.5463406
0.0868380,0.5435676
0.0869200,0.5391331
0.0870020,0.5655347
0.0870840,0.5658818
0.0871660,0.5621893
0.0872480,0.5654193
0.0873300,0.5544153
0.0874120,0.5544178
0.0874940,0.5548772
0.0875760,0.5572826
0.0876580,0.5480593
0.0877400,0.5748396
0.0878220,0.5756142
0.0879040,0.5727210
0.0879860,0.5733116
0.0880680,0.5469393
0.0881500,0.5493899
0.0882320,0.5331280
0.0883140,0.5469964
0.0883960,0.5473477
0.0884780,0.5516331
0.0885600,0.5748589
0.0886420,0.5483004
0.0887240,0.5546396
0.0888060,0.5602999
0.0888880,0.5607798
0.0889700,0.5471025
0.0890520,0.5381863
0.0891340,0.5591690
0.0892160,0.5621845
0.0892980,0.5625139
0.0893800,0.5649424
0.0894620,0.5570977
0.0895440,0.5583006
0.0896260,0.5835547
0.0897080,0.5750024
0.0897900,0.5755527
0.0898720,0.5583028
0.0899540,0.5819011
0.0900360,0.5785713
0.0901180,0.5685682
0.0902000,0.5605495
0.0902820,0.5610367
0.0903640,0.5532003
0.0904460,0.5648151
0.0905280,0.5488945
0.0906100,0.5757595
0.0906920,0.5761368
0.0907740,0.5525502
0.0908560,0.5755672
0.0909380,0.5470328
0.0910200,0.5662250
0.0911020,0.5539618
0.0911840,0.5545011
0.0912660,0.5590649
0.0913480,0.5615385
0.0914300,0.5375348
0.0915120,0.5592526
0.0915940,0.5596688
0.0916760,0.5492934
0.0917580,0.5518701
0.0918400,0.5320353
0.0919220,0.5314455
0.0920040,0.5225288
0.0920860,0.5227678
0.0921680,0.5450226
0.0922500,0.5739982
0.0923320,0.5730796
0.0924140,0.5735305
0.0924960,0.5739649
0.0925780,0.5821740
0.0926600,0.5779755
0.0927420,0.5680782
0.0928240,0.5746367
0.0929060,0.5973256
0.0929880,0.5977057
0.0930700,0.5563108
0.0931520,0.5782373
0.0932340,0.5779955
0.0933160,0.5564792
0.0933980,0.5566216
0.0934800,0.5485838
0.0935620,0.5322058
0.0936440,0.5623236
0.0937260,0.5540802
0.0938080,0.5719585
0.0938900,0.5722508
0.0939720,0.5705722
0.0940540,0.5364164
0.0941360,0.5252699
0.0942180,0.5304490
0.0943000,0.5444369
0.0943820,0.5446636
0.0944640,0.5468957
0.0945460,0.5814514
0.0946280,0.5656244
0.0947100,0.5861220
0.0947920,0.5865174
0.0948740,0.5737399
0.0949560,0.5807042
0.0950380,0.5710541
0.0951200,0.5556868
0.0952020,0.5574199
0.0952840,0.5577255
