E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
179.962,342.604,329.41,13.1949
180.125,345.173,332.001,13.172
180.287,345.241,332.092,13.1492
180.45,346.274,333.148,13.1265
180.613,344.203,331.099,13.1038
180.775,343.185,330.104,13.0812
180.938,343.873,330.814,13.0587
181.101,342.797,329.761,13.0362
181.264,347.329,334.315,13.0137
181.426,345.672,332.68,12.9913
181.589,345.283,332.314,12.969
181.752,343.733,330.786,12.9468
181.914,343.594,330.669,12.9245
182.077,344.33,331.427,12.9024
182.24,344.419,331.538,12.8803
182.403,344.705,331.847,12.8582
182.565,344.449,331.613,12.8363
182.728,343.145,330.331,12.8143
182.891,343.983,331.191,12.7924
183.053,342.124,329.354,12.7706
183.216,347.033,334.284,12.7489
183.379,340.222,327.495,12.7271
183.542,343.537,330.831,12.7055
183.704,345.288,332.605,12.6839
183.867,342.418,329.756,12.6623
184.03,344.873,332.232,12.6408
184.192,342.189,329.57,12.6194
184.355,340.159,327.561,12.598
184.518,341.344,328.768,12.5767
184.681,338.228,325.673,12.5554
184.843,341.873,329.339,12.5342
185.006,340.246,327.733,12.513
185.169,342.388,329.896,12.4919
185.331,347.762,335.291,12.4708
185.494,344.06,331.61,12.4498
185.657,341.634,329.205,12.4288
185.82,344.569,332.161,12.4079
185.982,340.282,327.895,12.3871
186.145,339.846,327.48,12.3663
186.308,343.097,330.751,12.3455
186.47,340.863,328.539,12.3248
186.633,342.54,330.236,12.3041
186.796,342.008,329.725,12.2835
186.959,340.908,328.645,12.263
187.121,344.378,332.135,12.2425
187.284,340.697,328.475,12.222
187.447,340.325,328.123,12.2016
187.609,339.557,327.376,12.1813
187.772,342.123,329.962,12.161
187.935,340.205,328.064,12.1408
188.098,343.32,331.2,12.1206
188.26,339.543,327.442,12.1004
188.423,342.04,329.959,12.0803
188.586,341.561,329.501,12.0603
188.748,342.398,330.358,12.0403
188.911,341.478,329.458,12.0203
189.074,338.269,326.268,12.0004
189.237,347.057,335.076,11.9806
189.399,342.156,330.196,11.9608
189.562,341.215,329.274,11.941
189.725,341.851,329.929,11.9213
189.887,341.751,329.849,11.9016
190.05,341.857,329.975,11.882
190.213,342.54,330.677,11.8625
190.376,340.242,328.399,11.8429
190.538,341.316,329.492,11.8235
190.701,339.997,328.193,11.804
190.864,341.975,330.191,11.7847
191.026,342.323,330.557,11.7653
191.189,338.182,326.436,11.7461
191.352,339.357,327.63,11.7268
191.515,341.05,329.343,11.7076
191.677,344.751,333.063,11.6885
191.84,339.544,327.875,11.6694
192.003,342.202,330.551,11.6504
192.165,339.237,327.606,11.6314
192.328,339.595,327.983,11.6124
192.491,339.469,327.875,11.5935
192.654,339.578,328.003,11.5746
192.816,337.011,325.455,11.5558
192.979,342.001,330.464,11.537
193.142,341.464,329.946,11.5183
193.304,341.629,330.13,11.4996
193.467,339.178,327.697,11.481
193.63,341.155,329.693,11.4624
193.793,339.395,327.951,11.4438
193.955,338.839,327.414,11.4253
194.118,339.821,328.415,11.4069
194.281,335.093,323.705,11.3885
194.443,340.653,329.283,11.3701
194.606,344.449,333.097,11.3518
194.769,341.996,330.663,11.3335
194.932,341.349,330.034,11.3152
195.094,341.459,330.162,11.297
195.257,339.728,328.449,11.2789
195.42,340.051,328.79,11.2608
195.582,341.687,330.444,11.2427
195.745,342.792,331.567,11.2247
195.908,342.097,330.891,11.2067
196.071,338.928,327.74,11.1887
196.233,339.232,328.061,11.1708
196.396,340.132,328.979,11.153
196.559,341.001,329.866,11.1352
196.721,340.805,329.687,11.1174
196.884,337.487,326.388,11.0997
197.047,337.426,326.344,11.082
197.21,341.351,330.287,11.0643
197.372,342.645,331.599,11.0467
197.535,341.673,330.644,11.0292
197.698,340.925,329.913,11.0117
197.86,337.103,326.108,10.9942
198.023,339.146,328.169,10.9767
198.186,342.319,331.36,10.9593
198.349,338.262,327.32,10.942
198.511,338.345,327.421,10.9247
198.674,337.389,326.482,10.9074
198.837,339.08,328.19,10.8902
198.999,340.515,329.642,10.873
199.162,338.612,327.756,10.8558
199.325,337.357,326.518,10.8387
199.488,339.21,328.388,10.8216
199.65,337.811,327.007,10.8046
199.813,337.145,326.357,10.7876
199.976,340.235,329.464,10.7706
200.138,341.199,330.445,10.7537
200.301,341.038,330.302,10.7368
200.464,339.621,328.901,10.72
200.627,338.897,328.194,10.7032
200.789,345.852,335.165,10.6864
200.952,340.929,330.259,10.6697
201.115,338.436,327.783,10.653
201.277,341.364,330.728,10.6364
201.44,341.781,331.161,10.6198
201.603,343.088,332.484,10.6032
201.766,342.895,332.308,10.5867
201.928,340.921,330.351,10.5702
202.091,338.229,327.675,10.5538
202.254,339.942,329.404,10.5374
202.416,341.395,330.874,10.521
202.579,344.626,334.122,10.5046
202.742,341.068,330.58,10.4883
202.905,335.097,324.624,10.4721
203.067,341.964,331.508,10.4558
203.23,337.388,326.948,10.4397
