Time (ps),Temperature
0.000000,250.350586
2.000000,251.083710
4.000000,248.968185
6.000000,250.672562
8.000000,249.069580
10.000000,252.225143
12.000000,247.529587
14.000000,251.263779
16.000000,248.585785
18.000000,248.131989
20.000000,247.077286
22.000000,249.533554
24.000000,252.472946
26.000000,251.208755
28.000000,251.388092
30.000000,251.279205
32.000000,251.191071
34.000000,251.376419
36.000000,253.262573
38.000000,250.996826
40.000000,248.880951
42.000000,251.394028
44.000000,251.333832
46.000000,249.894089
48.000000,249.793701
50.000000,250.105515
