LAMMPS data file via write_data, version 2 Apr 2025, timestep = 0, units = real

8366 atoms
3 atom types

0 60.72 xlo xhi
0 61.39 ylo yhi
0 60.55 zlo zhi

Masses

1 15.999
2 1.008
3 28.085

Atoms # full

10 1 3 1.6 3.161 0.365 1.133 0 0 0
1830 8484 1 -0.8 51.23 33.982 6.817 0 0 0
12 3 3 1.6 3.161 0.365 4.233 0 0 0
14 4 3 1.6 3.161 3.288 5.267 0 0 0
1383 5 3 1.6 3.161 3.288 8.367 0 0 0
1379 6 3 1.6 0.63 1.826 9.4 0 0 0
2243 7 3 1.6 3.161 0.365 13.533 0 0 0
2234 8 3 1.6 0.63 1.826 12.5 0 0 0
2245 9 3 1.6 3.161 0.365 16.633 0 0 0
2247 10 3 1.6 3.161 3.288 17.667 0 0 0
3234 11 3 1.6 3.161 3.288 20.767 0 0 0
3230 12 3 1.6 0.63 1.826 21.8 0 0 0
3736 13 3 1.6 3.161 0.365 25.933 0 0 0
3727 14 3 1.6 0.63 1.826 24.9 0 0 0
3738 15 3 1.6 3.161 0.365 29.033 0 0 0
4341 16 3 1.6 3.161 3.288 30.067 0 0 0
4343 17 3 1.6 3.161 3.288 33.167 0 0 0
4338 18 3 1.6 0.63 1.826 34.2 0 0 0
4836 19 3 1.6 3.161 0.365 38.333 0 0 0
4829 20 3 1.6 0.63 1.826 37.3 0 0 0
4838 21 3 1.6 3.161 0.365 41.433 0 0 0
5330 22 3 1.6 3.161 3.288 42.467 0 0 0
5332 23 3 1.6 3.161 3.288 45.567 0 0 0
5325 24 3 1.6 0.63 1.826 46.6 0 0 0
6177 25 3 1.6 3.161 0.365 50.733 0 0 0
6170 26 3 1.6 0.63 1.826 49.7 0 0 0
6179 27 3 1.6 3.161 0.365 53.833 0 0 0
7144 28 3 1.6 3.161 3.288 54.867 0 0 0
7146 29 3 1.6 3.161 3.288 57.967 0 0 0
7139 30 3 1.6 0.63 1.826 59 0 0 0
744 8483 1 -0.8 49.967 34.712 4.75 0 0 0
3 32 3 1.6 0.63 4.749 1.133 0 0 0
5 33 3 1.6 0.63 4.749 4.233 0 0 0
217 34 3 1.6 0.63 7.672 5.267 0 0 0
1385 35 3 1.6 3.161 6.21 9.4 0 0 0
1499 36 3 1.6 0.63 7.672 8.367 0 0 0
2248 37 3 1.6 3.161 6.21 12.5 0 0 0
2236 38 3 1.6 0.63 4.749 13.533 0 0 0
2238 39 3 1.6 0.63 4.749 16.633 0 0 0
2450 40 3 1.6 0.63 7.672 17.667 0 0 0
3236 41 3 1.6 3.161 6.21 21.8 0 0 0
3350 42 3 1.6 0.63 7.672 20.767 0 0 0
3740 43 3 1.6 3.161 6.21 24.9 0 0 0
3729 44 3 1.6 0.63 4.749 25.933 0 0 0
3731 45 3 1.6 0.63 4.749 29.033 0 0 0
4469 46 3 1.6 0.63 7.672 30.067 0 0 0
4345 47 3 1.6 3.161 6.21 34.2 0 0 0
4471 48 3 1.6 0.63 7.672 33.167 0 0 0
4839 49 3 1.6 3.161 6.21 37.3 0 0 0
4831 50 3 1.6 0.63 4.749 38.333 0 0 0
4833 51 3 1.6 0.63 4.749 41.433 0 0 0
5480 52 3 1.6 0.63 7.672 42.467 0 0 0
