E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
189.562,49.6822,47.4654,2.21679
189.725,50.2253,48.0121,2.21319
189.887,51.4881,49.2785,2.20961
190.05,50.0927,47.8867,2.20603
190.213,49.1642,46.9617,2.20246
190.376,50.4922,48.2933,2.19891
190.538,49.7792,47.5838,2.19535
190.701,50.151,47.9592,2.19181
190.864,51.1489,48.9606,2.18828
191.026,49.3452,47.1604,2.18475
191.189,50.1068,47.9255,2.18123
191.352,50.1429,47.9652,2.17773
191.515,50.0469,47.8726,2.17423
191.677,50.2848,48.114,2.17073
191.84,50.6852,48.518,2.16725
192.003,51.0702,48.9064,2.16377
192.165,50.4886,48.3283,2.16031
192.328,50.7321,48.5753,2.15685
192.491,51.1178,48.9644,2.15339
192.654,50.5633,48.4133,2.14995
192.816,51.0115,48.8649,2.14652
192.979,50.2758,48.1327,2.14309
193.142,50.7299,48.5902,2.13967
193.304,50.2595,48.1232,2.13626
193.467,51.2403,49.1074,2.13286
193.63,51.4686,49.3391,2.12946
193.793,49.4184,47.2923,2.12607
193.955,50.3275,48.2048,2.12269
194.118,50.7466,48.6272,2.11932
194.281,50.0156,47.8996,2.11596
194.443,49.374,47.2614,2.1126
194.606,50.3113,48.202,2.10926
194.769,50.4744,48.3685,2.10592
194.932,50.0641,47.9615,2.10258
195.094,50.6457,48.5464,2.09926
195.257,50.4725,48.3766,2.09594
195.42,50.8267,48.7341,2.09263
195.582,50.8463,48.757,2.08933
195.745,50.6594,48.5734,2.08604
195.908,49.7839,47.7011,2.08275
196.071,51.2866,49.2071,2.07947
196.233,49.7601,47.6839,2.0762
196.396,49.4501,47.3772,2.07294
196.559,52.2687,50.199,2.06969
196.721,51.5129,49.4464,2.06644
196.884,51.0514,48.9882,2.0632
197.047,51.5205,49.4605,2.05996
197.21,50.4373,48.3806,2.05674
197.372,50.5139,48.4604,2.05352
197.535,51.4998,49.4495,2.05031
197.698,48.9985,46.9514,2.04711
197.86,49.4949,47.451,2.04391
198.023,51.8423,49.8016,2.04072
198.186,50.2502,48.2127,2.03754
198.349,51.0744,49.04,2.03437
198.511,50.8533,48.8221,2.0312
198.674,49.9886,47.9605,2.02804
198.837,50.5181,48.4932,2.02489
198.999,51.3951,49.3734,2.02174
199.162,50.4263,48.4077,2.0186
199.325,50.4251,48.4097,2.01547
199.488,49.4008,47.3885,2.01235
199.65,50.429,48.4197,2.00923
199.813,50.7187,48.7126,2.00612
199.976,50.2558,48.2528,2.00302
200.138,50.313,48.3131,1.99993
200.301,50.346,48.3492,1.99684
200.464,49.6497,47.6559,1.99376
200.627,49.7157,47.725,1.99068
200.789,49.7014,47.7138,1.98762
200.952,51.8375,49.853,1.98456
201.115,51.9303,49.9488,1.9815
201.277,50.9428,48.9643,1.97846
201.44,50.1824,48.2069,1.97542
201.603,49.5919,47.6196,1.97238
201.766,51.3582,49.3888,1.96936
201.928,49.444,47.4777,1.96634
202.091,51.6402,49.6768,1.96333
202.254,49.6515,47.6912,1.96032
202.416,51.0599,49.1026,1.95732
202.579,51.273,49.3187,1.95433
202.742,52.8896,50.9382,1.95135
202.905,51.1273,49.1789,1.94837
203.067,51.0332,49.0878,1.9454
203.23,51.2966,49.3542,1.94243
