Fe3O4 nanoparticle r=4.000000

25578 atoms

3 atom types

0 101.870750 xlo xhi
0 99.858829 ylo yhi
0 101.870750 zlo zhi

Masses

1  55.845000
2  55.845000
3  15.999400

Atoms

1       1 1  1.530   18.3533   33.1354   43.5443
2       1 1  1.530   18.3533   33.1354   51.9413
3       1 1  1.530   18.3533   33.1354   60.3383
4       1 1  1.530   18.3533   41.5324   35.1473
5       1 1  1.530   18.3533   41.5324   43.5443
6       1 1  1.530   18.3533   41.5324   51.9413
7       1 1  1.530   18.3533   41.5324   60.3383
8       1 1  1.530   18.3533   41.5324   68.7353
9       1 1  1.530   18.3533   49.9294   35.1473
10      1 1  1.530   18.3533   49.9294   43.5443
11      1 1  1.530   18.3533   49.9294   51.9413
12      1 1  1.530   18.3533   49.9294   60.3383
13      1 1  1.530   18.3533   49.9294   68.7353
14      1 1  1.530   18.3533   58.3264   35.1473
15      1 1  1.530   18.3533   58.3264   43.5443
16      1 1  1.530   18.3533   58.3264   51.9413
17      1 1  1.530   18.3533   58.3264   60.3383
18      1 1  1.530   18.3533   58.3264   68.7353
19      1 1  1.530   18.3533   66.7234   43.5443
20      1 1  1.530   18.3533   66.7234   51.9413
21      1 1  1.530   18.3533   66.7234   60.3383
22      1 1  1.530   26.7503   24.7384   35.1473
23      1 1  1.530   26.7503   24.7384   43.5443
24      1 1  1.530   26.7503   24.7384   51.9413
25      1 1  1.530   26.7503   24.7384   60.3383
26      1 1  1.530   26.7503   24.7384   68.7353
27      1 1  1.530   26.7503   33.1354   26.7503
28      1 1  1.530   26.7503   33.1354   35.1473
29      1 1  1.530   26.7503   33.1354   43.5443
30      1 1  1.530   26.7503   33.1354   51.9413
31      1 1  1.530   26.7503   33.1354   60.3383
32      1 1  1.530   26.7503   33.1354   68.7353
33      1 1  1.530   26.7503   33.1354   77.1323
34      1 1  1.530   26.7503   41.5324   26.7503
35      1 1  1.530   26.7503   41.5324   35.1473
36      1 1  1.530   26.7503   41.5324   43.5443
37      1 1  1.530   26.7503   41.5324   51.9413
38      1 1  1.530   26.7503   41.5324   60.3383
39      1 1  1.530   26.7503   41.5324   68.7353
40      1 1  1.530   26.7503   41.5324   77.1323
41      1 1  1.530   26.7503   49.9294   26.7503
42      1 1  1.530   26.7503   49.9294   35.1473
