Time (ps),Temperature
0.000000,200.389023
1.000000,201.239182
2.000000,200.164825
3.000000,202.774857
4.000000,201.610992
5.000000,200.917847
6.000000,204.253479
7.000000,207.226685
8.000000,208.470963
9.000000,208.526901
10.000000,209.318085
11.000000,211.283066
12.000000,211.336761
13.000000,213.021210
14.000000,214.266525
15.000000,214.631424
16.000000,213.660645
17.000000,215.462112
18.000000,218.562912
19.000000,216.042007
20.000000,219.835434
21.000000,220.957901
22.000000,221.466690
23.000000,219.300278
24.000000,222.640717
25.000000,225.176987
26.000000,225.696152
27.000000,225.745316
28.000000,227.376450
29.000000,225.848907
30.000000,229.019836
31.000000,226.711823
32.000000,228.065231
33.000000,230.917068
34.000000,231.512955
35.000000,233.615341
36.000000,236.855225
37.000000,237.594177
38.000000,236.893356
39.000000,236.660873
40.000000,238.646408
41.000000,241.205536
42.000000,240.432617
43.000000,244.214111
44.000000,243.644180
45.000000,239.361008
46.000000,245.134979
47.000000,247.369370
48.000000,247.383316
49.000000,248.575012
50.000000,248.687057
