Time (ps),Temperature
0.000000,10.033137
1.000000,74.492500
2.000000,46.553856
3.000000,35.163422
4.000000,33.659401
5.000000,36.068756
6.000000,40.067799
7.000000,44.506901
8.000000,50.761944
9.000000,56.887379
10.000000,62.006271
11.000000,67.016632
12.000000,73.332298
13.000000,79.705009
14.000000,83.670120
15.000000,90.506104
16.000000,96.630966
17.000000,103.264862
18.000000,108.039978
19.000000,113.304054
20.000000,119.664345
21.000000,127.069878
22.000000,131.864822
23.000000,137.317368
24.000000,143.241287
25.000000,148.916779
26.000000,155.277893
27.000000,161.635834
28.000000,164.916443
29.000000,172.168304
30.000000,174.869858
31.000000,182.757950
32.000000,189.954987
33.000000,196.256821
34.000000,200.782608
35.000000,204.525238
36.000000,209.956497
37.000000,219.361725
38.000000,222.340744
39.000000,230.819229
40.000000,235.078415
41.000000,241.425323
42.000000,243.866806
43.000000,253.010162
44.000000,258.983490
45.000000,263.631287
46.000000,272.583557
47.000000,276.887695
48.000000,282.396667
49.000000,290.775635
50.000000,293.794250
