Time (ns),Water after lsq fit to Water
0.0013250,0.4215615
0.0013300,0.4216158
0.0013350,0.4216640
0.0013400,0.4217065
0.0013450,0.4217410
0.0013500,0.4217654
0.0013550,0.4217796
0.0013600,0.4217851
0.0013650,0.4217824
0.0013700,0.4217768
0.0013750,0.4217748
0.0013800,0.4217812
0.0013850,0.4217984
0.0013900,0.4218284
0.0013950,0.4218699
0.0014000,0.4851496
0.0014050,0.4851759
0.0014100,0.4852258
0.0014150,0.4852971
0.0014200,0.4853853
0.0014250,0.4854863
0.0014300,0.4855991
0.0014350,0.4857214
0.0014400,0.4858493
0.0014450,0.4859778
0.0014500,0.4861000
0.0014550,0.4862104
0.0014600,0.4863096
0.0014650,0.4863989
0.0014700,0.4864822
0.0014750,0.4865631
0.0014800,0.4866424
0.0014850,0.4867175
0.0014900,0.4867885
0.0014950,0.4868558
0.0015000,0.4216495
0.0015050,0.4216994
0.0015100,0.4217478
0.0015150,0.4217989
0.0015200,0.4218566
0.0015250,0.4219196
0.0015300,0.4219877
0.0015350,0.4220620
0.0015400,0.4221420
0.0015450,0.4222263
0.0015500,0.4223151
0.0015550,0.4224096
0.0015600,0.4225117
0.0015650,0.4226207
0.0015700,0.4227361
0.0015750,0.4228551
0.0015800,0.4229706
0.0015850,0.4230728
0.0015900,0.4231573
0.0015950,0.4232266
0.0016000,0.4869183
0.0016050,0.4868813
0.0016100,0.4868520
0.0016150,0.4868343
0.0016200,0.4868336
0.0016250,0.4868563
0.0016300,0.4869042
0.0016350,0.4869752
0.0016400,0.4870640
0.0016450,0.4871630
0.0016500,0.4872629
0.0016550,0.4873591
0.0016600,0.4874508
0.0016650,0.4875376
0.0016700,0.4876200
0.0016750,0.4877012
0.0016800,0.4877848
0.0016850,0.4878730
0.0016900,0.4879653
0.0016950,0.4880644
0.0017000,0.4243398
0.0017050,0.4244890
0.0017100,0.4246498
0.0017150,0.4248200
0.0017200,0.4249979
0.0017250,0.4251807
0.0017300,0.4253648
0.0017350,0.4255494
0.0017400,0.4257350
0.0017450,0.4259215
0.0017500,0.4261024
0.0017550,0.4262719
0.0017600,0.4264265
0.0017650,0.4265631
0.0017700,0.4266782
0.0017750,0.4267702
0.0017800,0.4268422
0.0017850,0.4268991
0.0017900,0.4269426
0.0017950,0.4269720
0.0018000,0.3535348
0.0018050,0.3535951
0.0018100,0.3536590
0.0018150,0.3537191
0.0018200,0.3537723
0.0018250,0.3538176
0.0018300,0.3538504
0.0018350,0.3538655
0.0018400,0.3538609
0.0018450,0.3538403
0.0018500,0.3538093
0.0018550,0.3537733
0.0018600,0.3537390
0.0018650,0.3537100
0.0018700,0.3536852
0.0018750,0.3536624
0.0018800,0.3536435
0.0018850,0.3536288
0.0018900,0.3536123
0.0018950,0.3535878
0.0019000,0.4268475
0.0019050,0.4267836
0.0019100,0.4267312
0.0019150,0.4266877
0.0019200,0.4266517
0.0019250,0.4266238
0.0019300,0.4266049
0.0019350,0.4265931
0.0019400,0.4265882
0.0019450,0.4265922
0.0019500,0.4266047
0.0019550,0.4266230
0.0019600,0.4266457
0.0019650,0.4266735
0.0019700,0.4267050
0.0019750,0.4267355
0.0019800,0.4267619
0.0019850,0.4267832
0.0019900,0.4267968
0.0019950,0.4267992
0.0020000,0.6404209
0.0020050,0.6403548
0.0020100,0.6402958
0.0020150,0.6402472
0.0020200,0.6402139
0.0020250,0.6402016
0.0020300,0.6402132
0.0020350,0.6402462
0.0020400,0.6402958
0.0020450,0.6403563
0.0020500,0.6404214
0.0020550,0.6404864
0.0020600,0.6405464
0.0020650,0.6406001
0.0020700,0.6406458
0.0020750,0.6406808
0.0020800,0.6407024
0.0020850,0.6407087
0.0020900,0.6406989
0.0020950,0.6406721
0.0021000,0.5426216
0.0021050,0.5425579
0.0021100,0.5424937
0.0021150,0.5424337
0.0021200,0.5423806
0.0021250,0.5423368
0.0021300,0.5423035
0.0021350,0.5422782
0.0021400,0.5422574
0.0021450,0.5422385
0.0021500,0.5422224
0.0021550,0.5422112
0.0021600,0.5422081
0.0021650,0.5422183
0.0021700,0.5422468
0.0021750,0.5422988
0.0021800,0.5423789
0.0021850,0.5424892
0.0021900,0.5426255
0.0021950,0.5427776
0.0022000,0.6392592
0.0022050,0.6393252
0.0022100,0.6393941
0.0022150,0.6394637
0.0022200,0.6395321
0.0022250,0.6396008
0.0022300,0.6396724
0.0022350,0.6397492
0.0022400,0.6398323
0.0022450,0.6399232
0.0022500,0.6400233
0.0022550,0.6401309
0.0022600,0.6402420
0.0022650,0.6403513
0.0022700,0.6404512
0.0022750,0.6405365
0.0022800,0.6406068
0.0022850,0.6406675
0.0022900,0.6407244
0.0022950,0.6407808
0.0023000,0.4888483
0.0023050,0.4889078
0.0023100,0.4889834
0.0023150,0.4890741
0.0023200,0.4891770
0.0023250,0.4892877
0.0023300,0.4894004
0.0023350,0.4895104
0.0023400,0.4896173
0.0023450,0.4897218
0.0023500,0.4898238
0.0023550,0.4899219
0.0023600,0.4900152
0.0023650,0.4901047
0.0023700,0.4901924
0.0023750,0.4902796
0.0023800,0.4903653
0.0023850,0.4904485
0.0023900,0.4905286
0.0023950,0.4906052
0.0024000,0.4880605
0.0024050,0.4880862
0.0024100,0.4881200
0.0024150,0.4881635
0.0024200,0.4882179
0.0024250,0.4882841
0.0024300,0.4883622
0.0024350,0.4884480
0.0024400,0.4885359
0.0024450,0.4886213
0.0024500,0.4887033
0.0024550,0.4887786
0.0024600,0.4888468
0.0024650,0.4889072
0.0024700,0.4889592
0.0024750,0.4890037
0.0024800,0.4890443
0.0024850,0.4890862
0.0024900,0.4891363
0.0024950,0.4891950
0.0025000,0.4278782
0.0025050,0.4279190
0.0025100,0.4279600
0.0025150,0.4280001
0.0025200,0.4280392
0.0025250,0.4280782
0.0025300,0.4281173
