E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
0,1.85803,0,1.85803
1.33426,2.21631,0.358348,1.85796
2.66851,2.4525,0.594753,1.85775
4.00277,2.73266,0.875262,1.8574
5.33703,2.87351,1.01661,1.8569
6.67128,3.17844,1.32217,1.85627
8.00554,3.55799,1.70249,1.8555
9.33979,3.71491,1.86033,1.85458
10.6741,4.58891,2.73538,1.85353
12.0083,5.1072,3.25487,1.85234
13.3426,5.30062,3.44962,1.85101
14.6768,5.69286,3.84332,1.84954
16.0111,6.21721,4.36928,1.84793
17.3453,8.17587,6.32968,1.84619
18.6796,8.35506,6.51075,1.84431
20.0138,9.70318,7.86089,1.8423
21.3481,10.4307,8.5906,1.84015
22.6824,12.0052,10.1673,1.83787
24.0166,12.0461,10.2106,1.83546
25.3509,12.9475,11.1146,1.83292
26.6851,14.1656,12.3354,1.83024
28.0194,14.6067,12.7792,1.82744
29.3536,14.9308,13.1063,1.82451
30.6879,17.3157,15.4942,1.82146
32.0222,16.1255,14.3072,1.81828
33.3564,16.1242,14.3092,1.81497
34.6907,17.1677,15.3562,1.81155
36.0249,17.5083,15.7003,1.808
37.3592,17.2296,15.4252,1.80434
38.6934,17.373,15.5725,1.80056
40.0277,17.2694,15.4728,1.79666
41.3619,16.4437,14.651,1.79264
42.6962,17.5812,15.7927,1.78852
44.0305,17.3424,15.5581,1.78428
45.3647,17.5108,15.7309,1.77993
46.699,17.1711,15.3956,1.77548
48.0332,17.1567,15.3857,1.77092
49.3675,15.5801,13.8139,1.76625
50.7017,15.9461,14.1846,1.76149
52.036,15.1975,13.4409,1.75662
53.3703,15.4226,13.6709,1.75165
54.7045,14.3071,12.5605,1.74659
56.0388,14.7926,13.0512,1.74143
57.373,15.1018,13.3656,1.73618
58.7073,14.7508,13.02,1.73084
60.0415,12.8121,11.0867,1.72541
61.3758,13.9379,12.218,1.7199
62.71,13.0873,11.373,1.7143
64.0443,12.5101,10.8015,1.70861
65.3786,13.0776,11.3748,1.70285
66.7128,12.4294,10.7324,1.697
68.0471,12.5004,10.8093,1.69108
69.3813,12.7954,11.1103,1.68509
70.7156,11.8201,10.141,1.67902
72.0498,12.0608,10.3879,1.67288
73.3841,11.4513,9.78468,1.66667
74.7184,11.6015,9.94114,1.66039
76.0526,11.6594,10.0053,1.65405
77.3869,11.32,9.67236,1.64765
78.7211,10.8867,9.2455,1.64119
80.0554,10.7901,9.15539,1.63467
81.3896,10.9259,9.29785,1.62809
82.7239,10.7363,9.11481,1.62146
84.0582,10.6806,9.06582,1.61477
85.3924,10.5202,8.91213,1.60803
86.7267,10.6162,9.01491,1.60125
88.0609,10.1289,8.53444,1.59442
89.3952,9.90132,8.31378,1.58754
90.7294,10.3826,8.80193,1.58062
92.0637,10.186,8.61231,1.57366
93.3979,9.76636,8.19971,1.56666
94.7322,10.4574,8.89777,1.55962
96.0665,9.80675,8.25421,1.55255
97.4007,10.0581,8.51267,1.54544
98.735,10.0708,8.53255,1.5383
100.069,9.56353,8.0324,1.53113
101.403,9.34656,7.82263,1.52393
102.738,10.1277,8.61097,1.51671
104.072,9.33932,7.82986,1.50946
105.406,9.39113,7.88894,1.50219
106.741,9.66001,8.16512,1.49489
108.075,9.30326,7.81568,1.48758
109.409,9.42253,7.94228,1.48025
110.743,9.41538,7.94248,1.4729
112.078,9.40008,7.93455,1.46553
113.412,9.39556,7.9374,1.45816
114.746,9.39528,7.94452,1.45077
116.08,9.23289,7.78953,1.44337
117.415,9.57713,8.14118,1.43596
118.749,8.7527,7.32416,1.42854
120.083,9.14181,7.72069,1.42112
121.417,9.01338,7.59969,1.41369
122.752,8.88557,7.47931,1.40626
124.086,9.07321,7.67439,1.39882
125.42,9.34479,7.9534,1.39139
126.754,9.25728,7.87333,1.38395
128.089,9.09563,7.71911,1.37652
129.423,9.27368,7.90459,1.36909
130.757,8.50466,7.143,1.36166
132.091,9.20465,7.85041,1.35424
133.426,9.33135,7.98452,1.34683
134.76,9.05759,7.71817,1.33942
136.094,8.87619,7.54417,1.33202
137.428,9.59107,8.26644,1.32463
138.763,9.57643,8.25918,1.31725
