Time (ps),Radius (nm)
456,1.56526
457,1.56519
458,1.56518
459,1.56511
460,1.56461
461,1.56546
462,1.56573
463,1.56472
464,1.56497
465,1.56569
466,1.56485
467,1.56526
468,1.56547
469,1.56461
470,1.56551
471,1.56511
472,1.56497
473,1.56529
474,1.56489
475,1.56569
476,1.56521
477,1.565
478,1.56558
479,1.56482
480,1.56534
481,1.56504
482,1.56535
483,1.56504
484,1.56479
485,1.56576
486,1.56554
487,1.56556
488,1.56557
489,1.56508
490,1.56507
491,1.56523
492,1.56551
493,1.56506
494,1.56568
495,1.56517
496,1.565
497,1.56543
498,1.56508
499,1.56555
500,1.56523
501,1.56523
502,1.56551
503,1.5651
504,1.56545
505,1.56543
506,1.56483
507,1.56605
508,1.56544
509,1.56523
510,1.56528
511,1.56473
512,1.56553
513,1.56516
514,1.56474
515,1.56527
516,1.56464
517,1.56497
518,1.56512
519,1.56492
520,1.56568
521,1.56493
522,1.56496
523,1.56525
524,1.565
525,1.56536
526,1.56525
527,1.56486
528,1.56543
529,1.56488
530,1.56508
531,1.56558
532,1.56506
533,1.56484
534,1.56515
535,1.56525
536,1.56506
537,1.56506
538,1.56506
539,1.5651
540,1.56539
541,1.56496
542,1.56492
543,1.56508
544,1.56482
545,1.56506
546,1.56501
547,1.56542
548,1.56576
549,1.56481
550,1.56531
551,1.56521
552,1.56469
553,1.56544
554,1.56487
555,1.56517
556,1.56521
557,1.56485
558,1.56532
559,1.56526
560,1.56521
561,1.56507
562,1.56487
563,1.5655
564,1.56509
565,1.56464
566,1.56549
567,1.56482
568,1.56533
569,1.56528
570,1.56487
571,1.56523
572,1.56484
573,1.56549
574,1.56568
575,1.5646
576,1.56556
577,1.56492
578,1.56548
579,1.56501
580,1.5652
581,1.5654
582,1.56497
583,1.565
584,1.56524
585,1.56526
586,1.56438
587,1.56537
588,1.56553
589,1.56457
590,1.5648
591,1.56501
592,1.56533
593,1.56436
594,1.56503
595,1.56485
596,1.56463
597,1.56501
598,1.56472
599,1.56482
600,1.56478
601,1.56494
602,1.56467
603,1.56489
604,1.5654
605,1.56454
606,1.56503
607,1.56468
608,1.56457
609,1.56539
610,1.5647
611,1.56467
612,1.56465
613,1.56447
614,1.56443
615,1.56504
616,1.56503
617,1.56525
618,1.56467
619,1.56438
620,1.56503
621,1.56478
622,1.56445
623,1.56502
624,1.56445
625,1.56457
626,1.56496
627,1.56484
628,1.56478
629,1.56463
630,1.56459
631,1.56512
632,1.56504
633,1.56469
634,1.56441
635,1.56486
636,1.56498
637,1.56449
638,1.56481
639,1.56503
640,1.56434
641,1.56517
642,1.56463
643,1.56437
644,1.56522
645,1.56458
646,1.56454
647,1.56505
648,1.56466
649,1.56473
650,1.56477
651,1.56448
652,1.56515
653,1.56459
654,1.56469
655,1.56487
656,1.56422
657,1.56524
658,1.56468
659,1.56475
660,1.56462
661,1.56482
662,1.56483
663,1.56558
664,1.56462
665,1.56496
666,1.56462
667,1.56492
668,1.56474
669,1.5647
670,1.5648
671,1.56466
672,1.56537
673,1.56455
674,1.56513
675,1.56471
676,1.56473
677,1.565
678,1.56468
679,1.56443
680,1.56544
681,1.56454
682,1.5648
683,1.56467
684,1.56424
685,1.5652
686,1.56438
687,1.56515
688,1.56492
689,1.56487
690,1.56455
691,1.56476
692,1.56471
693,1.56557
694,1.56449
695,1.56524
696,1.56438
697,1.56489
698,1.56499
699,1.56475
700,1.5644
701,1.56483
702,1.56474
703,1.56517
704,1.56535
705,1.56513
706,1.56489
707,1.56533
708,1.5646
709,1.56469
710,1.56535
711,1.56479
712,1.56474
713,1.56497
714,1.5652
715,1.56526
716,1.56463
717,1.56468
718,1.5654
719,1.5647
720,1.56517
721,1.5647
722,1.56467
723,1.56492
724,1.56476
725,1.56497
726,1.56508
727,1.56506
728,1.56479
729,1.56513
730,1.5647
731,1.56506
732,1.56502
733,1.56491
734,1.56476
735,1.56493
736,1.56428
737,1.5654
738,1.56482
739,1.56519
740,1.56507
741,1.56464
742,1.56502
743,1.56474
744,1.56484
745,1.56496
746,1.56477
747,1.56488
748,1.56506
749,1.56473
750,1.565
751,1.56505
752,1.56461
753,1.56513
754,1.56457
755,1.56494
756,1.56539
757,1.56484
758,1.56495
759,1.56477
760,1.56476
761,1.56507
762,1.56457
763,1.56518
764,1.56492
765,1.56468
766,1.56485
767,1.56493
768,1.56504
769,1.56461
770,1.56507
771,1.56448
772,1.56559
773,1.56441
774,1.56498
775,1.56547
776,1.56488
777,1.56532
778,1.56489
779,1.56478
780,1.56482
781,1.56543
782,1.56461
783,1.5651
784,1.56487
785,1.5646
786,1.56522
787,1.56429
788,1.56544
789,1.56492
790,1.56469
791,1.56523
792,1.56474
793,1.5646
794,1.56537
795,1.56488
796,1.56477
797,1.56505
798,1.56489
799,1.56532
800,1.56457
801,1.56522
802,1.56441
803,1.56492
804,1.5648
805,1.56542
806,1.56478
807,1.56492
808,1.56463
809,1.5652
810,1.56486
811,1.5648
812,1.56501
813,1.56471
814,1.56498
815,1.56501
816,1.56489
817,1.56491
818,1.56518
819,1.56478
820,1.56558
821,1.56432
822,1.56517
823,1.56498
824,1.56444
825,1.56547
826,1.56444
827,1.5655
828,1.56482
829,1.56439
830,1.56531
831,1.565
832,1.56517
833,1.56523
834,1.56481
835,1.56511
836,1.56494
837,1.56511
838,1.56507
839,1.56456
840,1.56485
841,1.56547
842,1.56471
843,1.56451
844,1.56524
845,1.56478
846,1.56507
847,1.56455
848,1.56544
849,1.56454
850,1.56499
851,1.56497
852,1.56494
853,1.56474
854,1.56465
855,1.56539
856,1.56512
857,1.56486
858,1.56466
859,1.56524
860,1.56477
861,1.56481
862,1.5649
863,1.56492
864,1.56545
865,1.56502
866,1.56451
867,1.56553
868,1.5643
869,1.56498
870,1.56544
871,1.56469
872,1.56487
873,1.56493
874,1.56441
875,1.5652
876,1.56474
877,1.56483
878,1.56515
879,1.56457
880,1.56484
881,1.56505
882,1.56457
883,1.5655
884,1.56457
885,1.56491
886,1.56558
887,1.56414
888,1.56573
889,1.56457
890,1.56484
891,1.56568
892,1.56404
893,1.56558
894,1.56432
895,1.56476
896,1.56523
897,1.56458
898,1.56537
899,1.56497
900,1.5644
901,1.56534
902,1.56493
903,1.56472
904,1.56502
905,1.56474
906,1.56506
907,1.56462
908,1.56465
909,1.56525
910,1.56492
911,1.56469
912,1.56517
913,1.56478
914,1.56468
915,1.56479
916,1.56504
917,1.56479
918,1.56507
919,1.56499
920,1.56483
921,1.56525
922,1.56475
923,1.56488
924,1.56521
925,1.56417
926,1.56558
927,1.56518
928,1.5642
929,1.56571
930,1.56481
931,1.56443
932,1.56551
933,1.56454
934,1.56502
935,1.56533
936,1.56464
937,1.5651
938,1.56475
939,1.56566
940,1.56495
941,1.56464
942,1.56555
943,1.56444
944,1.56494
945,1.56508
946,1.56453
947,1.56501
948,1.56533
949,1.56447
950,1.5655
951,1.56485
952,1.56456
953,1.56526
954,1.56463
955,1.5652
956,1.56492
957,1.5653
958,1.56471
959,1.56441
960,1.56519
961,1.56505
962,1.56489
963,1.56487
964,1.56503
965,1.56501
966,1.56462
967,1.56504
968,1.56487
969,1.56448
970,1.56551
971,1.56435
972,1.56485
973,1.56538
974,1.56426
975,1.5653
976,1.56497
977,1.56493
978,1.56534
979,1.56431
980,1.56542
981,1.56462
982,1.56505
983,1.56554
984,1.56461
985,1.56488
986,1.56535
987,1.56449
988,1.56519
989,1.56471
990,1.56486
991,1.56508
992,1.56455
993,1.56562
994,1.56452
995,1.56482
996,1.56551
997,1.56418
998,1.5654
999,1.56507
1000,1.56428
1001,1.56588
1002,1.56446
1003,1.56486
1004,1.56486
1005,1.56451
1006,1.56489
1007,1.56477
1008,1.56494
1009,1.56495
1010,1.56485
1011,1.56512
1012,1.56481
1013,1.56502
1014,1.56468
1015,1.56528
1016,1.56445
1017,1.5651
1018,1.565
1019,1.56495
1020,1.56497
1021,1.56483
1022,1.56474
1023,1.5653
1024,1.56525
1025,1.56416
1026,1.56526
1027,1.56497
1028,1.56437
1029,1.56513
1030,1.56477
1031,1.56491
1032,1.56502
1033,1.56494
1034,1.56494
1035,1.56485
1036,1.56447
1037,1.56476
1038,1.56469
1039,1.56489
1040,1.56479
1041,1.56497
1042,1.56466
1043,1.56529
1044,1.56495
1045,1.56469
1046,1.56509
1047,1.5649
1048,1.56479
1049,1.56519
1050,1.56464
1051,1.56494
1052,1.56517
1053,1.56462
1054,1.56517
1055,1.5647
1056,1.56499
1057,1.56518
1058,1.56473
1059,1.56456
1060,1.56529
1061,1.56457
1062,1.56548
1063,1.56457
1064,1.56465
1065,1.56504
1066,1.56456
1067,1.56498
1068,1.56489
1069,1.56456
1070,1.5649
1071,1.56499
1072,1.56486
1073,1.56507
1074,1.56461
1075,1.5653
1076,1.56454
1077,1.56493
1078,1.56484
1079,1.56478
1080,1.5651
1081,1.56515
1082,1.56478
1083,1.5649
1084,1.56507
1085,1.5652
1086,1.56485
1087,1.56456
1088,1.56513
1089,1.56513
1090,1.56428
1091,1.56496
1092,1.56509
1093,1.56469
1094,1.56523
1095,1.56498
1096,1.56477
1097,1.56507
1098,1.56494
1099,1.56463
1100,1.56518
1101,1.56491
1102,1.56484
1103,1.56503
1104,1.56498
1105,1.56461
1106,1.56529
1107,1.5648
1108,1.56453
1109,1.56551
1110,1.56431
1111,1.56518
1112,1.5646
1113,1.56491
1114,1.56519
1115,1.5647
1116,1.56521
1117,1.56531
1118,1.56431
1119,1.56503
1120,1.56519
1121,1.56504
1122,1.56464
1123,1.56529
1124,1.56441
1125,1.56529
1126,1.56524
1127,1.56473
1128,1.56491
1129,1.56535
1130,1.56475
1131,1.56483
1132,1.56459
1133,1.56484
1134,1.56492
1135,1.56469
1136,1.56508
1137,1.56476
1138,1.56464
1139,1.56506
1140,1.56469
1141,1.56485
1142,1.56497
1143,1.56471
1144,1.56513
1145,1.56505
1146,1.56539
1147,1.56441
1148,1.56479
1149,1.56478
1150,1.56481
1151,1.5649
1152,1.56476
1153,1.56521
1154,1.56421
1155,1.56489
1156,1.56526
1157,1.56425
1158,1.56512
1159,1.56499
1160,1.56379
1161,1.56551
1162,1.5646
1163,1.56463
1164,1.56521
1165,1.5646
1166,1.56476
1167,1.56481
1168,1.56485
1169,1.56491
1170,1.5648
1171,1.56491
1172,1.56512
1173,1.56464
1174,1.56496
1175,1.56442
1176,1.56529
1177,1.56508
1178,1.56437
1179,1.5651
1180,1.5648
1181,1.5643
1182,1.56547
1183,1.56469
1184,1.56473
1185,1.56541
1186,1.56492
1187,1.56472
1188,1.56468
1189,1.56499
1190,1.56515
1191,1.56446
1192,1.56563
1193,1.56416
1194,1.56485
1195,1.56557
1196,1.56423
1197,1.56483
1198,1.56475
1199,1.56478
1200,1.56482
1201,1.56511
1202,1.56483
1203,1.56442
1204,1.56501
1205,1.5649
1206,1.56466
1207,1.56488
1208,1.56456
1209,1.56494
1210,1.56477
1211,1.56476
1212,1.56485
1213,1.56491
1214,1.56508
1215,1.56469
1216,1.56466
1217,1.56491
1218,1.56499
1219,1.56441
1220,1.56487
