Time (ns),non-Water after lsq fit to non-Water
0.0000000,0.0000000
0.0000050,0.0035389
0.0000100,0.0069175
0.0000150,0.0100641
0.0000200,0.0129056
0.0000250,0.0154228
0.0000300,0.0176512
0.0000350,0.0196320
0.0000400,0.0214256
0.0000450,0.0230731
0.0000500,0.0245924
0.0000550,0.0259957
0.0000600,0.0272717
0.0000650,0.0284142
0.0000700,0.0294271
0.0000750,0.0303245
0.0000800,0.0311367
0.0000850,0.0318982
0.0000900,0.0326495
0.0000950,0.0334134
0.0001000,0.3844597
0.0001050,0.3844969
0.0001100,0.3845548
0.0001150,0.3846276
0.0001200,0.3847059
0.0001250,0.3847835
0.0001300,0.3848603
0.0001350,0.3849390
0.0001400,0.3850239
0.0001450,0.3851171
0.0001500,0.3852164
0.0001550,0.3853164
0.0001600,0.3854117
0.0001650,0.3855002
0.0001700,0.3855829
0.0001750,0.3856624
0.0001800,0.3857403
0.0001850,0.3858145
0.0001900,0.3858814
0.0001950,0.3859390
0.0002000,0.4378808
0.0002050,0.4379004
0.0002100,0.4379294
0.0002150,0.4379680
0.0002200,0.4380162
0.0002250,0.4380752
0.0002300,0.4381469
0.0002350,0.4382323
0.0002400,0.4383299
0.0002450,0.4384358
0.0002500,0.4385454
0.0002550,0.4386538
0.0002600,0.4387553
0.0002650,0.4388470
0.0002700,0.4389295
0.0002750,0.4390060
0.0002800,0.4390809
0.0002850,0.4391567
0.0002900,0.4392336
0.0002950,0.4393092
0.0003000,0.4317056
0.0003050,0.4317463
0.0003100,0.4317935
0.0003150,0.4318501
0.0003200,0.4319149
0.0003250,0.4319820
0.0003300,0.4320440
0.0003350,0.4320945
0.0003400,0.4321306
0.0003450,0.4321511
0.0003500,0.4321589
0.0003550,0.4321592
0.0003600,0.4321557
0.0003650,0.4321531
0.0003700,0.4321568
0.0003750,0.4321700
0.0003800,0.4321919
0.0003850,0.4322180
0.0003900,0.4322434
0.0003950,0.4322661
0.0004000,0.4765031
0.0004050,0.4765226
0.0004100,0.4765591
0.0004150,0.4766102
0.0004200,0.4766716
0.0004250,0.4767370
0.0004300,0.4768014
0.0004350,0.4768632
0.0004400,0.4769233
0.0004450,0.4769795
0.0004500,0.4770253
0.0004550,0.4770577
0.0004600,0.4770799
0.0004650,0.4770995
0.0004700,0.4771203
0.0004750,0.4771413
0.0004800,0.4771614
0.0004850,0.4771786
0.0004900,0.4771908
0.0004950,0.4771973
0.0005000,0.4928998
0.0005050,0.4928985
0.0005100,0.4929124
0.0005150,0.4929329
0.0005200,0.4929561
0.0005250,0.4929837
0.0005300,0.4930174
0.0005350,0.4930539
0.0005400,0.4930873
0.0005450,0.4931148
0.0005500,0.4931392
0.0005550,0.4931648
0.0005600,0.4931952
0.0005650,0.4932325
0.0005700,0.4932727
0.0005750,0.4933074
0.0005800,0.4933305
0.0005850,0.4933424
0.0005900,0.4933510
0.0005950,0.4933643
0.0006000,0.4990069
0.0006050,0.4990233
0.0006100,0.4990508
0.0006150,0.4990885
0.0006200,0.4991327
0.0006250,0.4991786
0.0006300,0.4992234
0.0006350,0.4992668
