Time (ns),non-Water after lsq fit to non-Water
0.0000000,0.0000000
0.0000050,0.0033154
0.0000100,0.0064750
0.0000150,0.0094157
0.0000200,0.0120641
0.0000250,0.0143943
0.0000300,0.0164527
0.0000350,0.0182874
0.0000400,0.0199626
0.0000450,0.0215138
0.0000500,0.0229616
0.0000550,0.0243091
0.0000600,0.0255232
0.0000650,0.0265930
0.0000700,0.0275241
0.0000750,0.0283448
0.0000800,0.0291002
0.0000850,0.0298268
0.0000900,0.0305632
0.0000950,0.0313191
0.0001000,0.3135411
0.0001050,0.3136203
0.0001100,0.3137012
0.0001150,0.3137754
0.0001200,0.3138415
0.0001250,0.3139044
0.0001300,0.3139711
0.0001350,0.3140466
0.0001400,0.3141340
0.0001450,0.3142307
0.0001500,0.3143304
0.0001550,0.3144263
0.0001600,0.3145121
0.0001650,0.3145876
0.0001700,0.3146581
0.0001750,0.3147312
0.0001800,0.3148116
0.0001850,0.3148976
0.0001900,0.3149863
0.0001950,0.3150762
0.0002000,0.4249303
0.0002050,0.4249672
0.0002100,0.4250087
0.0002150,0.4250534
0.0002200,0.4251027
0.0002250,0.4251624
0.0002300,0.4252382
0.0002350,0.4253323
0.0002400,0.4254420
0.0002450,0.4255595
0.0002500,0.4256766
0.0002550,0.4257868
0.0002600,0.4258861
0.0002650,0.4259747
0.0002700,0.4260552
0.0002750,0.4261338
0.0002800,0.4262154
0.0002850,0.4262987
0.0002900,0.4263775
0.0002950,0.4264444
0.0003000,0.4293404
0.0003050,0.4293604
0.0003100,0.4293756
0.0003150,0.4293936
0.0003200,0.4294213
0.0003250,0.4294617
0.0003300,0.4295131
0.0003350,0.4295705
0.0003400,0.4296289
0.0003450,0.4296837
0.0003500,0.4297337
0.0003550,0.4297803
0.0003600,0.4298254
0.0003650,0.4298732
0.0003700,0.4299286
0.0003750,0.4299954
0.0003800,0.4300710
0.0003850,0.4301461
0.0003900,0.4302099
0.0003950,0.4302558
0.0004000,0.4147896
0.0004050,0.4147819
0.0004100,0.4147871
0.0004150,0.4148079
0.0004200,0.4148405
0.0004250,0.4148772
0.0004300,0.4149087
0.0004350,0.4149289
0.0004400,0.4149414
0.0004450,0.4149540
0.0004500,0.4149740
0.0004550,0.4150042
0.0004600,0.4150427
0.0004650,0.4150833
0.0004700,0.4151175
0.0004750,0.4151389
0.0004800,0.4151445
0.0004850,0.4151378
0.0004900,0.4151285
0.0004950,0.4151240
0.0005000,0.4294385
0.0005050,0.4294434
0.0005100,0.4294561
0.0005150,0.4294761
0.0005200,0.4295045
0.0005250,0.4295419
0.0005300,0.4295852
0.0005350,0.4296302
0.0005400,0.4296753
0.0005450,0.4297201
0.0005500,0.4297643
0.0005550,0.4298086
0.0005600,0.4298558
0.0005650,0.4299082
0.0005700,0.4299633
0.0005750,0.4300181
0.0005800,0.4300694
0.0005850,0.4301130
0.0005900,0.4301453
0.0005950,0.4301663
0.0006000,0.4294140
0.0006050,0.4294308
0.0006100,0.4294680
0.0006150,0.4295169
0.0006200,0.4295676
0.0006250,0.4296131
0.0006300,0.4296502
0.0006350,0.4296808
0.0006400,0.4297095
0.0006450,0.4297379
0.0006500,0.4297653
0.0006550,0.4297906
0.0006600,0.4298147
0.0006650,0.4298391
0.0006700,0.4298626
0.0006750,0.4298820
0.0006800,0.4298967
0.0006850,0.4299107
0.0006900,0.4299287
0.0006950,0.4299527
0.0007000,0.4365267
0.0007050,0.4365269
0.0007100,0.4365416
0.0007150,0.4365722
0.0007200,0.4366185
0.0007250,0.4366761
0.0007300,0.4367369
0.0007350,0.4367922
0.0007400,0.4368366
0.0007450,0.4368690
0.0007500,0.4368913
0.0007550,0.4369057
0.0007600,0.4369141
0.0007650,0.4369183
0.0007700,0.4369205
0.0007750,0.4369244
0.0007800,0.4369304
0.0007850,0.4369356
0.0007900,0.4369361
0.0007950,0.4369301
0.0008000,0.4397804
0.0008050,0.4397668
0.0008100,0.4397794
0.0008150,0.4398204
0.0008200,0.4398863
0.0008250,0.4399691
0.0008300,0.4400591
0.0008350,0.4401465
0.0008400,0.4402231
0.0008450,0.4402865
0.0008500,0.4403427
0.0008550,0.4403992
0.0008600,0.4404571
0.0008650,0.4405090
0.0008700,0.4405481
0.0008750,0.4405726
0.0008800,0.4405850
0.0008850,0.4405890
0.0008900,0.4405897
0.0008950,0.4405927
0.0009000,0.4216218
0.0009050,0.4215972
0.0009100,0.4215960
0.0009150,0.4216113
0.0009200,0.4216319
0.0009250,0.4216495
0.0009300,0.4216632
0.0009350,0.4216787
0.0009400,0.4216996
0.0009450,0.4217263
0.0009500,0.4217581
0.0009550,0.4217928
0.0009600,0.4218273
0.0009650,0.4218558
0.0009700,0.4218743
0.0009750,0.4218829
0.0009800,0.4218853
0.0009850,0.4218876
0.0009900,0.4218955
0.0009950,0.4219118
0.0010000,0.4287947
0.0010050,0.4287846
0.0010100,0.4287863
0.0010150,0.4287999
0.0010200,0.4288222
0.0010250,0.4288459
0.0010300,0.4288641
0.0010350,0.4288779
0.0010400,0.4288908
0.0010450,0.4289047
0.0010500,0.4289194
0.0010550,0.4289342
0.0010600,0.4289509
0.0010650,0.4289671
0.0010700,0.4289800
0.0010750,0.4289890
0.0010800,0.4289965
0.0010850,0.4290065
0.0010900,0.4290220
0.0010950,0.4290453
0.0011000,0.4360023
0.0011050,0.4360198
0.0011100,0.4360565
0.0011150,0.4361055
0.0011200,0.4361589
0.0011250,0.4362114
0.0011300,0.4362611
0.0011350,0.4363090
0.0011400,0.4363567
0.0011450,0.4364071
0.0011500,0.4364623
0.0011550,0.4365219
0.0011600,0.4365826
0.0011650,0.4366386
0.0011700,0.4366860
0.0011750,0.4367263
0.0011800,0.4367623
0.0011850,0.4367926
0.0011900,0.4368133
0.0011950,0.4368243
0.0012000,0.4574749
0.0012050,0.4574668
0.0012100,0.4574653
0.0012150,0.4574679
0.0012200,0.4574734
0.0012250,0.4574834
0.0012300,0.4575015
0.0012350,0.4575308
0.0012400,0.4575722
0.0012450,0.4576227
0.0012500,0.4576768
0.0012550,0.4577303
0.0012600,0.4577828
0.0012650,0.4578357
0.0012700,0.4578911
0.0012750,0.4579498
0.0012800,0.4580118
0.0012850,0.4580755
0.0012900,0.4581370
0.0012950,0.4581949
0.0013000,0.4505895
0.0013050,0.4506249
0.0013100,0.4506623
0.0013150,0.4506994
0.0013200,0.4507383
0.0013250,0.4507810
0.0013300,0.4508276
0.0013350,0.4508757
0.0013400,0.4509201
0.0013450,0.4509559
0.0013500,0.4509792
0.0013550,0.4509897
0.0013600,0.4509902
0.0013650,0.4509832
0.0013700,0.4509726
0.0013750,0.4509631
0.0013800,0.4509581
0.0013850,0.4509597
0.0013900,0.4509683
0.0013950,0.4509831
0.0014000,0.4678175
0.0014050,0.4678296
0.0014100,0.4678430
0.0014150,0.4678581
0.0014200,0.4678809
0.0014250,0.4679206
0.0014300,0.4679832
0.0014350,0.4680658
0.0014400,0.4681563
0.0014450,0.4682402
0.0014500,0.4683067
0.0014550,0.4683539
0.0014600,0.4683868
0.0014650,0.4684131
0.0014700,0.4684380
0.0014750,0.4684622
0.0014800,0.4684829
0.0014850,0.4684961
0.0014900,0.4684993
0.0014950,0.4684924
0.0015000,0.4539094
0.0015050,0.4538803
0.0015100,0.4538670
0.0015150,0.4538704
0.0015200,0.4538902
0.0015250,0.4539237
0.0015300,0.4539653
0.0015350,0.4540108
0.0015400,0.4540594
0.0015450,0.4541113
0.0015500,0.4541653
0.0015550,0.4542201
0.0015600,0.4542746
0.0015650,0.4543274
0.0015700,0.4543765
0.0015750,0.4544183
0.0015800,0.4544505
0.0015850,0.4544742
0.0015900,0.4544918
0.0015950,0.4545057
0.0016000,0.4325409
0.0016050,0.4325358
0.0016100,0.4325450
0.0016150,0.4325665
0.0016200,0.4325952
0.0016250,0.4326258
0.0016300,0.4326572
0.0016350,0.4326913
0.0016400,0.4327311
0.0016450,0.4327784
0.0016500,0.4328330
0.0016550,0.4328933
0.0016600,0.4329554
0.0016650,0.4330142
0.0016700,0.4330667
0.0016750,0.4331132
0.0016800,0.4331573
0.0016850,0.4332041
0.0016900,0.4332555
0.0016950,0.4333096
0.0017000,0.4471516
0.0017050,0.4471732
0.0017100,0.4471976
0.0017150,0.4472187
0.0017200,0.4472361
0.0017250,0.4472545
0.0017300,0.4472805
0.0017350,0.4473167
0.0017400,0.4473583
0.0017450,0.4473966
0.0017500,0.4474236
0.0017550,0.4474386
0.0017600,0.4474479
0.0017650,0.4474609
0.0017700,0.4474827
0.0017750,0.4475121
0.0017800,0.4475446
0.0017850,0.4475773
0.0017900,0.4476098
0.0017950,0.4476411
0.0018000,0.4291189
0.0018050,0.4291247
0.0018100,0.4291400
0.0018150,0.4291673
0.0018200,0.4292051
0.0018250,0.4292491
0.0018300,0.4292957
0.0018350,0.4293430
0.0018400,0.4293903
0.0018450,0.4294384
0.0018500,0.4294894
0.0018550,0.4295452
0.0018600,0.4296052
0.0018650,0.4296660
0.0018700,0.4297234
0.0018750,0.4297757
0.0018800,0.4298229
0.0018850,0.4298645
0.0018900,0.4298987
0.0018950,0.4299241
0.0019000,0.3987385
0.0019050,0.3987265
0.0019100,0.3987360
0.0019150,0.3987666
0.0019200,0.3988118
0.0019250,0.3988626
0.0019300,0.3989107
0.0019350,0.3989519
0.0019400,0.3989876
0.0019450,0.3990213
0.0019500,0.3990567
0.0019550,0.3990951
0.0019600,0.3991349
0.0019650,0.3991729
0.0019700,0.3992057
0.0019750,0.3992333
0.0019800,0.3992590
0.0019850,0.3992876
0.0019900,0.3993236
0.0019950,0.3993695
0.0020000,0.4288784
0.0020050,0.4289043
0.0020100,0.4289398
0.0020150,0.4289811
0.0020200,0.4290231
0.0020250,0.4290640
0.0020300,0.4291067
0.0020350,0.4291565
0.0020400,0.4292153
0.0020450,0.4292771
0.0020500,0.4293324
0.0020550,0.4293737
0.0020600,0.4293986
0.0020650,0.4294107
