-inf,132
0.0142376,0
0.0227129,0
0.0311882,0
0.0396635,0
0.0481388,0
0.056614,0
0.0650893,0
0.0735646,0
0.0820399,0
0.0905152,0
0.0989905,0
0.107466,0
0.115941,0
0.124416,0
0.132892,0
0.141367,0
0.149842,0
0.158317,0
0.166793,0
0.175268,0
0.183743,0
0.192219,0
0.200694,12
0.209169,63
0.217644,0
0.22612,0
0.234595,0
0.24307,25
0.251546,48
0.260021,0
0.268496,1
0.276971,192
0.285447,33
0.293922,42
0.302397,7122
0.310872,6
0.319348,0
0.327823,0
0.336298,0
0.344774,0
0.353249,0
0.361724,2
0.370199,67
0.378675,9
0.38715,136
0.395625,80
0.404101,1
0.412576,2
0.421051,2431
0.429526,7559
0.438002,558
0.446477,0
0.454952,0
0.463428,0
0.471903,2
0.480378,8239
0.488853,5743
0.497329,120
0.505804,1
0.514279,10
0.522755,3327
0.53123,3483
0.539705,400
0.54818,58
0.556656,157
0.565131,28
0.573606,3065
0.582081,194
0.590557,1
0.599032,348
0.607507,323
0.615983,16
0.624458,138
0.632933,22
0.641408,5613
0.649884,928
0.658359,49
0.666834,91
0.67531,113
0.683785,5629
0.69226,824
0.700735,0
0.709211,3811
0.717686,19180
0.726161,2163
0.734637,357
0.743112,3599
0.751587,15231
0.760062,242
0.768538,256
0.777013,113
0.785488,177
0.793964,60
0.802439,2290
0.810914,7162
0.819389,35
0.827865,87
0.83634,9466
0.844815,3199
0.85329,2512
0.861766,3797
0.870241,130
0.878716,106
0.887192,18
0.895667,238
0.904142,698
0.912617,6615
0.921093,11342
0.929568,354
0.938043,3637
0.946519,2258
0.954994,361
0.963469,7875
0.971944,15889
0.98042,176
0.988895,10472
0.99737,9647
1.00585,464
1.01432,5228
1.0228,655
1.03127,109
1.03975,136
1.04822,401
1.0567,5609
1.06517,3042
1.07365,549
1.08212,10715
1.0906,1456
1.09907,21501
1.10755,16350
1.11602,478
1.1245,5312
1.13297,1490
1.14145,8275
1.14993,13121
1.1584,148
1.16688,11733
1.17535,4761
1.18383,2990
1.1923,2720
1.20078,344
1.20925,263
1.21773,5381
1.2262,5987
1.23468,2831
1.24315,427
1.25163,363
1.2601,11556
1.26858,10473
1.27705,16566
1.28553,7241
1.29401,5785
1.30248,5455
1.31096,179
1.31943,2549
1.32791,6389
1.33638,6785
1.34486,1082
1.35333,12910
1.36181,7758
1.37028,4566
1.37876,3290
1.38723,39883
1.39571,5051
1.40418,9783
1.41266,4470
1.42113,4797
1.42961,1219
1.43808,25374
1.44656,7454
1.45504,4434
1.46351,5658
1.47199,5243
1.48046,399
1.48894,5062
1.49741,18225
1.50589,6340
1.51436,5342
1.52284,810
1.53131,10640
1.53979,11308
1.54826,20159
1.55674,4263
1.56521,11118
1.57369,3518
1.58216,2442
1.59064,4914
1.59912,9461
1.60759,498
1.61607,7812
1.62454,7235
1.63302,2721
1.64149,7803
1.64997,16389
1.65844,9271
1.66692,37097
1.67539,15416
1.68387,8635
1.69234,2675
1.70082,11396
1.70929,3552
1.71777,2109
1.72624,3576
1.73472,14575
1.7432,19989
1.75167,4291
1.76015,26549
1.76862,2050
1.7771,4609
1.78557,5571
1.79405,12791
1.80252,28934
1.811,7950
1.81947,20814
1.82795,16155
1.83642,7971
1.8449,2410
1.85337,3702
1.86185,11086
