E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
138.307,313.825,300.04,13.7845
138.47,317.125,303.372,13.7538
138.632,312.702,298.979,13.7231
138.795,318.43,304.738,13.6926
138.958,315.837,302.175,13.6622
139.121,316.046,302.414,13.6319
139.283,310.445,296.844,13.6017
139.446,313.581,300.01,13.5715
139.609,312.363,298.822,13.5415
139.771,311.18,297.669,13.5116
139.934,317.083,303.601,13.4817
140.097,310.978,297.526,13.452
140.26,310.929,297.507,13.4224
140.422,313.906,300.513,13.3928
140.585,309.08,295.717,13.3634
140.748,307.417,294.083,13.334
140.91,309.93,296.625,13.3048
141.073,313.929,300.653,13.2756
141.236,312.307,299.061,13.2465
141.399,314.195,300.977,13.2176
141.561,309.494,296.305,13.1887
141.724,306.253,293.093,13.1599
141.887,304.858,291.727,13.1312
142.049,304.137,291.035,13.1026
142.212,311.05,297.976,13.0741
142.375,300.524,287.478,13.0456
142.538,306.185,293.168,13.0173
142.7,304.505,291.516,12.9891
142.863,300.942,287.982,12.9609
143.026,304.523,291.59,12.9329
143.188,304.433,291.528,12.9049
143.351,303.286,290.409,12.877
143.514,303.818,290.969,12.8492
143.677,304.357,291.535,12.8215
143.839,303.352,290.558,12.7939
144.002,302.105,289.338,12.7664
144.165,304.758,292.019,12.7389
144.327,302.752,290.04,12.7116
144.49,304.716,292.032,12.6843
144.653,300.672,288.015,12.6571
144.816,302.061,289.431,12.63
144.978,303.496,290.893,12.603
145.141,299.309,286.733,12.5761
145.304,298.563,286.014,12.5493
145.466,303.543,291.021,12.5225
145.629,301.111,288.615,12.4959
145.792,300.95,288.481,12.4693
145.955,306.008,293.565,12.4428
146.117,305.965,293.549,12.4163
146.28,302.936,290.546,12.39
146.443,302.998,290.634,12.3637
146.605,302.8,290.462,12.3376
146.768,304.703,292.391,12.3115
146.931,304.294,292.008,12.2855
147.094,305.214,292.954,12.2595
147.256,304.461,292.228,12.2337
147.419,304.929,292.721,12.2079
147.582,305.536,293.354,12.1822
147.744,303.958,291.802,12.1566
147.907,302.54,290.408,12.1311
148.07,305.231,293.126,12.1056
148.233,309.43,297.349,12.0803
148.395,308.436,296.381,12.055
148.558,307.609,295.579,12.0298
148.721,310.89,298.885,12.0046
148.883,312.319,300.339,11.9796
149.046,315.104,303.15,11.9546
149.209,308.174,296.244,11.9297
149.372,305.839,293.934,11.9049
149.534,315.926,304.046,11.8801
149.697,306.816,294.96,11.8554
149.86,311.288,299.457,11.8308
