Time (ns),non-Water after lsq fit to non-Water
0.0000000,0.0000000
0.0000050,0.0021691
0.0000100,0.0042294
0.0000150,0.0061435
0.0000200,0.0078649
0.0000250,0.0093775
0.0000300,0.0107083
0.0000350,0.0118873
0.0000400,0.0129637
0.0000450,0.0139657
0.0000500,0.0149008
0.0000550,0.0157673
0.0000600,0.0165420
0.0000650,0.0172144
0.0000700,0.0177860
0.0000750,0.0182825
0.0000800,0.0187462
0.0000850,0.0192045
0.0000900,0.0196847
0.0000950,0.0201924
0.0001000,0.1554944
0.0001050,0.1555640
0.0001100,0.1556345
0.0001150,0.1557018
0.0001200,0.1557644
0.0001250,0.1558238
0.0001300,0.1558844
0.0001350,0.1559500
0.0001400,0.1560212
0.0001450,0.1560931
0.0001500,0.1561608
0.0001550,0.1562209
0.0001600,0.1562716
0.0001650,0.1563149
0.0001700,0.1563538
0.0001750,0.1563927
0.0001800,0.1564357
0.0001850,0.1564835
0.0001900,0.1565345
0.0001950,0.1565844
0.0002000,0.1967291
0.0002050,0.1967443
0.0002100,0.1967573
0.0002150,0.1967712
0.0002200,0.1967880
0.0002250,0.1968099
0.0002300,0.1968382
0.0002350,0.1968718
0.0002400,0.1969084
0.0002450,0.1969437
0.0002500,0.1969759
0.0002550,0.1970059
0.0002600,0.1970358
0.0002650,0.1970692
0.0002700,0.1971072
0.0002750,0.1971488
0.0002800,0.1971903
0.0002850,0.1972276
0.0002900,0.1972586
0.0002950,0.1972833
0.0003000,0.2216821
0.0003050,0.2216844
0.0003100,0.2216899
0.0003150,0.2217006
0.0003200,0.2217166
0.0003250,0.2217381
0.0003300,0.2217648
0.0003350,0.2217960
0.0003400,0.2218307
0.0003450,0.2218671
0.0003500,0.2219040
0.0003550,0.2219403
0.0003600,0.2219742
0.0003650,0.2220049
0.0003700,0.2220316
0.0003750,0.2220546
0.0003800,0.2220738
0.0003850,0.2220887
0.0003900,0.2221002
0.0003950,0.2221094
0.0004000,0.2072104
0.0004050,0.2072152
0.0004100,0.2072231
0.0004150,0.2072361
0.0004200,0.2072551
0.0004250,0.2072799
0.0004300,0.2073079
0.0004350,0.2073356
0.0004400,0.2073605
0.0004450,0.2073817
0.0004500,0.2073999
0.0004550,0.2074157
0.0004600,0.2074299
0.0004650,0.2074426
0.0004700,0.2074527
0.0004750,0.2074596
0.0004800,0.2074625
0.0004850,0.2074619
0.0004900,0.2074584
0.0004950,0.2074517
0.0005000,0.2163706
0.0005050,0.2163617
0.0005100,0.2163612
0.0005150,0.2163692
0.0005200,0.2163821
0.0005250,0.2163951
0.0005300,0.2164032
0.0005350,0.2164058
0.0005400,0.2164048
0.0005450,0.2164036
0.0005500,0.2164066
0.0005550,0.2164167
0.0005600,0.2164342
0.0005650,0.2164568
0.0005700,0.2164793
0.0005750,0.2164968
0.0005800,0.2165044
0.0005850,0.2165006
0.0005900,0.2164884
0.0005950,0.2164747
0.0006000,0.2011572
0.0006050,0.2011531
0.0006100,0.2011552
0.0006150,0.2011577
0.0006200,0.2011553
0.0006250,0.2011461
0.0006300,0.2011302
0.0006350,0.2011107
0.0006400,0.2010922
0.0006450,0.2010789
0.0006500,0.2010723
0.0006550,0.2010701
0.0006600,0.2010682
0.0006650,0.2010627
0.0006700,0.2010516
0.0006750,0.2010365
0.0006800,0.2010204
0.0006850,0.2010073
0.0006900,0.2009997
0.0006950,0.2009977
0.0007000,0.2142296
0.0007050,0.2142195
0.0007100,0.2142113
0.0007150,0.2142033
0.0007200,0.2141951
0.0007250,0.2141875
0.0007300,0.2141816
0.0007350,0.2141792
0.0007400,0.2141806
0.0007450,0.2141834
0.0007500,0.2141849
0.0007550,0.2141825
0.0007600,0.2141763
0.0007650,0.2141669
0.0007700,0.2141557
0.0007750,0.2141432
0.0007800,0.2141287
0.0007850,0.2141133
0.0007900,0.2140982
0.0007950,0.2140838
0.0008000,0.2402085
0.0008050,0.2401966
0.0008100,0.2401891
0.0008150,0.2401883
0.0008200,0.2401957
0.0008250,0.2402122
0.0008300,0.2402369
0.0008350,0.2402676
0.0008400,0.2403007
0.0008450,0.2403325
0.0008500,0.2403614
0.0008550,0.2403869
0.0008600,0.2404098
0.0008650,0.2404306
0.0008700,0.2404498
0.0008750,0.2404674
0.0008800,0.2404826
0.0008850,0.2404946
0.0008900,0.2405026
0.0008950,0.2405069
0.0009000,0.2066839
0.0009050,0.2066848
0.0009100,0.2066881
0.0009150,0.2066933
0.0009200,0.2066995
0.0009250,0.2067050
0.0009300,0.2067082
0.0009350,0.2067082
0.0009400,0.2067045
0.0009450,0.2066982
0.0009500,0.2066908
0.0009550,0.2066846
0.0009600,0.2066820
0.0009650,0.2066838
0.0009700,0.2066902
0.0009750,0.2067006
0.0009800,0.2067136
0.0009850,0.2067273
0.0009900,0.2067404
0.0009950,0.2067527
0.0010000,0.2214100
0.0010050,0.2214175
0.0010100,0.2214286
0.0010150,0.2214429
0.0010200,0.2214590
0.0010250,0.2214746
0.0010300,0.2214881
0.0010350,0.2214997
0.0010400,0.2215110
0.0010450,0.2215252
0.0010500,0.2215449
0.0010550,0.2215709
