E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
2265.57,11.4778,11.4025,0.0752881
2266.9,11.4792,11.404,0.0752
2268.24,11.4787,11.4036,0.0751121
2269.57,11.4789,11.4039,0.0750244
2270.9,11.48,11.405,0.0749368
2272.24,11.4776,11.4028,0.0748493
2273.57,11.478,11.4032,0.074762
2274.91,11.4782,11.4035,0.0746749
2276.24,11.4779,11.4034,0.0745879
2277.58,11.4793,11.4048,0.0745011
2278.91,11.4794,11.405,0.0744144
2280.24,11.4793,11.4049,0.0743278
2281.58,11.48,11.4058,0.0742415
2282.91,11.4795,11.4053,0.0741552
2284.25,11.48,11.406,0.0740691
2285.58,11.4802,11.4062,0.0739832
2286.92,11.4795,11.4056,0.0738974
2288.25,11.4786,11.4048,0.0738118
2289.58,11.4797,11.406,0.0737263
2290.92,11.4775,11.4038,0.073641
2292.25,11.4816,11.4081,0.0735558
2293.59,11.4788,11.4054,0.0734707
2294.92,11.479,11.4056,0.0733858
2296.26,11.4789,11.4056,0.0733011
2297.59,11.4793,11.406,0.0732165
2298.92,11.4794,11.4063,0.073132
2300.26,11.4785,11.4055,0.0730477
2301.59,11.4796,11.4066,0.0729636
2302.93,11.4796,11.4067,0.0728795
2304.26,11.4786,11.4058,0.0727957
2305.6,11.4779,11.4052,0.0727119
2306.93,11.4778,11.4052,0.0726283
2308.26,11.4777,11.4052,0.0725449
2309.6,11.4797,11.4073,0.0724616
2310.93,11.4791,11.4067,0.0723784
2312.27,11.4781,11.4058,0.0722954
2313.6,11.4789,11.4067,0.0722126
2314.93,11.4797,11.4076,0.0721298
2316.27,11.4782,11.4062,0.0720472
2317.6,11.4771,11.4051,0.0719648
2318.94,11.4778,11.4059,0.0718825
2320.27,11.4781,11.4063,0.0718003
2321.61,11.477,11.4053,0.0717183
2322.94,11.4788,11.4072,0.0716364
2324.27,11.478,11.4064,0.0715547
2325.61,11.4775,11.4061,0.0714731
2326.94,11.4782,11.4068,0.0713916
2328.28,11.4782,11.4069,0.0713103
2329.61,11.477,11.4058,0.0712291
2330.95,11.4769,11.4057,0.071148
2332.28,11.4781,11.407,0.0710671
2333.61,11.4774,11.4064,0.0709864
2334.95,11.4777,11.4068,0.0709057
2336.28,11.4764,11.4055,0.0708252
2337.62,11.4774,11.4067,0.0707449
2338.95,11.4745,11.4038,0.0706646
2340.29,11.4743,11.4037,0.0705845
2341.62,11.476,11.4055,0.0705046
2342.95,11.4763,11.4058,0.0704248
2344.29,11.4746,11.4043,0.0703451
2345.62,11.4737,11.4034,0.0702655
2346.96,11.474,11.4038,0.0701861
2348.29,11.4743,11.4042,0.0701068
2349.63,11.474,11.404,0.0700277
2350.96,11.4732,11.4033,0.0699487
2352.29,11.4741,11.4042,0.0698698
2353.63,11.4737,11.4039,0.0697911
2354.96,11.4736,11.4039,0.0697125
2356.3,11.4726,11.403,0.069634
2357.63,11.472,11.4025,0.0695556
2358.97,11.4728,11.4033,0.0694774
2360.3,11.471,11.4016,0.0693993
2361.63,11.4729,11.4036,0.0693214
2362.97,11.4705,11.4013,0.0692436
2364.3,11.4701,11.401,0.0691659
2365.64,11.4705,11.4014,0.0690883
2366.97,11.4708,11.4018,0.0690109
2368.31,11.4706,11.4017,0.0689336
2369.64,11.47,11.4011,0.0688564
2370.97,11.4709,11.4021,0.0687794
2372.31,11.4695,11.4008,0.0687024
2373.64,11.4687,11.4001,0.0686257
2374.98,11.4683,11.3997,0.068549
2376.31,11.4693,11.4009,0.0684725
2377.64,11.4679,11.3995,0.0683961
2378.98,11.4687,11.4004,0.0683198
2380.31,11.468,11.3998,0.0682437
2381.65,11.4685,11.4003,0.0681676
2382.98,11.468,11.3999,0.0680918
2384.32,11.4684,11.4004,0.068016
2385.65,11.4664,11.3985,0.0679403
2386.98,11.4674,11.3995,0.0678648
2388.32,11.4669,11.3991,0.0677894
2389.65,11.4669,11.3991,0.0677142
2390.99,11.4662,11.3986,0.067639
2392.32,11.4665,11.399,0.067564
2393.66,11.4663,11.3988,0.0674891
2394.99,11.4661,11.3987,0.0674144
2396.32,11.4664,11.3991,0.0673397
2397.66,11.4665,11.3993,0.0672652
2398.99,11.4656,11.3984,0.0671908
2400.33,11.466,11.3989,0.0671166
2401.66,11.4661,11.399,0.0670424
2403,11.4661,11.3991,0.0669684
2404.33,11.4655,11.3986,0.0668945
2405.66,11.4655,11.3987,0.0668207
2407,11.4657,11.3989,0.0667471
2408.33,11.4656,11.3989,0.0666735
2409.67,11.4654,11.3988,0.0666001
2411,11.4653,11.3988,0.0665268
2412.34,11.4649,11.3985,0.0664536
2413.67,11.4652,11.3988,0.0663806
2415,11.4653,11.399,0.0663077
