Time (ns),System after lsq fit to System
0.0000000,0.0000000
0.0000050,0.0018481
0.0000100,0.0035923
0.0000150,0.0051986
0.0000200,0.0066433
0.0000250,0.0079191
0.0000300,0.0090411
0.0000350,0.0100339
0.0000400,0.0109488
0.0000450,0.0118156
0.0000500,0.0126329
0.0000550,0.0133921
0.0000600,0.0140792
0.0000650,0.0146900
0.0000700,0.0152192
0.0000750,0.0156788
0.0000800,0.0161045
0.0000850,0.0165249
0.0000900,0.0169579
0.0000950,0.0174020
0.0001000,0.1143636
0.0001050,0.1144268
0.0001100,0.1144885
0.0001150,0.1145469
0.0001200,0.1146027
0.0001250,0.1146590
0.0001300,0.1147190
0.0001350,0.1147842
0.0001400,0.1148561
0.0001450,0.1149332
0.0001500,0.1150127
0.0001550,0.1150919
0.0001600,0.1151688
0.0001650,0.1152437
0.0001700,0.1153169
0.0001750,0.1153896
0.0001800,0.1154626
0.0001850,0.1155349
0.0001900,0.1156055
0.0001950,0.1156723
0.0002000,0.1288554
0.0002050,0.1288967
0.0002100,0.1289382
0.0002150,0.1289819
0.0002200,0.1290295
0.0002250,0.1290823
0.0002300,0.1291402
0.0002350,0.1292007
0.0002400,0.1292622
0.0002450,0.1293221
0.0002500,0.1293786
0.0002550,0.1294310
0.0002600,0.1294790
0.0002650,0.1295239
0.0002700,0.1295658
0.0002750,0.1296051
0.0002800,0.1296416
0.0002850,0.1296743
0.0002900,0.1297034
0.0002950,0.1297288
0.0003000,0.1285048
0.0003050,0.1285320
0.0003100,0.1285598
0.0003150,0.1285895
0.0003200,0.1286209
0.0003250,0.1286539
0.0003300,0.1286870
0.0003350,0.1287188
0.0003400,0.1287488
0.0003450,0.1287762
0.0003500,0.1288017
0.0003550,0.1288257
0.0003600,0.1288481
0.0003650,0.1288689
0.0003700,0.1288873
0.0003750,0.1289028
0.0003800,0.1289143
0.0003850,0.1289208
0.0003900,0.1289230
0.0003950,0.1289214
0.0004000,0.1166169
0.0004050,0.1166224
0.0004100,0.1166283
0.0004150,0.1166351
0.0004200,0.1166424
0.0004250,0.1166506
0.0004300,0.1166594
0.0004350,0.1166689
0.0004400,0.1166792
0.0004450,0.1166896
0.0004500,0.1167007
0.0004550,0.1167121
0.0004600,0.1167240
0.0004650,0.1167360
0.0004700,0.1167467
0.0004750,0.1167550
0.0004800,0.1167595
0.0004850,0.1167593
0.0004900,0.1167549
0.0004950,0.1167471
0.0005000,0.1373106
0.0005050,0.1373123
0.0005100,0.1373152
0.0005150,0.1373187
0.0005200,0.1373213
0.0005250,0.1373216
0.0005300,0.1373184
0.0005350,0.1373121
0.0005400,0.1373035
0.0005450,0.1372938
0.0005500,0.1372850
0.0005550,0.1372778
0.0005600,0.1372729
0.0005650,0.1372701
0.0005700,0.1372689
0.0005750,0.1372692
0.0005800,0.1372707
0.0005850,0.1372737
0.0005900,0.1372782
0.0005950,0.1372842
0.0006000,0.1298356
0.0006050,0.1298312
0.0006100,0.1298281
0.0006150,0.1298256
0.0006200,0.1298222
0.0006250,0.1298174
0.0006300,0.1298109
0.0006350,0.1298036
0.0006400,0.1297956
0.0006450,0.1297868
0.0006500,0.1297773
0.0006550,0.1297670
0.0006600,0.1297565
0.0006650,0.1297453
0.0006700,0.1297332
0.0006750,0.1297200
0.0006800,0.1297054
0.0006850,0.1296908
0.0006900,0.1296777
0.0006950,0.1296673
0.0007000,0.1417604
0.0007050,0.1417463
0.0007100,0.1417353
0.0007150,0.1417265
0.0007200,0.1417186
0.0007250,0.1417113
0.0007300,0.1417043
0.0007350,0.1416975
0.0007400,0.1416899
0.0007450,0.1416812
0.0007500,0.1416711
0.0007550,0.1416587
0.0007600,0.1416434
0.0007650,0.1416251
0.0007700,0.1416044
0.0007750,0.1415823
0.0007800,0.1415593
0.0007850,0.1415363
0.0007900,0.1415136
0.0007950,0.1414917
0.0008000,0.1303224
0.0008050,0.1303036
0.0008100,0.1302870
0.0008150,0.1302722
0.0008200,0.1302589
0.0008250,0.1302471
0.0008300,0.1302363
0.0008350,0.1302260
0.0008400,0.1302150
0.0008450,0.1302031
0.0008500,0.1301903
0.0008550,0.1301768
0.0008600,0.1301637
0.0008650,0.1301517
0.0008700,0.1301408
0.0008750,0.1301306
0.0008800,0.1301206
0.0008850,0.1301108
0.0008900,0.1301009
0.0008950,0.1300912
0.0009000,0.1511731
0.0009050,0.1511617
0.0009100,0.1511545
0.0009150,0.1511516
