time step,temperature,pressure,potential energy,kinetic energy,coulomb energy,pair energy,lx,ly,lz,vol
0,49.999999999999992895,589.30160690555953806,-107080.40083472435072,75.378053556749989639,0,-107080.40083472435072,57.919033818765598198,50.159354529839674797,47.842665055501107929,138991.61831770691788
2500,93.38421685954330087,-709.93024436764926577,-106936.05921394620964,140.78240999587623605,0,-106936.05921394620964,57.938643514488163078,50.176337024455399671,47.858863186623828767,139132.84164640982635
5000,144.9693534086644604,-1280.5861985862115944,-106858.86142668392858,218.55015370651454987,0,-106858.86142668392858,57.984050597457176934,50.215660711724297016,47.896370646924737002,139460.21739628395881
7500,195.05094903427152531,-506.9239199606019497,-106781.94499922299292,294.05121765200470918,0,-106781.94499922299292,58.00978627310689717,50.237948460567565689,47.917629000679930584,139645.99414571194211
10000,244.87729774540488847,-665.23800241015635493,-106704.91231285332469,369.16748128570691279,0,-106704.91231285332469,58.04424000500022629,50.267786267571096914,47.946088701165443524,139894.96164445232716
12500,295.46928178282541921,-1828.8992178564808455,-106628.74503540049773,445.43798693200545813,0,-106628.74503540049773,58.057395900719370729,50.279179607446131683,47.95695582153812353,139990.10600504209287
15000,343.99708547364770084,989.8233944320467117,-106549.51109025607002,518.59661464397049713,0,-106549.51109025607002,58.067951244438511083,50.28832080323096676,47.96567481667330668,140066.47417458053678
17500,396.1904050351878368,-2396.4679816054108414,-106475.5700984231953,597.28123138825731075,0,-106475.5700984231953,58.114773887351468318,50.328870401369073306,48.004351567202640183,140405.57200765702873
20000,437.34427684460825958,-1376.1635472354128069,-106385.37002639411367,659.3232064546195943,0,-106385.37002639411367,58.157546600075924914,50.365912657088983906,48.039682967494940158,140715.81747390600503
22500,493.2264962272152502,137.33445798470188493,-106316.10399535139732,743.56906496446367782,0,-106316.10399535139732,58.156078025328419301,50.364640834053332696,48.038469885626696509,140705.15781802608399
25000,548.22491689816467897,1405.4532626356419769,-106245.50681112130405,826.48254294189348457,0,-106245.50681112130405,58.196137864233293158,50.399333672133600714,48.071560379865715618,140996.12531791062793
27500,590.98804129945665409,1303.7461940348689495,-106155.97248742874945,890.95056456938448264,0,-106155.97248742874945,58.200530548971507017,50.403137848698683854,48.075188854492651558,141028.05518306116574
30000,652.43231546835386325,743.04706978950537177,-106094.29754088426125,983.58156035055981192,0,-106094.29754088426125,58.231631534595734934,50.430072092267351991,48.100879097233452342,141254.26218119860278
32500,690.87257834945160084,1660.1589594932349883,-105999.15427846965031,1041.5326042342985602,0,-105999.15427846965031,58.287371992345960336,50.478344744582216208,48.146922200413051485,141660.28462153713917
35000,750.79061141354350184,-1239.4699269530449328,-105913.71176466348697,1131.8626983407032185,0,-105913.71176466348697,58.307942025578768153,50.49615891587613703,48.16391359590500798,141810.31635946361348
37500,796.07903373858164287,971.78736936113125466,-105844.86302514269482,1200.1377608110519759,0,-105844.86302514269482,58.321843688741161316,50.508198109300984413,48.175396740055532518,141911.77094199162093
40000,841.54785972666877569,1358.2897339277269566,-105759.64361133269267,1268.6847928209035672,0,-105759.64361133269267,58.354529196693142978,50.536504589455127245,48.202395840454840936,142150.50096439162735
42500,903.68365456692708904,1795.8080510866750501,-105683.32277692755451,1362.3582982461080064,0,-105683.32277692755451,58.372488070675643712,50.552057430510132008,48.217230348837979648,142281.78376477069105
45000,932.03013477839795087,-2021.8543487724043644,-105594.02221395095694,1405.0923483166200185,0,-105594.02221395095694,58.414189313874310017,50.588171766403100094,48.251676686754940704,142586.93952748383163
47500,990.09556754700474812,-3570.7257720927909759,-105496.58685840776889,1492.6295343371782565,0,-105496.58685840776889,58.481669285055772889,50.64661113555343519,48.307416940801694238,143081.65914990572492
50000,1034.8519553552705474,-389.00498202606087261,-105422.02422219500295,1560.1025222815408142,0,-105422.02422219500295,58.478014331894989652,50.643445853274052126,48.304397852112941791,143054.83412493675132
52500,1081.0194975044823877,2529.6713278951274333,-105365.50329160792171,1629.7029115756770352,0,-105365.50329160792171,58.500373904963957727,50.662809811523111136,48.322867455188109886,143218.99162438808708
55000,1141.7700268879871146,1132.5508574781517837,-105250.18757966703561,1721.288044725091595,0,-105250.18757966703561,58.560444115546637533,50.714832139774273401,48.372487049563694939,143660.6314718190697
57500,1168.7726764309372811,2341.6063851832855107,-105168.92569749704853,1761.9961879935447087,0,-105168.92569749704853,58.546510486694131714,50.702765263250213934,48.360977500901611847,143558.10982731316471
60000,1237.9116867486568481,-432.06757776447165043,-105085.11864821634663,1866.2274684453398095,0,-105085.11864821634663,58.624689886419929508,50.770470609303657739,48.425555767987852107,144133.97405805889866
62500,1284.2148513017596088,-2045.5803837558851228,-104987.57738699068432,1936.0323167959554667,0,-104987.57738699068432,58.667109546762539196,50.807207112692644557,48.460595537606330652,144447.07794076469145
65000,1335.098519304744741,-2096.2290282206263328,-104921.11718022612331,2012.7425538338134174,0,-104921.11718022612331,58.699829424136645173,50.835543357639416229,48.487623028064135156,144688.8962520089699
67500,1382.6888462006120335,352.18384423936998928,-104852.34979984498932,2084.4878780246122005,0,-104852.34979984498932,58.65680956641568855,50.798287068074650108,48.452087479420200111,144371.0110840954294
70000,1404.7801558239650603,944.83361125952683324,-104741.51192916097352,2117.7918764231690147,0,-104741.51192916097352,58.727384106553280674,50.859406412547919274,48.510383929872489261,144892.75008333707228
