Time (ps),Temperature
0.000000,10.051650
1.000000,79.563881
2.000000,44.468353
3.000000,27.001305
4.000000,19.699015
5.000000,16.647623
6.000000,15.495412
7.000000,15.492127
8.000000,16.174932
9.000000,16.885710
10.000000,17.655951
11.000000,18.112511
12.000000,18.827908
13.000000,19.963720
14.000000,20.730396
15.000000,21.434965
16.000000,22.020065
17.000000,22.773232
18.000000,23.646482
19.000000,24.316437
20.000000,25.339613
21.000000,26.105734
22.000000,26.829027
23.000000,27.608259
24.000000,27.897217
25.000000,29.065367
26.000000,29.708107
27.000000,30.692358
28.000000,31.350405
29.000000,32.643379
30.000000,33.551411
31.000000,34.140469
32.000000,34.683933
33.000000,35.781250
34.000000,36.384041
35.000000,37.144230
36.000000,38.616043
37.000000,38.571144
38.000000,39.634712
39.000000,40.542450
40.000000,41.356651
41.000000,41.948948
42.000000,42.393147
43.000000,42.726101
44.000000,44.341732
45.000000,44.874062
46.000000,46.848095
47.000000,46.977009
48.000000,47.630726
49.000000,47.736874
50.000000,49.467991
