Time (ps),Temperature
0.000000,101.004570
2.000000,100.576225
4.000000,100.316833
6.000000,100.720291
8.000000,101.094467
10.000000,98.588448
12.000000,99.954102
14.000000,101.249718
16.000000,99.803925
18.000000,98.922531
20.000000,99.350922
22.000000,101.334030
24.000000,100.398643
26.000000,100.554230
28.000000,100.270370
30.000000,99.856606
32.000000,102.107262
34.000000,101.136353
36.000000,100.317886
38.000000,98.909210
40.000000,100.138344
42.000000,99.717346
44.000000,99.489227
46.000000,99.852409
48.000000,99.410110
50.000000,100.761673
