Time (ns),System after lsq fit to System
0.0000000,0.0000000
0.0000820,0.0161310
0.0001640,0.3296087
0.0002460,0.4117238
0.0003280,0.3950567
0.0004100,0.4318921
0.0004920,0.4322235
0.0005740,0.4390557
0.0006560,0.4318317
0.0007380,0.4556454
0.0008200,0.4215229
0.0009020,0.4257886
0.0009840,0.4260235
0.0010660,0.3842250
0.0011480,0.3919773
0.0012300,0.4144209
0.0013120,0.4000741
0.0013940,0.4004091
0.0014760,0.3995944
0.0015580,0.4418372
0.0016400,0.4352592
0.0017220,0.4218841
0.0018040,0.4323487
0.0018860,0.4325662
0.0019680,0.4108878
0.0020500,0.3958341
0.0021320,0.4321658
0.0022140,0.4288701
0.0022960,0.4291687
0.0023780,0.4218390
0.0024600,0.3919284
0.0025420,0.3884905
0.0026240,0.3956706
0.0027060,0.3921755
0.0027880,0.3924503
0.0028700,0.3998951
0.0029520,0.4139148
0.0030340,0.4250972
0.0031160,0.4211771
0.0031980,0.4214737
0.0032800,0.4150471
0.0033620,0.4252539
0.0034440,0.3923279
0.0035260,0.3994066
0.0036080,0.3997975
0.0036900,0.4000739
0.0037720,0.4107149
0.0038540,0.4220915
0.0039360,0.4321104
0.0040180,0.4071532
0.0041000,0.4318613
0.0041820,0.4322676
0.0042640,0.3958221
0.0043460,0.3913743
0.0044280,0.4101516
0.0045100,0.3953023
0.0045920,0.3955875
0.0046740,0.4076081
0.0047560,0.4183251
0.0048380,0.4143866
0.0049200,0.4176043
0.0050020,0.4026645
0.0050840,0.4030059
0.0051660,0.4106845
0.0052480,0.4107388
0.0053300,0.4147911
0.0054120,0.4190002
0.0054940,0.4191480
0.0055760,0.4357423
0.0056580,0.4173767
0.0057400,0.4180005
0.0058220,0.3923021
0.0059040,0.3640602
0.0059860,0.3643805
0.0060680,0.3387565
0.0061500,0.3683788
0.0062320,0.4214660
0.0063140,0.4323329
0.0063960,0.4325101
0.0064780,0.4458188
0.0065600,0.4350921
0.0066420,0.4215810
0.0067240,0.4068106
0.0068060,0.3561833
0.0068880,0.3564838
0.0069700,0.4074740
0.0070520,0.4151920
0.0071340,0.4255932
0.0072160,0.4144965
0.0072980,0.4148419
0.0073800,0.3994486
0.0074620,0.4248762
0.0075440,0.4032409
0.0076260,0.4031950
0.0077080,0.3758968
0.0077900,0.3760591
0.0078720,0.3992610
0.0079540,0.3930684
0.0080360,0.3928979
0.0081180,0.4288514
0.0082000,0.3959101
0.0082820,0.3962714
0.0083640,0.4109555
0.0084460,0.4114971
0.0085280,0.3929867
0.0086100,0.4322872
0.0086920,0.4326745
0.0087740,0.4488714
0.0088560,0.4210060
0.0089380,0.4352073
0.0090200,0.4289645
0.0091020,0.4357955
0.0091840,0.4360951
0.0092660,0.4357363
0.0093480,0.4036947
0.0094300,0.3956178
0.0095120,0.4149946
0.0095940,0.4153737
0.0096760,0.4005384
0.0097580,0.3957144
0.0098400,0.4284350
0.0099220,0.3955213
0.0100040,0.4385411
0.0100860,0.4388315
0.0101680,0.4149180
0.0102500,0.4254214
0.0103320,0.4456155
0.0104140,0.4034104
