# Tetrahedron method
       -4.4084143173        0.0000000000
       -4.1864797230        0.0000000000
       -3.9645451286        0.0000000000
       -3.7426105343        0.0000000000
       -3.5206759399        0.0000000000
       -3.2987413456        0.0000000000
       -3.0768067513        0.0000000000
       -2.8548721569        0.0000000000
       -2.6329375626        0.0000000000
       -2.4110029682        0.0000000000
       -2.1890683739        0.0000000000
       -1.9671337796        0.0000000000
       -1.7451991852        0.0000000000
       -1.5232645909        0.0000000000
       -1.3013299965        0.0000000000
       -1.0793954022        0.0000000000
       -0.8574608078        0.0000000000
       -0.6355262135        0.0036393686
       -0.4135916192        0.0102944137
       -0.1916570248        0.0141126224
        0.0302775695        0.0170505464
        0.2522121639        0.0210101289
        0.4741467582        0.0266852566
        0.6960813525        0.0363578071
        0.9180159469        0.0576428318
        1.1399505412        0.0930910723
        1.3618851356        0.1469905529
        1.5838197299        0.2597669364
        1.8057543242        0.3937026230
        2.0276889186        1.7954345963
        2.2496235129        1.4413970872
        2.4715581073        1.3339246371
        2.6934927016        1.1928286228
        2.9154272959        1.6832230999
        3.1373618903        1.2450646238
        3.3592964846        1.0993413423
        3.5812310790        1.6237077942
        3.8031656733        1.2587960072
        4.0251002676        1.0587398774
        4.2470348620        0.8433441306
        4.4689694563        0.8187866303
        4.6909040507        0.8772156153
        4.9128386450        1.0248379123
        5.1347732393        0.8940499297
        5.3567078337        0.8208761241
        5.5786424280        1.1196656179
        5.8005770224        0.8919818487
        6.0225116167        0.5008933209
        6.2444462110        0.7993428912
        6.4663808054        1.2599547817
        6.6883153997        1.3907988187
        6.9102499941        1.2041260138
        7.1321845884        0.8501147433
        7.3541191828        1.0831555012
        7.5760537771        1.5598999647
        7.7979883714        1.4795549360
        8.0199229658        0.9014373832
        8.2418575601        0.8092796570
        8.4637921545        1.8804636064
        8.6857267488        1.0977736226
        8.9076613431        0.9335901845
        9.1295959375        1.8268064468
        9.3515305318        0.2848918834
        9.5734651262        0.8513708278
        9.7953997205        1.3507958565
       10.0173343148        0.7193320086
       10.2392689092        0.5484595738
       10.4612035035        1.0060043645
       10.6831380979        0.9821271827
       10.9050726922        0.9213952449
       11.1270072865        1.2426508533
       11.3489418809        3.0040846265
       11.5708764752        1.5705227740
       11.7928110696        2.1390170011
       12.0147456639        3.0517953288
       12.2366802582        2.1602393417
       12.4586148526        2.8676597523
       12.6805494469        1.7338076004
       12.9024840413        0.8001439663
       13.1244186356        2.4389166375
       13.3463532299        1.3193195124
       13.5682878243        0.8370307928
       13.7902224186        0.0347426695
       14.0121570130        0.1371973228
       14.2340916073        0.1793844534
       14.4560262016        0.2463847260
       14.6779607960        0.4209096612
       14.8998953903        0.5175041029
       15.1218299847        0.6199833064
       15.3437645790        0.8990942206
       15.5656991734        0.9617923395
       15.7876337677        0.4436610197
       16.0095683620        0.1260756739
       16.2315029564        0.0386803418
       16.4534375507        0.0069129670
       16.6753721451        0.0497252599
       16.8973067394        0.1367901823
       17.1192413337        0.2148593444
       17.3411759281        0.3004922832
       17.5631105224        0.4804551431
       17.7850451168        0.8264748263
       18.0069797111        0.7670397047
       18.2289143054        0.4959812378
       18.4508488998        0.4050245793
       18.6727834941        0.3577681791
       18.8947180885        0.1661732385
       19.1166526828        0.1035922247
       19.3385872771        0.0727810909
       19.5605218715        0.0639015688
       19.7824564658        0.0645602717
       20.0043910602        0.0743610236
       20.2263256545        0.0939729199
       20.4482602488        0.2022787610
       20.6701948432        0.4369951372
       20.8921294375        0.9893596842
       21.1140640319        0.8399496158
       21.3359986262        0.6176290677
       21.5579332205        0.3910893622
       21.7798678149        0.2862333525
       22.0018024092        0.1966778032
       22.2237370036        0.1412075557
       22.4456715979        0.1163647816
       22.6676061922        0.0895574357
       22.8895407866        1.1642807390
       23.1114753809        1.3663665950
       23.3334099753        1.4026039546
       23.5553445696        2.4134709288
       23.7772791640        2.2875808573
       23.9992137583        1.3514902345
       24.2211483526        1.1653593643
       24.4430829470        1.3112220402
       24.6650175413        0.7487121961
       24.8869521357        0.0000000000
       25.1088867300        0.0000000000
       25.3308213243        0.0000000000
       25.5527559187        0.0000000000
       25.7746905130        0.0000000000
       25.9966251074        0.0000000000
       26.2185597017        0.0000000000
       26.4404942960        0.0000000000
       26.6624288904        0.0000000000
       26.8843634847        0.0000000000
       27.1062980791        0.0000000000
       27.3282326734        0.0000000000
       27.5501672677        0.0000000000
       27.7721018621        0.0000000000
       27.9940364564        0.0000000000
       28.2159710508        0.0000000000
       28.4379056451        0.0000000000
       28.6598402394        0.0000000000
       28.8817748338        0.0000000000
       29.1037094281        0.0000000000
       29.3256440225        0.0000000000
       29.5475786168        0.0000000000
       29.7695132111        0.0000000000
       29.9914478055        0.0000000000
       30.2133823998        0.0000000000
       30.4353169942        0.0000000000
       30.6572515885        0.0000000000
       30.8791861828        0.0000000000
       31.1011207772        0.0000000000
       31.3230553715        0.4004370674
       31.5449899659        4.5101951548
       31.7669245602        6.0883786978
       31.9888591545        8.6158388365
       32.2107937489        0.0632950135
       32.4327283432        0.0616815224
       32.6546629376        0.0793060151
       32.8765975319        0.1162543012
       33.0985321263        0.2273465253
       33.3204667206        0.2867522022
       33.5424013149        0.3760443889
       33.7643359093        0.5363360606
       33.9862705036        0.8375185981
       34.2082050980        2.2681462282
       34.4301396923        1.2566923882
       34.6520742866        1.7632974959
       34.8740088810        0.3831979815
       35.0959434753        1.4560957624
       35.3178780697        1.5481153368
       35.5398126640        0.2942893683
       35.7617472583        0.1861093166
       35.9836818527        0.1103506030
       36.2056164470        0.0314344594
       36.4275510414        0.0000000000
       36.6494856357        0.0000000000
       36.8714202300        0.0000000000
       37.0933548244        0.0000000000
       37.3152894187        0.0000000000
       37.5372240131        0.0000000000
       37.7591586074        0.0000000000
       37.9810932017        0.0000000000
       38.2030277961        0.0000000000
       38.4249623904        0.0000000000
       38.6468969848        0.0000000000
       38.8688315791        0.0000000000
       39.0907661734        0.0000000000
       39.3127007678        0.0000000000
       39.5346353621        0.0000000000
       39.7565699565        0.0000000000
       39.9785045508        0.0000000000
