Time (ps),Temperature
0.000000,49.970749
2.000000,50.736130
4.000000,49.884560
6.000000,50.019123
8.000000,49.632385
10.000000,49.799656
12.000000,50.320400
14.000000,49.888451
16.000000,50.153950
18.000000,51.278885
20.000000,49.634087
22.000000,49.599010
24.000000,49.558170
26.000000,49.476768
28.000000,49.872318
30.000000,50.343327
32.000000,49.919647
34.000000,49.513325
36.000000,50.239513
38.000000,50.084633
40.000000,50.292328
42.000000,49.717525
44.000000,49.573666
46.000000,49.916698
48.000000,49.849533
50.000000,50.078205
