Time (ps),Radius (nm)
199.5,1.56529
200,1.56584
200.5,1.56563
201,1.56481
201.5,1.56597
202,1.56552
202.5,1.56502
203,1.56586
203.5,1.56532
204,1.56514
204.5,1.56615
205,1.56533
205.5,1.56485
206,1.56624
206.5,1.56517
207,1.565
207.5,1.56624
208,1.56514
208.5,1.56519
209,1.56621
209.5,1.5654
210,1.5652
210.5,1.56562
211,1.56538
211.5,1.56539
212,1.56605
212.5,1.56567
213,1.56517
213.5,1.56531
214,1.56588
214.5,1.56537
215,1.5653
215.5,1.56573
216,1.56558
216.5,1.56518
217,1.56564
217.5,1.56532
218,1.56508
218.5,1.5659
219,1.56533
219.5,1.56538
220,1.56582
220.5,1.56544
221,1.56499
221.5,1.56542
222,1.56602
222.5,1.56473
223,1.56509
223.5,1.56645
224,1.56502
224.5,1.56531
225,1.56614
225.5,1.56565
226,1.56531
226.5,1.5655
227,1.5655
227.5,1.5655
228,1.56567
228.5,1.56533
229,1.56526
229.5,1.56549
230,1.56579
230.5,1.5653
231,1.56512
231.5,1.56598
232,1.5656
232.5,1.56521
233,1.5657
233.5,1.56542
234,1.56539
234.5,1.56592
235,1.565
235.5,1.56538
236,1.5658
236.5,1.56527
237,1.56589
237.5,1.56577
238,1.56499
238.5,1.56556
239,1.56635
239.5,1.56532
240,1.5652
240.5,1.5654
241,1.56526
241.5,1.56532
242,1.56553
242.5,1.56579
243,1.56545
243.5,1.56528
244,1.56564
244.5,1.56596
245,1.56515
245.5,1.56518
246,1.56571
246.5,1.56509
247,1.56524
247.5,1.56597
248,1.56573
248.5,1.56518
249,1.56541
249.5,1.56565
250,1.56559
250.5,1.56519
251,1.56566
251.5,1.56574
252,1.56463
252.5,1.56572
253,1.56611
253.5,1.56483
254,1.56557
254.5,1.56616
255,1.56525
255.5,1.56516
256,1.56584
256.5,1.56561
257,1.56524
257.5,1.56572
258,1.56603
258.5,1.5656
259,1.56549
259.5,1.56539
260,1.56543
260.5,1.56558
261,1.56554
261.5,1.56513
262,1.56564
262.5,1.56527
263,1.56553
263.5,1.56572
264,1.56508
264.5,1.56534
265,1.5659
265.5,1.5652
266,1.56517
266.5,1.56536
267,1.56541
267.5,1.5652
268,1.56577
268.5,1.56536
269,1.56508
269.5,1.56546
270,1.56537
270.5,1.56537
271,1.56547
271.5,1.5651
272,1.56571
272.5,1.56567
273,1.56518
273.5,1.56572
274,1.56542
274.5,1.56513
275,1.56557
275.5,1.56576
276,1.56556
276.5,1.5655
277,1.5653
277.5,1.56555
278,1.56588
278.5,1.56537
279,1.56545
279.5,1.56574
280,1.56536
280.5,1.56534
281,1.56591
281.5,1.56503
282,1.56507
282.5,1.56559
283,1.56547
283.5,1.56551
284,1.56538
284.5,1.56525
285,1.5652
285.5,1.566
286,1.56568
286.5,1.56531
287,1.5653
287.5,1.56604
288,1.56547
288.5,1.56526
289,1.56634
289.5,1.56511
290,1.56486
290.5,1.56558
291,1.56554
291.5,1.56528
292,1.56568
292.5,1.56528
293,1.56532
293.5,1.56559
294,1.56548
294.5,1.56584
295,1.56531
295.5,1.56533
296,1.5652
296.5,1.5655
297,1.5657
297.5,1.56506
298,1.56539
298.5,1.56575
299,1.56516
299.5,1.56556
300,1.56577
300.5,1.56562
301,1.56535
301.5,1.56562
302,1.56518
302.5,1.56547
303,1.56573
303.5,1.56521
304,1.56559
304.5,1.56529
305,1.56505
305.5,1.56622
306,1.56467
306.5,1.56518
307,1.56598
307.5,1.56466
308,1.56519
308.5,1.56609
309,1.56553
309.5,1.56519
310,1.56544
310.5,1.56556
311,1.56539
311.5,1.56535
312,1.56534
312.5,1.56554
313,1.56541
313.5,1.56571
314,1.5655
314.5,1.56517
315,1.56579
315.5,1.56575
316,1.56567
316.5,1.56552
317,1.56517
317.5,1.56518
318,1.56635
318.5,1.56542
319,1.56471
319.5,1.56547
320,1.56559
320.5,1.56504
321,1.56535
321.5,1.56577
322,1.56533
322.5,1.56553
323,1.56579
323.5,1.56529
324,1.56541
324.5,1.56565
325,1.56524
325.5,1.56509
326,1.56554
326.5,1.56571
327,1.5652
327.5,1.56494
328,1.56563
328.5,1.56516
329,1.56513
